[[スペシャルダンジョン/HUNTER×HUNTER コラボ]]

-1GET 解析データ通りだと地獄難易度かなり高そうな感じ スキラゲは禿げる奴多そう -- &color(#999){ [id:YWF25]}; &new{2013-12-22 (日) 23:19:55};
-上級王泥確認！LS 闇、光HP、攻撃二倍 -- &color(#999){ [id:OTQ42]}; &new{2013-12-23 (月) 00:11:00};
-進化後ドロなしってまじ？ -- &color(#999){ [id:YWR45]}; &new{2013-12-23 (月) 00:17:14};
-ガチャ一発で会長来た～^_^ -- &color(#999){ [id:ODJ160]}; &new{2013-12-23 (月) 00:18:23};
-中級、コイン2478、EXP927。普段の中級より難易度高いかもしれません。 -- &color(#999){ [id:ODV141]}; &new{2013-12-23 (月) 00:18:51};
-上級、コイン3156、EXP1627。 -- &color(#999){ [id:ODV141]}; &new{2013-12-23 (月) 00:28:32};
-中級、ピトー出現。確定ドロかな -- &color(#999){ [id:NDM216]}; &new{2013-12-23 (月) 00:30:33};
-超級、火ﾊﾟ242 LFアレス、フレイS女帝、フレアドラル、ホルス、ウリエルで安定 -- &color(#999){ [id:MzU144]}; &new{2013-12-23 (月) 00:33:55};
-超級のメルエムは最初に全回復してきました。五右衛門で行く場合はサタン入れない方がいいとおもわれます。 -- &color(#999){ [id:OGU220]}; &new{2013-12-23 (月) 00:37:35};
-超級、コイン13536、EXP8307。イシホルでなんとかという感じ。自分は超地獄つらそうです。 -- &color(#999){ [id:ODV141]}; &new{2013-12-23 (月) 00:51:31};
-超級なら光ホルパで安定ノーコン -- &color(#999){ [id:MTM83]}; &new{2013-12-23 (月) 00:52:43};
-地獄難易度高め。LオオクニFクシナダでクリアはしたので一応。サブは女帝青おでん赤フルーツ闇ヴィーナス。最後はスキルと12コンボでワンパン -- &color(#999){ [id:MjI100]}; &new{2013-12-23 (月) 00:54:17};
-進化後出てますー？ -- &color(#999){ [id:N2Q182]}; &new{2013-12-23 (月) 00:56:48};
-どの難易度でも進化後無し　石回収後解散 -- &color(#999){ [id:NTg119]}; &new{2013-12-23 (月) 00:59:12};
-地獄級1階パイク　5体バインド？(4体2ターン1体1ターンでした)　 -- &color(#999){ [id:OTQ200]}; &new{2013-12-23 (月) 00:59:43};
-コラボガチャは相変わらず金の確率悪いなー…金率10％位かな -- &color(#999){ [id:YzR67]}; &new{2013-12-23 (月) 01:04:59};
-超級ボスは175万ほどです -- &color(#999){ [id:YjI81]}; &new{2013-12-23 (月) 01:17:41};
-地獄は比較的白メタが楽だったかな。ヴァル、エンジェリオン、コスモス、キンヒカでザザン倒してパイクでスキル溜めが楽勝。4F変換使いボスで回復繋いで変換ため直してスキルで回復から変換エンハンスCTWで終了。 -- &color(#999){ [id:ZTY165]}; &new{2013-12-23 (月) 01:38:40};
-超級のヒナとレオル逆 -- &color(#999){ [id:NWU61]}; &new{2013-12-23 (月) 01:41:18};
-火の242パーティーかなり安定でおすすめ、リーダー　アレス　フレンド　フレイ　サブ　五右衛門、ウルズ、エキドナ、千代女、3Fと5Fで威嚇使用 -- &color(#999){ [id:Njc180]}; &new{2013-12-23 (月) 02:15:24};
-プロ、ルシルシでいけました -- &color(#999){ [id:YzY252]}; &new{2013-12-23 (月) 02:42:12};
-上級4Fでもピトー出現。全ランクで出るみたいですね -- &color(#999){ [id:ZjV250]}; &new{2013-12-23 (月) 05:08:48};
-ピトー出るまで頑張るわ -- &color(#999){ [id:MWZ17]}; &new{2013-12-23 (月) 08:05:29};
-上級ﾋﾟﾄｰ泥確認 -- &color(#999){ [id:MGM34]}; &new{2013-12-23 (月) 09:24:19};
-地獄初見、ピトーにぶっ〇されました -- &color(#999){ [id:NTg91]}; &new{2013-12-23 (月) 10:19:25};
-超級は普通に16倍パーティで楽勝でした -- &color(#999){ [id:NDA220]}; &new{2013-12-23 (月) 10:37:46};
-王もピトーもいらないなら素材集めは上級でいいのかな? -- &color(#999){ [id:MjA242]}; &new{2013-12-23 (月) 11:39:09};
-修正が入るみたいだけどなんか中級の攻撃力おかしいな　気にならなかったけど他のコラボの中級と違いすぎる -- &color(#999){ [id:YWR45]}; &new{2013-12-23 (月) 12:38:40};
-Lラー、F光ホルス、S超覚醒ゼウス、イース、緑おでん、光ツクヨミ プロノーコン   スキルマ推奨  平均レベル93  総プラス数フレンド込みで330ほど   道中がキツイ -- &color(#999){ [id:OGQ208]}; &new{2013-12-23 (月) 14:58:32};
-初見は回復パでピトーに1階で死んだけど、次麒麟なら楽チンでした！プロノーコンパサブヴァル、アポロン、ジーク、女帝レベルとスキルは高ければ高いほど楽チン。 -- &color(#999){ [id:ZWJ185]}; &new{2013-12-23 (月) 15:10:55};
-ゼウスパでノーコン行けます！ -- &color(#999){ [id:Mjh96]}; &new{2013-12-23 (月) 15:31:16};
-地獄メルエムギガグラで８０万くらいでした -- &color(#999){ [id:ZWR114]}; &new{2013-12-23 (月) 17:16:44};
-ホルス、麒麟、ラー、天ルシ、ゼウスの全てでプロクリア出来たよ。でもピトーが出ねー -- &color(#999){ [id:MWY172]}; &new{2013-12-23 (月) 19:31:04};
-中級のボスダメージ3075→413に修正しました。 -- &color(#999){ [id:ODV141]}; &new{2013-12-23 (月) 19:33:58};
-ソニアパだと危険な場面は一切無く軽々ノーコンです -- &color(#999){ [id:ZGY12]}; &new{2013-12-23 (月) 20:43:38};
-ソニアパのサブ教えてください！ -- &color(#999){ [id:OGF71]}; &new{2013-12-24 (火) 01:03:05};
-上げたいやつ多すぎてBOXが足りない…フウとダクレとルカとヒナとフレイヤ上げなば・・・ -- &color(#999){ [id:MjA242]}; &new{2013-12-24 (火) 01:47:33};
-LF 究極バステト、サブ 薔薇ヴァル、究極エンジェリオン、エキドナ、キンヒカでプロいけました。HP低いのでコルトのとこで威嚇使用して倒しラモットでスキルだめ。メルエムは変換エンハンスで。しっかり16倍しないときつい -- &color(#999){ [id:MDQ15]}; &new{2013-12-24 (火) 05:40:28};
-俺はランク104の高ランカーだがピトーは50%切っても最初の行動はうにゃ~しないぞお陰で12コンもした 中途半端な情報載せるなハゲ-- &color(#999){ [id:ODE234]}; &new{2013-12-24 (火) 16:02:46};
-スキラゲ素材集めは2倍上級かな？ -- &color(#999){ [id:NjV46]}; &new{2013-12-24 (火) 16:39:00};
-串×串に国主エキドナヴァルイースでプロ行けた　３で国4で威嚇、串使って王で串2と再溜めした遅延系で余裕 -- &color(#999){ [id:MjA242]}; &new{2013-12-24 (火) 16:49:53};
-↑3釣り針が大きすぎるよｗ -- &color(#999){ [id:MjA242]}; &new{2013-12-24 (火) 20:34:47};
-L猫神Fクシナダ、S薔薇ヴァル、闇ルシ、氷塊龍、エキドナではプロノーコン出来ました。HP13000です。 -- &color(#999){ [id:MTg116]}; &new{2013-12-24 (火) 21:21:04};
-プロ　Ｌ超ゼウスＦおでん　Ｓ女帝×２　歌姫　ダマスカスでノーコン。 -- &color(#999){ [id:Yjd233]}; &new{2013-12-24 (火) 22:18:51};
-進化後は落ちますか？ -- &color(#999){ [id:N2I40]}; &new{2013-12-24 (火) 23:32:01};
-↑ 記載内容くらい確認しろよ -- &color(#999){ [id:OTg69]}; &new{2013-12-25 (水) 05:00:15};
-超級プロ級進化後ドロ仕様に変更されるみたい -- &color(#999){ [id:NWZ114]}; &new{2013-12-25 (水) 11:34:12};
-↑反映いつだろうね -- &color(#999){ [id:NjF192]}; &new{2013-12-25 (水) 13:14:57};
