* HUNTER×HUNTER コラボ [#lcc6c5bc]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|東ゴルトー 超プロ級（テクニカル）	|50|5|22500|13700|&color(#080){''&calc(13700/50,1);''};|
|東ゴルトー プロ級（テクニカル）	|45|5|19000|12000|&color(#080){''&calc(12000/45,1);''};|
|東ゴルトー 超級（テクニカル）	|40|5|13000|8000|&color(#080){''&calc(8000/40,1);''};|
|東ゴルトー 上級（テクニカル）	|25|5|3000|1600|&color(#080){''&calc(1600/25,1);''};|
|東ゴルトー 中級（テクニカル）	|15|5|1000|500|&color(#080){''&calc(500/15,1);''};|

- [[HUNTER×HUNTER:http://mobile.gungho.jp/news/pad/HxH.html]]とコラボレーション
- 2013/12/26 道中で進化後がドロップするように変更
- 2015/07/20 リニューアル
-- 超プロ級が追加（プロ級の消費スタミナ50→45）
-- プフとユピーのステータス・スキル変更、2体同時出現→いずれか1体出現に変更（超級以上）

|~面|~名前	|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):東ゴルトー 超プロ級|
||&mons1031; [[ピトー>モンスター図鑑/1031]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''13084''};|&color(#b00){1};|1824773|336|※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):念人形創出（13084ダメージ＆ランダム1色→お邪魔ドロップ）&br;うにゃ～（連続攻撃20936）==HP50％以下で使用==|
|1|&mons1046; [[審美的転生注射・ザザン>モンスター図鑑/1046]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''12865''};|&color(#b00){2};|913844|360||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):我は女王なり!!（先制・999ターン状態異常無効）&br;おのれぁぁああ（連続攻撃20584）==HP50％以下で使用==|
|~|&mons1048; [[愛の放射線・パイク>モンスター図鑑/1048]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''10678''};|&color(#b00){2};|367178|360||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):愛の放射線（5体を1～2ターンバインド）|
|2|&mons1044; [[除念能力・ヒナ>モンスター図鑑/1044]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''8492''};|&color(#b00){1};|458289|360||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):びびってたりしてぇ～（ランダム3色→お邪魔ドロップ）==2回に1度==|
|~|&mons1042; [[謝債発行機・レオル>モンスター図鑑/1042]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''19972''};|&color(#b00){2};|537564|360||
