* ぷれドラ大量発生！ [#lb428afc]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|贈龍の館 地獄級	|99|5|632|446|&color(#080){''&calc(446/50,1);''};|
|贈龍の館 超級		|50|4|404|194|&color(#080){''&calc(194/25,1);''};|

//2015年12月09日配信

- [[ゲリラダンジョン>スペシャルダンジョン/ゲリラダンジョン]]
- [[新ゲリラダンジョン「ぷれドラ大量発生！」登場:http://pad.gungho.jp/member/guerrilla/151208_puredora.html]]
- 超級を周回したほうが、事故率も低くより多くのぷれドラベビーが入手できる。
-- 地獄級1回（スタミナ99）：ぷれドラベビーx3 潜在たまドラx2
-- 超級2回（スタミナ100）：ぷれドラベビーx6 潜在たまドラx2
- 2016/03/26 [[稀に「潜在たまドラ☆スキル遅延耐性」が出現:http://pad.gungho.jp/member/guerrilla/150325_puredora.html]]

//&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):贈龍の館 地獄級|
||&mons2425; %%%[[潜在たまドラ☆スキル遅延耐性>モンスター図鑑/2425]]%%%	|覚醒用|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|30|1000000|※稀に出現|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):会えてうれしいたまぁ～☆（先制・全員のスキル2ターン遅延）&br;たまぁ～☆（14640）|
|1|&mons2572; %%%[[ぷれドラベビー>モンスター図鑑/2572]]%%%x3	|売却用|BGCOLOR(#f1f1a6):光|&color(#b00){''100''};|&color(#b00){1};|10|50000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|2,4|>|>|>|>|>|>|>|BGCOLOR(#ffffff):ぷれドラベビー2体＋○○ぷれドラ1体が出現|
|~|&mons2572; %%%[[ぷれドラベビー>モンスター図鑑/2572]]%%%	|売却用|BGCOLOR(#f1f1a6):光|&color(#b00){''100''};|&color(#b00){1};|10|50000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons2299; %%%[[ホノぷれドラ>モンスター図鑑/2299]]%%%	|売却用|BGCOLOR(#f1bba6):火|&color(#b00){''3000''};|&color(#b00){1};|25|10000000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons2300; %%%[[ミズぷれドラ>モンスター図鑑/2300]]%%%	|売却用|BGCOLOR(#a6f1f1):水|&color(#b00){''3000''};|&color(#b00){1};|25|10000000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons2301; %%%[[モクぷれドラ>モンスター図鑑/2301]]%%%	|売却用|BGCOLOR(#bbf1a6):木|&color(#b00){''3000''};|&color(#b00){1};|25|10000000||
