* アグニ降臨！ [#lb428afc]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|天火神 絶地獄級		|50|7|90000|32851|&color(#080){''&calc(32851/50,1);''};|
|天火神 超地獄級		|50|7|67000|25188|&color(#080){''&calc(25188/50,1);''};|

2016年05月14日配信 [[公式:http://pad.gungho.jp/member/advent/160512_agni.html]]

//&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):天火神 絶地獄級|
|1|&mons788; %%%[[迷宮の獣人・ミノタウロス>モンスター図鑑/0788]]%%%	|攻撃|BGCOLOR(#f1bba6):火|&color(#b00){''11040''};|&color(#b00){3};|527250|300||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===クイックスタンプ（2208）&br;フルスイング（16560）==HP40％以下で使用==&br;羽交い絞め（1体10ターンバインド、1度きり）==HP10％以下で使用==|
|~|&mons2304; %%%[[レッドキャップ>モンスター図鑑/2304]]%%%	|攻撃|BGCOLOR(#f1bba6):火|&color(#b00){''8520''};|&color(#b00){1};|751350|180||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ケッケッケ（3ターン4コンボ以下の攻撃吸収）&br;狂気の斧（残りHP80％ダメージ）==1度きり==|
|~|&mons2726; %%%[[ヒカタン>モンスター図鑑/2726]]%%%		|強化用|BGCOLOR(#f1f1a6):光|&color(#b00){''16000''};|&color(#b00){1};|25|5133333||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):コウソウルキャリー（16000ダメージ＆ドロップ1個→光ドロップ）|
|2|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons1209; %%%[[皇狼英雄・イグニスクーフーリン>モンスター図鑑/1209]]%%%	|バランス|BGCOLOR(#bbf1a6):木火|&color(#b00){''-''};|&color(#b00){1};|60|3000000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===英雄の鎧（5ターン状態異常無効）&br;ウルフアッシュ（15832ダメージ＆ドロップ8個→お邪魔ドロップ）&br;ゲイボルグ（13193ダメージ＆お邪魔→木ドロップ）==お邪魔ドロップがあると使用==&br;ゲイボルグ（13193ダメージ＆回復→木ドロップ）==回復ドロップがあると使用==&br;ゲイボルグ（13193ダメージ＆ドロップ3個→木ドロップ）&br;紅蓮の皇刃（残りHP99％ダメージ）==HP50％以下で使用==&br;界断（計13194の連続攻撃）==HP50％以下で使用==&br;|
|~|&mons2896; %%%[[凍角の獄氷魔・アグニ>モンスター図鑑/2896]]%%%		|悪魔/攻撃|BGCOLOR(#bba6f1):闇水|&color(#b00){''-''};|&color(#b00){1};|12298611|1176|※稀に出現|
