* アーミル降臨！ [#v076db29]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|遊楽魔 超地獄級		|50|8|64568|15604|&color(#080){''&calc(15604/50,1);''};|
|遊楽魔 地獄級		|50|8|56848|10626|&color(#080){''&calc(10626/50,1);''};|

//2015年04月17日配信

&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]
&color(#b00){''TIPS''}; [[天使と死神イベント>スペシャルダンジョン/天使と死神イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):遊楽魔 超地獄級|
|1|&mons191; %%%[[パイロデビル>モンスター図鑑/0191]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''5349''};|&color(#b00){1};|29281|2100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons193; %%%[[フロストデビル>モンスター図鑑/0193]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''5395''};|&color(#b00){1};|29511|2100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons195; %%%[[タウロスデビル>モンスター図鑑/0195]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''5487''};|&color(#b00){1};|29742|2100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons197; %%%[[ハーピィデビル>モンスター図鑑/0197]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''5533''};|&color(#b00){1};|30203|2100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons199; %%%[[ブラッドデビル>モンスター図鑑/0199]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''5672''};|&color(#b00){1};|30433|2100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|2|&mons1527; %%%[[水の上忍>モンスター図鑑/1527]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''6853''};|&color(#b00){1};|705972|800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===忍法・霧隠れ（5ターン闇属性吸収）&br;お色気の術（3292ダメージ＆サブ3体1～2ターンバインド）==HP75％以下で使用==|
|~|&mons1528; %%%[[木の上忍>モンスター図鑑/1528]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''5819''};|&color(#b00){1};|358750|40000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===木遁・木枯し（2910ダメージ＆ドロップが見えなくなる）&br;猿飛流抜刀術（計6984の連続攻撃）==HP50％以下で使用==|
|3|&mons333; %%%[[黒樹星・ファフニール>モンスター図鑑/0333]]%%%	||BGCOLOR(#bbf1a6):木闇|&color(#b00){''-''};|&color(#b00){1};|1285558|312||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===…グルルル（何もしない）==先制、2回使用==&br;グガァ！（999ターン攻撃力3倍）&br;寝返りをうった（3倍時、計118788の連続攻撃）|
|4|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|&mons475; %%%[[火炎獄・パイロデーモン>モンスター図鑑/0475]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''11519''};|&color(#b00){1};|955884|1280||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ウォーターバインド&br;イビルスラッシュ（計20736の連続攻撃）==HP35％以下で使用==|
|~|&mons476; %%%[[氷結獄・フロストデーモン>モンスター図鑑/0476]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''11354''};|&color(#b00){1};|949996|1280||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):リーフバインド&br;イビルスラッシュ（計20436の連続攻撃）==HP35％以下で使用==|
|~|&mons477; %%%[[樹海獄・タウロスデーモン>モンスター図鑑/0477]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''11165''};|&color(#b00){1};|814960|1280||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ファイアバインド&br;イビルスラッシュ（計20100の連続攻撃）==HP35％以下で使用==|
|~|&mons478; %%%[[光天獄・ハーピィデーモン>モンスター図鑑/0478]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''11707''};|&color(#b00){1};|967662|1280||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダークバインド&br;イビルスラッシュ（計21072の連続攻撃）==HP35％以下で使用==|
|~|&mons479; %%%[[闇地獄・ブラッドデーモン>モンスター図鑑/0479]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''11872''};|&color(#b00){1};|973551|1280||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラッシュバインド&br;イビルスラッシュ（計21372の連続攻撃）==HP35％以下で使用==|
|5|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons1772; %%%[[炎の丼魔・カルドン>モンスター図鑑/1772]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|1833329|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ミートスマッシュ（8527ダメージ＆火ドロップ→お邪魔ドロップ）&br;テイスティンガー！（17054）==HP50％以下で使用==&br;もぐもぐタイム（HP50％回復）==HP50％以下で使用==|
|~|&mons1774; %%%[[海の丼魔・ツナドン>モンスター図鑑/1774]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){1};|1786218|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):マグロスマッシュ（8338ダメージ＆水ドロップ→お邪魔ドロップ）&br;テイスティンガー！（16678）==HP50％以下で使用==&br;もぐもぐタイム（HP50％回復）==HP50％以下で使用==|
|~|&mons1776; %%%[[地の丼魔・ソイドン>モンスター図鑑/1776]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|1797996|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ねばねばすまっしゅ（6307ダメージ＆1体1～2ターンバインド）&br;テイスティンガー！（16818）==HP50％以下で使用==&br;もぐもぐタイム（HP50％回復）==HP50％以下で使用==|
|~|&mons1778; %%%[[金の丼魔・トリドン>モンスター図鑑/1778]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|1809773|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):チキンスマッシュ（8386ダメージ＆光ドロップ→お邪魔ドロップ）&br;テイスティンガー！（16772）==HP50％以下で使用==&br;もぐもぐタイム（HP50％回復）==HP50％以下で使用==|
|~|&mons1780; %%%[[紫の丼魔・スキドン>モンスター図鑑/1780]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){1};|1821551|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ヤミートスマッシュ（8456ダメージ＆闇ドロップ→お邪魔ドロップ）&br;テイスティンガー！（16912）==HP50％以下で使用==&br;もぐもぐタイム（HP50％回復）==HP50％以下で使用==|
|6|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|&mons206; %%%[[マーズライトカーバンクル>モンスター図鑑/0206]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''18564''};|&color(#b00){2};|597380|1560||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):キュアー（HP50％回復）==HP30％以下で使用、1度きり==|
|~|&mons207; %%%[[マーキュライトカーバンクル>モンスター図鑑/0207]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''19159''};|&color(#b00){2};|637047|1560||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):キュアー（HP50％回復）==HP30％以下で使用、1度きり==|
|~|&mons208; %%%[[アースライトカーバンクル>モンスター図鑑/0208]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''19754''};|&color(#b00){2};|676713|1560||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):キュアー（HP50％回復）==HP30％以下で使用、1度きり==|
|~|&mons209; %%%[[サンライトカーバンクル>モンスター図鑑/0209]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''20349''};|&color(#b00){2};|716380|1560||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):キュアー（HP50％回復）==HP30％以下で使用、1度きり==|
|~|&mons210; %%%[[ムーンライトカーバンクル>モンスター図鑑/0210]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''21539''};|&color(#b00){2};|795713|1560||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):キュアー（HP50％回復）==HP30％以下で使用、1度きり==|
|7|&mons1750; %%%[[紅輪の魔導姫・テウルギア>モンスター図鑑/1750]]%%%	||BGCOLOR(#f1bba6):火水|&color(#b00){''5985''};|&color(#b00){1};|2154646|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):=1=常時=1=光と闇属性のダメージ50％減&br;===先制===ソロモンの小さな鍵（999ターン状態異常無効）&br;グリモワール・オブ・フレイム（2993ダメージ＆回復ドロップ→火ドロップ）&br;ヴォルニックスモーク（4489ダメージ＆ドロップが見えなくなる）==HP75％以下で使用==&br;フレイムエヴォケーション（火ドロップの出現率25％上昇）==HP50％以下で使用==&br;バーニングブリザード（11970ダメージ＆ランダム1色→火または水ドロップ）==HP30％以下で使用==|
|8|&mons2069; %%%[[黒獣魔の子分・アーミル>モンスター図鑑/2069]]%%%	|悪魔/回復|BGCOLOR(#bba6f1):闇木|&color(#b00){''-''};|&color(#b00){1};|3822639|460||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):#group#===先制===やあ、いらっしゃい（プレイヤーのHP全回復）&br;アー様になんの用なの？（2ターン50万以上のダメージ吸収）&br;どなたですの？（2ターン状態異常無効）#group#&br;#group#君も僕のところにおいでよ（10812ダメージ＆縦1列目→木ドロップ、縦6列目→闇ドロップ）==下記と同時に使用==&br;こんなやつほっとこうよっ！（1体2ターンバインド）&br;目障りですわ（計1442の連続攻撃）#group#&br;#group#これはどうかな？（計14416の連続攻撃）==下記と同時に使用==&br;アー様かっこいいっ！（HP10％回復）&br;お手伝い致しますわ（ドロップ1個→毒ドロップ）#group#&br;#group#僕の顔に傷が…（2ターン攻撃力2倍）==HP50％以下で下記と同時に使用、1度きり==&br;なにするのよっ！（ドロップ6個→毒ドロップ）&br;大変ですわ！アーミル様のお顔が！（2ターンスキル使用不可）#group#&br;#group#やっぱり僕はこの子たちがいいや（計10092の連続攻撃）==HP50％以下で下記と同時に使用==&br;えへへっ♪（HP1％回復）&br;見ないでくださる？（ドロップが見えなくなる）#group#&br;#group#しつこい子は嫌われるよ？（計28832の連続攻撃）==HP20％以下で下記と同時に使用==&br;しっしっ！（計2884の連続攻撃）&br;あなたはお帰りになって（計2523の連続攻撃）#group#|
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):遊楽魔 地獄級|
|1|&mons191; %%%[[パイロデビル>モンスター図鑑/0191]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''3480''};|&color(#b00){1};|19050|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons193; %%%[[フロストデビル>モンスター図鑑/0193]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''3510''};|&color(#b00){1};|19200|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons195; %%%[[タウロスデビル>モンスター図鑑/0195]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''3570''};|&color(#b00){1};|19350|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons197; %%%[[ハーピィデビル>モンスター図鑑/0197]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''3600''};|&color(#b00){1};|19650|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
