* エヴァ コラボ [#d99a7d60]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|使徒襲来 超地獄級（テクニカル）	|50|7|25000|14000|&color(#080){''&calc(14000/50,1);''};|
|使徒襲来 地獄級（テクニカル）	|45|7|24000|12000|&color(#080){''&calc(12000/45,1);''};|
|使徒襲来 超級（テクニカル）		|40|7|16000|8600|&color(#080){''&calc(8600/40,1);''};|
|使徒襲来 上級（テクニカル）		|25|7|5000|2400|&color(#080){''&calc(2400/25,1);''};|
|使徒襲来 中級（テクニカル）		|15|5|1400|700|&color(#080){''&calc(700/15,1);''};|

- [[ヱヴァンゲリヲン新劇場版:http://mobile.gungho.jp/news/pad/130429_eva.html]]とコラボレーション
//- A.T.フィールド持ちは先制で状態異常無効にするので、威嚇・威圧は効かない
- 2014/02/24 第9の使徒が追加
- 2015/08/24 リニューアル
-- 超地獄級が追加（地獄級の消費スタミナ50→45）
-- エヴァたまドラが4種追加（1種はボスで稀にドロップ）

&color(#b00){''TIPS''}; [[エヴァンゲリオンコラボガチャ>ガチャ/エヴァンゲリオンコラボガチャ]]

|~面|~名前	|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):使徒襲来 超地獄級|
||&mons707; [[第5の使徒>モンスター図鑑/0707]]		|BGCOLOR(#f1bba6):火|&color(#b00){''5553''};|&color(#b00){1};|17453|1690||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons713; [[第4の使徒>モンスター図鑑/0713]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''8806''};|&color(#b00){2};|24395|338||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):光線（計12328の連続攻撃）==HP75％以下で使用==|
||&mons709; [[第6の使徒>モンスター図鑑/0709]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){5};|17|600000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):迎撃（計42444の連続攻撃）|
||&mons1204; [[第9の使徒>モンスター図鑑/1204]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''10432''};|&color(#b00){1};|1020425|1300|※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):侵食（リーダーを3ターンバインド）==HP50％以下で使用、1度きり==|
