* ガイノウト降臨！【特殊】 [#lb428afc]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|頑龍王 超絶地獄級		|50|10|92228|56929|&color(#080){''&calc(56929/50,1);''};|
|頑龍王 絶地獄級		|40|9|68442|44661|&color(#080){''&calc(44661/40,1);''};|

- [[協力プレイダンジョン]]
//2016年01月31日配信
- チームモンスターがLv1の状態からスタートする特殊なダンジョン（[[レジェンドダンジョン仕様>スペシャルダンジョン/レジェンドダンジョン仕様]]）

//&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):頑龍王 超絶地獄級|
|1|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか4体が出現|
|~|&mons252; %%%[[ルビードラゴン>モンスター図鑑/0252]]%%%	|強化用|BGCOLOR(#f1bba6):火|&color(#b00){''3996''};|&color(#b00){1};|247|47333||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons255; %%%[[サファイアドラゴン>モンスター図鑑/0255]]%%%	|強化用|BGCOLOR(#a6f1f1):水|&color(#b00){''3996''};|&color(#b00){1};|247|47333||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons258; %%%[[エメラルドドラゴン>モンスター図鑑/0258]]%%%	|強化用|BGCOLOR(#bbf1a6):木|&color(#b00){''3996''};|&color(#b00){1};|247|47333||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons179; %%%[[ゴールドドラゴン>モンスター図鑑/0179]]%%%	|強化用|BGCOLOR(#f1f1a6):光|&color(#b00){''3996''};|&color(#b00){1};|247|47333||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons176; %%%[[メタルドラゴン>モンスター図鑑/0176]]%%%	|強化用|BGCOLOR(#bba6f1):闇|&color(#b00){''3996''};|&color(#b00){1};|247|47333||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons303; %%%[[ホノペンドラ>モンスター図鑑/0303]]%%%		|強化用|BGCOLOR(#f1bba6):火|&color(#b00){''10804''};|&color(#b00){2};|75480|192||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている（何もしない）|
|~|&mons305; %%%[[ペンペンドラ>モンスター図鑑/0305]]%%%		|強化用|BGCOLOR(#a6f1f1):水|&color(#b00){''10064''};|&color(#b00){2};|73013|192||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている（何もしない）|
|~|&mons307; %%%[[ジュペンドラ>モンスター図鑑/0307]]%%%		|強化用|BGCOLOR(#bbf1a6):木|&color(#b00){''9324''};|&color(#b00){2};|70547|192||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている（何もしない）|
|~|&mons600; %%%[[ピカペンドラ>モンスター図鑑/0600]]%%%		|強化用|BGCOLOR(#f1f1a6):光|&color(#b00){''10804''};|&color(#b00){2};|75480|192||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている（何もしない）|
|~|&mons602; %%%[[ヤミペンドラ>モンスター図鑑/0602]]%%%		|強化用|BGCOLOR(#bba6f1):闇|&color(#b00){''10804''};|&color(#b00){2};|75480|192||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている（何もしない）|
|2|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons1962; %%%[[アカデビニャン>モンスター図鑑/1962]]%%%	|悪魔|BGCOLOR(#f1bba6):火|&color(#b00){''13285''};|&color(#b00){1};|232655|462||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):にゃん撃態勢・火（13285ダメージ＆回復ドロップ→火ドロップ）&br;いかく（2ターンスキル使用不可）==HP50％以下で使用==&br;不機嫌ねこパンチ（計132850の連続攻撃）==HP1％以下で使用==|
|~|&mons1963; %%%[[アオデビニャン>モンスター図鑑/1963]]%%%	|悪魔|BGCOLOR(#a6f1f1):水|&color(#b00){''12893''};|&color(#b00){1};|379905|462||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):にゃん撃態勢・水（12893ダメージ＆回復ドロップ→水ドロップ）&br;いかく（2ターンスキル使用不可）==HP50％以下で使用==&br;不機嫌ねこパンチ（計128930の連続攻撃）==HP1％以下で使用==|
|~|&mons1964; %%%[[ミドリデビニャン>モンスター図鑑/1964]]%%%	|悪魔|BGCOLOR(#bbf1a6):木|&color(#b00){''12893''};|&color(#b00){1};|379905|462||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):にゃん撃態勢・木（12893ダメージ＆回復ドロップ→木ドロップ）&br;いかく（2ターンスキル使用不可）==HP50％以下で使用==&br;不機嫌ねこパンチ（計128930の連続攻撃）==HP1％以下で使用==|
|~|&mons1965; %%%[[シロデビニャン>モンスター図鑑/1965]]%%%	|悪魔|BGCOLOR(#f1f1a6):光|&color(#b00){''12893''};|&color(#b00){1};|379905|462||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):にゃん撃態勢・光（12893ダメージ＆回復ドロップ→光ドロップ）&br;いかく（2ターンスキル使用不可）==HP50％以下で使用==&br;不機嫌ねこパンチ（計128930の連続攻撃）==HP1％以下で使用==|
|~|&mons1966; %%%[[クロデビニャン>モンスター図鑑/1966]]%%%	|悪魔|BGCOLOR(#bba6f1):闇|&color(#b00){''12893''};|&color(#b00){1};|379905|462||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):にゃん撃態勢・闇（12893ダメージ＆回復ドロップ→闇ドロップ）&br;いかく（2ターンスキル使用不可）==HP50％以下で使用==&br;不機嫌ねこパンチ（計128930の連続攻撃）==HP1％以下で使用==|
|3|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|&mons310; %%%[[氷のサムライオーガ>モンスター図鑑/0310]]%%%	|体力/悪魔|BGCOLOR(#f1bba6):火水|&color(#b00){''43950''};|&color(#b00){3};|1399075|930||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):<火>気合溜め（次回攻撃力2倍）&br;<水>フリーズストライク（計65925の連続攻撃）|
|~|&mons311; %%%[[樹のサムライオーガ>モンスター図鑑/0311]]%%%	|体力/悪魔|BGCOLOR(#f1bba6):火木|&color(#b00){''43950''};|&color(#b00){3};|1399075|930||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):<火>気合溜め（次回攻撃力2倍）&br;<木>ロックストライク（計65925の連続攻撃）|
|~|&mons312; %%%[[炎のアイスオーガ>モンスター図鑑/0312]]%%%	|体力/悪魔|BGCOLOR(#a6f1f1):水火|&color(#b00){''53521''};|&color(#b00){4};|1472325|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):<水>羽交い絞め（1体10ターンバインド）&br;<火>フレイムストライク（計80282の連続攻撃）|
|~|&mons313; %%%[[樹のアイスオーガ>モンスター図鑑/0313]]%%%	|体力/悪魔|BGCOLOR(#a6f1f1):水木|&color(#b00){''53521''};|&color(#b00){4};|1472325|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):<水>羽交い絞め（1体10ターンバインド）&br;<木>ロックストライク（計80282の連続攻撃）|
|~|&mons314; %%%[[炎のアーマーオーガ>モンスター図鑑/0314]]%%%	|体力/悪魔|BGCOLOR(#bbf1a6):木火|&color(#b00){''41801''};|&color(#b00){3};|1350242|4650||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):<木>ウォーターバインド&br;<火>フレイムストライク（計62702の連続攻撃）|
|~|&mons315; %%%[[氷のアーマーオーガ>モンスター図鑑/0315]]%%%	|体力/悪魔|BGCOLOR(#bbf1a6):木水|&color(#b00){''41801''};|&color(#b00){3};|1350242|4650||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):<木>ウォーターバインド&br;<水>フリーズストライク（計62702の連続攻撃）|
|4|&mons1109; %%%[[炎天双極星・イフリート>モンスター図鑑/1109]]%%%	|ドラゴン/悪魔|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){2};|60|2500000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):こちらに気付いた（999ターン状態異常無効）==HP100％で使用、1度きり==&br;じっとこちら見ている（何もしない）==HP100％で使用==&br;獰猛なる炎（16204ダメージ＆全員のスキル2ターン遅延）==2ターンに1回==&br;コロナブロー（25926）&br;魔龍炎（30788ダメージ＆ドロップ6個→火・闇ドロップ）==HP50％以下で使用==|
|5|&mons759; %%%[[角砦龍・フォートトイトプス>モンスター図鑑/0759]]%%%	|ドラゴン/バランス|BGCOLOR(#bbf1a6):木水|&color(#b00){''-''};|&color(#b00){1};|4614524|55644||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ディフェンディング（999ターン状態異常無効）&br;スーパーホーン（12258）&br;グランドラッシュ（10215ダメージ＆ドロップ6個→お邪魔ドロップ）&br;アブソリュートガード（1ターン被ダメージ75％減）==HP50％以下で使用、1度きり==&br;デスクラッシュ（20430ダメージ＆10ターンスキル使用不可）==HP30％以下で使用==&br;デスクラッシュ（計61290の連続攻撃）==HP30％以下で使用==|
|6|&mons619; %%%[[超キングエメラルドドラゴン>モンスター図鑑/0619]]%%%	|強化用|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|82955|240000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続かみつき（計64000の連続攻撃）|
|~|&mons618; %%%[[超キングサファイアドラゴン>モンスター図鑑/0618]]%%%	|強化用|BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){1};|82955|240000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続かみつき（計64000の連続攻撃）|
|7|&mons2299; %%%[[ホノぷれドラ>モンスター図鑑/2299]]%%%	|売却用|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|50|10000000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):レッドブリリアント（24000ダメージ＆ドロップ5個→火ドロップ）|
|~|&mons2300; %%%[[ミズぷれドラ>モンスター図鑑/2300]]%%%	|売却用|BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){1};|50|10000000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ブルーブリリアント（24000ダメージ＆ドロップ5個→水ドロップ）|
//|~|&mons2301; %%%[[モクぷれドラ>モンスター図鑑/2301]]%%%	|売却用|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|50|10000000||
//|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):グリーンブリリアント（24000ダメージ＆ドロップ5個→木ドロップ）|
//|~|&mons2302; %%%[[ヒカぷれドラ>モンスター図鑑/2302]]%%%	|売却用|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|50|10000000||
//|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):イエローブリリアント（24000ダメージ＆ドロップ5個→光ドロップ）|
|~|&mons2303; %%%[[ヤミぷれドラ>モンスター図鑑/2303]]%%%	|売却用|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){1};|50|10000000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):パープルブリリアント（24000ダメージ＆ドロップ5個→闇ドロップ）|
|8|&mons1458; %%%[[五天の神秘龍・フォークロア>モンスター図鑑/1458]]%%%	|ドラゴン/悪魔/マシン|BGCOLOR(#a6f1f1):水火|&color(#b00){''12970''};|&color(#b00){1};|7525638|504||
