* ガンホーコラボダンジョン [#k544443a]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|実りの洞 地獄級（テクニカル）	|50|10|25500|15240|&color(#080){''304''};|
|実りの洞 超級（テクニカル）		|40|10|18600|10970|&color(#080){''274''};|
|実りの洞 上級（テクニカル）		|25|10|10300|5930|&color(#080){''237''};|
|実りの洞 中級（テクニカル）		|15|5|2230|1450|&color(#080){''97''};|

-ボスの孤軍奮闘は連続攻撃も3倍の威力になるので注意
- 2014/08/18 ダンジョンリニューアル
-- 新モンスター追加、中ボス変更
-- 鵜飼孫六、キャシー・クレイジーの進化後が追加
-- ドロップス、サラマンダー・アルマ、バルーンペンペンは出現しなくなった

|~面|~名前	|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):実りの洞 地獄級|
||&mons1519; [[よりしろ>モンスター図鑑/1519]]			|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|15300|30000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):・・・（何もしない）==5回使用==&br;そいやー（計36360の連続攻撃）|
||&mons1521; [[ロイヤルグリーンホーク>モンスター図鑑/1521]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''4020''};|&color(#b00){1};|24|60000||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):翼を大きく羽ばたかせた（1ターン攻撃力2倍）==HP50％以下で使用==&br;急降下（8040）==HP30％以下で使用==|
||&mons1520; [[めたぼん>モンスター図鑑/1520]]			|BGCOLOR(#bba6f1):闇|&color(#b00){''7830''};|&color(#b00){2};|225600|0||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):お邪魔するぼん。（ランダム1色→お邪魔ドロップ）==HP30％以下で使用==&br;動けなくするぼん。（3体を2～3ターンバインド）==HP30％以下で使用==|
||&mons1522; [[ピコスケ>モンスター図鑑/1522]]			|BGCOLOR(#f1bba6):火|&color(#b00){''6270''};|&color(#b00){2};|31350|900||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):いっくよー！（計7524の連続攻撃）==HP50％以下で使用==|
||&mons664; [[鵜飼孫六>モンスター図鑑/0664]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''4410''};|&color(#b00){1};|10200|160||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):分身の術（計8820の連続攻撃）==HP50％以下で使用==|
||&mons506; [[ゼリーエンジェル>モンスター図鑑/0506]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''3960''};|&color(#b00){2};|14700|80||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons346; [[ECO・シャボタン>モンスター図鑑/0346]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''4920''};|&color(#b00){3};|31350|180||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):バインドアタック（1体を2～4ターンバインド）|
||&mons662; [[キャシー・クレイジー>モンスター図鑑/0662]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''6660''};|&color(#b00){3};|19200|160||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):黒い感情（次回攻撃力3倍）==HP75％以下で使用==|
|3|&mons663; [[ロマンティック★キャシー>モンスター図鑑/0663]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''5307''};|&color(#b00){2};|357257|9800||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):さぁ、ねんねの時間だよ（2654ダメージ＆ドロップが見えなくなる）==HP75％以下で使用==&br;お前とお前は出ていけ（計10614の連続攻撃）==HP50％以下で使用==|
