* ケプリ降臨！【操作時間4秒固定】 [#lb428afc]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|蒼空神 絶地獄級		|50|8|83624|40221|&color(#080){''&calc(83624/50,1);''};|
|蒼空神 超地獄級		|50|8|59392|29063|&color(#080){''&calc(29063/50,1);''};|

- 2016年08月25日配信 [[公式:http://pad.gungho.jp/member/advent/160818_khepri.html]]

- 操作時間が4秒に固定された制限ダンジョン
-- 覚醒・潜在覚醒・スキル・リーダースキル等による操作時間延長の効果は発動しない

//&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):蒼空神 絶地獄級|
|1|&mons788; %%%[[迷宮の獣人・ミノタウロス>モンスター図鑑/0788]]%%%x3	|攻撃|BGCOLOR(#f1bba6):火|&color(#b00){''16969''};|&color(#b00){3};|810403|450||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===クイックスタンプ（3394）&br;フルスイング（25454）==HP40％以下で使用==&br;羽交い絞め（1体10ターンバインド）==HP10％以下で使用、1度きり==|
|2|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons1171; %%%[[プチリップ>モンスター図鑑/1171]]%%%	|ドラゴン|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|710033|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===スネークフレア（4488ダメージ＆横1行目→火ドロップ）&br;華蛇の眼光（全員のスキル1ターン遅延）==HP100％で使用==&br;フラワーテイル（10471ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1172; %%%[[プチローズ>モンスター図鑑/1172]]%%%	|ドラゴン|BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){1};|710033|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===スネークアクア（4488ダメージ＆横2行目→水ドロップ）&br;華蛇の眼光（全員のスキル1ターン遅延）==HP100％で使用==&br;フラワーテイル（10471ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1173; %%%[[プチリウム>モンスター図鑑/1173]]%%%	|ドラゴン|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|710033|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===スネークゲイル（4488ダメージ＆横3行目→木ドロップ）&br;華蛇の眼光（全員のスキル1ターン遅延）==HP100％で使用==&br;フラワーテイル（10471ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1174; %%%[[プチアンサス>モンスター図鑑/1174]]%%%	|ドラゴン|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|710033|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===スネークレイ（4488ダメージ＆横4行目→光ドロップ）&br;華蛇の眼光（全員のスキル1ターン遅延）==HP100％で使用==&br;フラワーテイル（10471ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1175; %%%[[プチラン>モンスター図鑑/1175]]%%%	|ドラゴン|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){1};|710033|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===スネークカオス（4488ダメージ＆横5行目→闇ドロップ）&br;華蛇の眼光（全員のスキル1ターン遅延）==HP100％で使用==&br;フラワーテイル（10471ダメージ＆ランダム1色→回復ドロップ）|
|3|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現（タンは1体のみ）|
|~|&mons1542; %%%[[ガイアシールドナイト>モンスター図鑑/1542]]%%%	|体力|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|402820|40000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ウィンドシールド（10ターン木属性吸収）&br;シールドバッシュ（9600）&br;グリーンタックル（7200ダメージ＆ランダム1色→木ドロップ）|
|~|&mons1466; %%%[[ラーたまドラ>モンスター図鑑/1466]]%%%	|神|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){2};|37|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===サイレントスマイル（5ターンスキル使用不可）==スキル封印されていない場合に使用==&br;===先制===立チ去レたまぁ･･･（何もしない）==スキル封印されている場合に使用==&br;ソーラーレーザー（7777）|
|~|&mons2723; %%%[[ホノタン>モンスター図鑑/2723]]%%%		|強化用|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|25|5133333||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):エンソウルキャリー（16000ダメージ＆ドロップ1個→火ドロップ）|
