* サンタクロース降臨！ [#lb428afc]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|聖夜神 超祝福級		|50|6|93460|24565|&color(#080){''&calc(24565/50,1);''};|
|聖夜神 祝福級		|50|6|57256|16493|&color(#080){''&calc(16493/50,1);''};|

//2015年12月25日配信

//&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):聖夜神 超祝福級|
|1|&mons155; %%%[[ルビリット>モンスター図鑑/0155]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''6267''};|&color(#b00){1};|20758|75||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons156; %%%[[サファリット>モンスター図鑑/0156]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''6815''};|&color(#b00){1};|21542|75||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons157; %%%[[エメリット>モンスター図鑑/0157]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''7442''};|&color(#b00){1};|22325|75||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons158; %%%[[トパリット>モンスター図鑑/0158]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''7990''};|&color(#b00){1};|23108|75||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|~|&mons160; %%%[[ミスリット>モンスター図鑑/0160]]%%%x3 	||BGCOLOR(#bba6f1):闇|&color(#b00){''7332''};|&color(#b00){1};|116661|75||
