* タケミカヅチ降臨！【バランス強化】 [#lb428afc]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|雷拳神 超地獄級	|50|5|45000|24000|&color(#080){''&calc(24000/50,1);''};|
|雷拳神 地獄級		|50|5|26308|14337|&color(#080){''&calc(14337/50,1);''};|

- チーム内のバランスタイプを含むモンスターの「全パラメータ（HP、攻撃、回復）」が1.5倍になる

//2016年01月16日配信

//&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):雷拳神 超地獄級|
|1|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons2435; %%%[[ホノシバマル>モンスター図鑑/2435]]%%%	|バランス|BGCOLOR(#f1bba6):火|&color(#b00){''6522''};|&color(#b00){1};|194605|176||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ワオン！（5218）&br;炎術の巻物（7826ダメージ＆ランダム1色→火ドロップ）|
|~|&mons2436; %%%[[ミズシバマル>モンスター図鑑/2436]]%%%	|バランス|BGCOLOR(#a6f1f1):水|&color(#b00){''6247''};|&color(#b00){1};|202259|176||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===キャン！（4998）&br;水術の巻物（7496ダメージ＆ランダム1色→水ドロップ）|
|~|&mons2437; %%%[[モクシバマル>モンスター図鑑/2437]]%%%	|バランス|BGCOLOR(#bbf1a6):木|&color(#b00){''6431''};|&color(#b00){1};|188479|176||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ガオー！（5145）&br;風術の巻物（7717ダメージ＆ランダム1色→木ドロップ）|
|~|&mons2438; %%%[[ヒカシバマル>モンスター図鑑/2438]]%%%	|バランス|BGCOLOR(#f1f1a6):光|&color(#b00){''7134''};|&color(#b00){1};|160919|176||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ガルル！（4994ダメージ＆光ドロップをロック）&br;仙術の巻物（7134ダメージ＆ドロップが見えなくなる）|
|~|&mons2439; %%%[[ヤミシバマル>モンスター図鑑/2439]]%%%	|バランス|BGCOLOR(#bba6f1):闇|&color(#b00){''7502''};|&color(#b00){1};|176231|176||
