* デュエル・マスターズ コラボ [#v50435b8]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|革命伝説 革命級（テクニカル）	|50|6|32000|27000|&color(#080){''&calc(27000/50,1);''};|
|革命伝説 侵略級（テクニカル）	|45|6|22000|19000|&color(#080){''&calc(19000/45,1);''};|
|革命伝説 超級（テクニカル）		|40|6|15000|13000|&color(#080){''&calc(13000/40,1);''};|
|革命伝説 上級（テクニカル）		|25|6|8000|7400|&color(#080){''&calc(7400/25,1);''};|
|革命伝説 中級（テクニカル）		|15|5|2800|2500|&color(#080){''&calc(2500/15,1);''};|

- [[デュエル・マスターズ:http://pad.gungho.jp/member/dm.html]]とコラボレーション
- コラボモンスターと同一スキルを持つカードを稀にドロップ（ボスで2種）
-- 2015/06/27 カード追加（道中で5種）

|~面|~名前	|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):革命伝説 革命級|
||&mons2153; [[コッコ・ルピア>モンスター図鑑/2153]]		|BGCOLOR(#f1bba6):火|&color(#b00){''4920''};|&color(#b00){1};|301200|160|※稀に[[ボルシャックカード>モンスター図鑑/2201]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):たたかうッピ！（999ターン攻撃力2倍）&br;竜呼びの舞（ドラゴンタイプ1ターンバインド）==HP50％以下で使用==|
||&mons2154; [[マッハ・ルピア>モンスター図鑑/2154]]		|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|1187100|280|※稀に[[ボルシャックカード>モンスター図鑑/2201]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===マッハダイブ（2436）&br;パワーダイブ（計7308の連続攻撃）&br;竜呼びの舞（ドラゴンタイプ1ターンバインド）==HP50％以下で使用==|
||&mons2155; [[アクア・サーファー>モンスター図鑑/2155]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''5370''};|&color(#b00){1};|346200|160|※稀に[[グレートブルーカード>モンスター図鑑/2202]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):波がきてるね～、俺♪（補助スキル解除）&br;アクア・360°（6444ダメージ＆縦2,3列目→水ドロップ）==HP80％以下で使用==&br;神秘のサーフボード（全員のスキル0～1ターン遅延）==HP50％以下で使用==|
||&mons2157; [[シェル・ファクトリーγ>モンスター図鑑/2157]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){2};|20|1000000|※稀に[[呪紋の化身カード>モンスター図鑑/2203]]をドロップ|
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):サバイバー大増殖（2ターン被ダメージ50％減）&br;サバイバー総攻撃（計46800の連続攻撃）|
