*ドラりん降臨！【攻撃強化】  [#ieff2e83]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|龍騎士？ 地獄級	|50|5|16900|3700|&color(#080){''&calc(3700/50,1);''};|
|龍騎士？ 超級		|30|5|14300|2100|&color(#080){''&calc(2100/30,1);''};|

- 2016/02/08 リニューアル（[[ドラりん降臨！/旧ver>スペシャルダンジョン/ドラりん降臨！/旧ver]]）
-- コスト制限を廃止、攻撃タイプ強化（HP・攻撃・回復1.5倍）に変更

&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):龍騎士？ 地獄級|
|1|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか4体が出現|
|~|&mons036; %%%[[ホノりん>モンスター図鑑/0036]]%%%	|バランス|BGCOLOR(#f1bba6):火|&color(#b00){''7560''};|&color(#b00){1};|24053|172||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons038; %%%[[アワりん>モンスター図鑑/0038]]%%%	|バランス|BGCOLOR(#a6f1f1):水|&color(#b00){''7668''};|&color(#b00){1};|25555|160||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons040; %%%[[モリりん>モンスター図鑑/0040]]%%%	|バランス|BGCOLOR(#bbf1a6):木|&color(#b00){''7590''};|&color(#b00){1};|24400|136||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons042; %%%[[ヒカりん>モンスター図鑑/0042]]%%%	|バランス|BGCOLOR(#f1f1a6):光|&color(#b00){''7713''};|&color(#b00){1};|24948|114||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons044; %%%[[ワルりん>モンスター図鑑/0044]]%%%	|バランス|BGCOLOR(#bba6f1):闇|&color(#b00){''7875''};|&color(#b00){1};|26250|110||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|2|&mons687; %%%[[キングヒカりん>モンスター図鑑/0687]]%%%	|回復|BGCOLOR(#f1f1a6):光|&color(#b00){''5730''};|&color(#b00){1};|548610|100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):孤軍奮闘（1体の時、999ターン攻撃力3倍）&br;光あれ！（闇ドロップ→光ドロップ）&br;天使の輪（4体を1～2ターンバインド）==HP50％以下で使用、1度きり==|
|~|&mons688; %%%[[キングワルりん>モンスター図鑑/0688]]%%%	|悪魔|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){1};|548610|100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):大きく口をひらいた（何もしない）==初回1度きり==&br;かおすえいっ！（何もしない）==2回使用==&br;カオスレイ（33332）|
|3|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|&mons037; %%%[[デカホノりん>モンスター図鑑/0037]]%%%	|バランス|BGCOLOR(#f1bba6):火|&color(#b00){''10990''};|&color(#b00){2};|167223|300||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|~|&mons039; %%%[[デカアワりん>モンスター図鑑/0039]]%%%	|バランス|BGCOLOR(#a6f1f1):水|&color(#b00){''11273''};|&color(#b00){2};|211375|295||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|~|&mons041; %%%[[デカモリりん>モンスター図鑑/0041]]%%%	|バランス|BGCOLOR(#bbf1a6):木|&color(#b00){''11585''};|&color(#b00){2};|245055|280||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|~|&mons043; %%%[[デカヒカりん>モンスター図鑑/0043]]%%%	|バランス|BGCOLOR(#f1f1a6):光|&color(#b00){''11595''};|&color(#b00){2};|289875|270||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|~|&mons045; %%%[[デカワルりん>モンスター図鑑/0045]]%%%	|バランス|BGCOLOR(#bba6f1):闇|&color(#b00){''11918''};|&color(#b00){2};|307848|250||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|4|&mons684; %%%[[キングホノりん>モンスター図鑑/0684]]%%%	|攻撃|BGCOLOR(#f1bba6):火|&color(#b00){''7048''};|&color(#b00){2};|444445|100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):孤軍奮闘（1体の時、999ターン攻撃力3倍）&br;楽しそうに跳ねている（何もしない）&br;ムカ着火ファイアー！（計9870の連続攻撃）==HP50％以下で使用==|
|~|&mons685; %%%[[キングアワりん>モンスター図鑑/0685]]%%%	|体力|BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){2};|444445|100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):孤軍奮闘（1体の時、999ターン攻撃力3倍）&br;ぐうぐう眠っている（何もしない）==HP100％で使用==&br;おはようアタック！（19584）&br;みずびたし（火属性2～4ターンバインド）==HP50％以下で使用、1度きり==|
|~|&mons686; %%%[[キングモリりん>モンスター図鑑/0686]]%%%	|バランス|BGCOLOR(#bbf1a6):木|&color(#b00){''6770''};|&color(#b00){2};|444445|100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):孤軍奮闘（1体の時、999ターン攻撃力3倍）&br;膨れ上がる（次回攻撃力2倍）&br;いただきまーす！（1体を5ターンバインド）==HP50％以下で使用、1度きり==|
|5|&mons744; %%%[[エンシェントドラりんナイト>モンスター図鑑/0744]]%%%	|ドラゴン|BGCOLOR(#bbf1a6):木|&color(#b00){''7258''};|&color(#b00){1};|2086633|190||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):虚無の波動（補助スキル解除）&br;火属性はキライっ！（火属性2～4ターンバインド）==1度きり==&br;どらごんふぁんぐ（計8710の連続攻撃）&br;ドラゴンエンハンス（999ターン攻撃力2倍）==HP50％以下で使用==&br;ドラゴンファング（2倍時、計24676の連続攻撃）==HP25％以下で使用==|
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):龍騎士？ 超級|
|1|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか4体が出現|
|~|&mons036; %%%[[ホノりん>モンスター図鑑/0036]]%%%	|バランス|BGCOLOR(#f1bba6):火|&color(#b00){''5788''};|&color(#b00){1};|18415|132||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons038; %%%[[アワりん>モンスター図鑑/0038]]%%%	|バランス|BGCOLOR(#a6f1f1):水|&color(#b00){''5733''};|&color(#b00){1};|19110|120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons040; %%%[[モリりん>モンスター図鑑/0040]]%%%	|バランス|BGCOLOR(#bbf1a6):木|&color(#b00){''5335''};|&color(#b00){1};|17150|96||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons042; %%%[[ヒカりん>モンスター図鑑/0042]]%%%	|バランス|BGCOLOR(#f1f1a6):光|&color(#b00){''4973''};|&color(#b00){1};|16088|74||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|~|&mons044; %%%[[ワルりん>モンスター図鑑/0044]]%%%	|バランス|BGCOLOR(#bba6f1):闇|&color(#b00){''4975''};|&color(#b00){1};|16583|70||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):楽しそうに跳ねている（何もしない）|
|2|&mons687; %%%[[キングヒカりん>モンスター図鑑/0687]]%%%	|回復|BGCOLOR(#f1f1a6):光|&color(#b00){''3070''};|&color(#b00){1};|294055|60||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):孤軍奮闘（1体の時、999ターン攻撃力3倍）&br;光あれ！（闇ドロップ→光ドロップ）&br;天使の輪（4体を1～2ターンバインド）==HP50％以下で使用、1度きり==|
|~|&mons688; %%%[[キングワルりん>モンスター図鑑/0688]]%%%	|悪魔|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){1};|294055|60||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):大きく口をひらいた（何もしない）==初回1度きり==&br;かおすえいっ！（何もしない）==2回使用==&br;カオスレイ（17872）|
|3|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
