* パズバト コラボ [#xdf985aa]

|~名称 |~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|龍の寝床 地獄級（テクニカル）	|50|7|30000|19000|&color(#080){''380''};|
|龍の寝床 超級（テクニカル）		|40|7|27000|13000|&color(#080){''325''};|
|龍の寝床 上級（テクニカル）		|25|7|9200|1600|&color(#080){''64''};|
|龍の寝床 中級（テクニカル）		|15|5|2000|550|&color(#080){''36''};|

- [[パズドラ バトルトーナメント:http://mobile.gungho.jp/news/pad/140424_padbt.html]]とコラボレーション
- 2015/05/11 「ヨウたまドラ」「ティンニンたまドラ」が追加

|~面|~モンスター |~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):龍の寝床 地獄級|
|1|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons037; [[デカホノりん>モンスター図鑑/0037]]		|BGCOLOR(#f1bba6):火|&color(#b00){''2172''};|&color(#b00){1};|33056|150||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|~|&mons039; [[デカアワりん>モンスター図鑑/0039]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''2267''};|&color(#b00){1};|42500|150||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|~|&mons041; [[デカモリりん>モンスター図鑑/0041]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''2456''};|&color(#b00){1};|51944|150||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|~|&mons043; [[デカヒカりん>モンスター図鑑/0043]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''2550''};|&color(#b00){1};|63750|150||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|~|&mons045; [[デカワルりん>モンスター図鑑/0045]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''2833''};|&color(#b00){1};|73194|150||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):膨れ上がる（次回攻撃力2倍）|
|2|&mons191; [[パイロデビル>モンスター図鑑/0191]]		|BGCOLOR(#f1bba6):火|&color(#b00){''3480''};|&color(#b00){1};|19050|1400||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons193; [[フロストデビル>モンスター図鑑/0193]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''3510''};|&color(#b00){1};|19200|1400||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons195; [[タウロスデビル>モンスター図鑑/0195]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''3570''};|&color(#b00){1};|19350|1400||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons197; [[ハーピィデビル>モンスター図鑑/0197]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''3600''};|&color(#b00){1};|19650|1400||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|~|&mons199; [[ブラッドデビル>モンスター図鑑/0199]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''3690''};|&color(#b00){1};|19800|1400||
|~|~|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
|3|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
