* ヘパイストス降臨！ [#lb428afc]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|鍛煉神 超地獄級	|50|7|54560|22180|&color(#080){''&calc(22180/50,1);''};|
|鍛煉神 地獄級		|50|7|30864|13209|&color(#080){''&calc(13209/50,1);''};|

//○年○月○日配信

//&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):鍛煉神 超地獄級|
|1|&mons794; %%%[[雷光の巨漢・サイクロプス>モンスター図鑑/0794]]%%%x3	|体力|BGCOLOR(#f1f1a6):光|&color(#b00){''15090''};|&color(#b00){3};|902250|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ヘビーブロウ（残りHP75％ダメージ）&br;武器を振り上げた（何もしない、ギガインパクトと交互に使用）==HP50％以下で使用==&br;ギガインパクト（30180）==HP50％以下で使用==|
|2|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons906; %%%[[フレイムバロン>モンスター図鑑/0906]]%%%	|バランス|BGCOLOR(#f1bba6):火|&color(#b00){''9377''};|&color(#b00){1};|172394|90000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===騎士道精神（プレイヤーのHP全回復）&br;フレイムフォース（7502ダメージ＆ランダム1色→火ドロップ）&br;エンパイアソード（14066）==HP25％以下で使用==|
|~|&mons907; %%%[[アクアバロン>モンスター図鑑/0907]]%%%		|バランス|BGCOLOR(#a6f1f1):水|&color(#b00){''9377''};|&color(#b00){1};|172394|90000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===騎士道精神（プレイヤーのHP全回復）&br;アイスフォース（7502ダメージ＆ランダム1色→水ドロップ）&br;オーシャンスピアー（11721ダメージ＆ランダム1色→水ドロップ）==HP25％以下で使用==|
|~|&mons908; %%%[[アースバロン>モンスター図鑑/0908]]%%%		|バランス|BGCOLOR(#bbf1a6):木|&color(#b00){''9377''};|&color(#b00){1};|172394|90000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===騎士道精神（プレイヤーのHP全回復）&br;ウィンドフォース（7502ダメージ＆ランダム1色→木ドロップ）&br;エンパイアソード（14066）==HP25％以下で使用==|
|~|&mons909; %%%[[ホワイトバロン>モンスター図鑑/0909]]%%%	|バランス|BGCOLOR(#f1f1a6):光|&color(#b00){''9377''};|&color(#b00){1};|172394|90000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===騎士道精神（プレイヤーのHP全回復）&br;サンダーフォース（7502ダメージ＆ランダム1色→光ドロップ）&br;エンパイアソード（14066）==HP25％以下で使用==|
|~|&mons910; %%%[[ブラックバロン>モンスター図鑑/0910]]%%%	|バランス|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){1};|172394|90000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ポイズンエッジ（7970ダメージ＆ドロップ3個→毒ドロップ）&br;カオスエッジ（9377ダメージ＆ランダム1色→お邪魔ドロップ）|
|3|&mons822; %%%[[バーンフェニックスナイト・ホムラ>モンスター図鑑/0822]]%%%		|バランス|BGCOLOR(#f1bba6):火|&color(#b00){''8583''};|&color(#b00){1};|1586944|300||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):=1=常時=1=HP76％以上で、HPが0になる攻撃を受けてもHPが1残る&br;#group#===先制===焔騎の翼（5ターン3コンボ以下の攻撃吸収）&br;バーニングオーラ（5ターン火ドロップの出現率15％増加）#group#&br;ドロップオルタレート・焔（25749ダメージ＆水→火ドロップ）==5ターンに1度使用==&br;フレイムスラスト（8583ダメージ＆ドロップ4個→火ドロップ）&br;ヒールヒート（8583ダメージ＆HP10％回復）==HP75％以下で使用==&br;不死鳥の魂（HP全回復）==HP1％以下で使用==&br;|
|4|&mons1541; %%%[[グリーンシードラ>モンスター図鑑/1541]]%%%x2	|体力|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){2};|12|200000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ウィンドシールド（10ターン木属性吸収）&br;シールドバッシュ（8444）|
|~|&mons1542; %%%[[ガイアシールドナイト>モンスター図鑑/1542]]%%%	|体力|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|502943|50000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ウィンドシールド（10ターン木属性吸収）&br;シールドバッシュ（11000）&br;グリーンタックル（8250ダメージ＆ランダム1色→木ドロップ）|
|5|&mons1535; %%%[[覚醒セレス>モンスター図鑑/1535]]%%%	|バランス/悪魔|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|1175307|0||
