* ミオン降臨！ [#lb428afc]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|龍楽士 超地獄級	|50|7|126768|48115|&color(#080){''&calc(48115/50,1);''};|
|龍楽士 地獄級		|50|7|83240|32316|&color(#080){''&calc(32316/50,1);''};|

- 2016年09月29日配信 [[公式:http://pad.gungho.jp/member/advent/160921_live.html]]

//&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):龍楽士 超地獄級|
|1|&mons091; %%%[[セイレーン>モンスター図鑑/0091]]%%%		|回復|BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){1};|3148444|480||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===防御態勢・水（火→回復ドロップ）&br;アフリクトノイズ（縦6列目→毒ドロップ）==2ターンに1回使用==&br;束縛の音色（8761ダメージ＆ランダム1体2ターンバインド）&br;スパークリングボイス（10951ダメージ＆ドロップ1個→水ドロップ）&br;|
|~|&mons1077; %%%[[べりドラ>モンスター図鑑/1077]]%%%		|ドラゴン|BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){1};|647998|288||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ブルーベリーみつけた（ドロップ3個→水ドロップ）&br;もぐもぐもぐ（4979ダメージ＆水→お邪魔ドロップ）&br;ぼくのおやつないの？（全員のスキル2～4ターン遅延）&br;ぺぺぺぺぺぺっ（残りHP75％ダメージ）==3ターン目に使用==&br;|
|~|&mons690; %%%[[突撃兵・マリンゴブリン>モンスター図鑑/0690]]%%%	|攻撃|BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){1};|688489|520||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===突撃（11947）&br;乱れ撃ち（計5974～23896の連続攻撃）|
|2|&mons2196; %%%[[アクアギア>モンスター図鑑/2196]]%%%	|マシン/悪魔|BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){1};|34|911111||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):スリープモード（全員のスキル1ターン遅延）==HP100％で使用==&br;起動した（999ターン攻撃力2倍）&br;アクアパルス（2倍時、18687ダメージ＆ドロップ3個→水ドロップ）|
|~|&mons3063; %%%[[悠久の緑龍喚士・ソニアたまドラ>モンスター図鑑/3063]]%%%		|ドラゴン/悪魔|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|4462663|192||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===止めるたまぁ！（99ターン5コンボ以下の攻撃吸収）&br;ドラゴンフレア（13997ダメージ＆ドロップ3個→火ドロップ）&br;継界召龍陣・たまぁ～！（何もしない）==HP40％以下で使用、1度きり==&br;メテオフレイム（69985ダメージ＆ドロップ10個→火ドロップ）==HP40％以下で使用==&br;|
|~|&mons2197; [[ウィンドギア>モンスター図鑑/2197]]	|マシン/悪魔|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|34|911111||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):スリープモード（全員のスキル1ターン遅延）==HP100％で使用==&br;起動した（999ターン攻撃力2倍）&br;ウィンドパルス（2倍時、18687ダメージ＆ドロップ3個→木ドロップ）|
|3|&mons759; %%%[[角砦龍・フォートトイトプス>モンスター図鑑/0759]]%%%	|ドラゴン/バランス|BGCOLOR(#bbf1a6):木水|&color(#b00){''-''};|&color(#b00){1};|6352462|77822||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ディフェンディング（999ターン状態異常無効）&br;スーパーホーン（16876）&br;グランドラッシュ（14063ダメージ＆ドロップ6個→お邪魔ドロップ）&br;アブソリュートガード（1ターン被ダメージ75％減）==HP50％以下で使用、1度きり==&br;デスクラッシュ（28126ダメージ＆10ターンスキル使用不可）==HP30％以下で使用==&br;デスクラッシュ（計84378の連続攻撃）==HP30％以下で使用==|
|4|&mons974; %%%[[紅の海賊龍・バーソロミュー>モンスター図鑑/0974]]%%%	|ドラゴン|BGCOLOR(#f1bba6):火水|&color(#b00){''24827''};|&color(#b00){1};|5303200|9200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ダイヤモンドクロス（20ターン状態異常無効）&br;ブラック・バート（3ターン攻撃力3倍）==初回1度きり==&br;主砲発射（31034ダメージ＆ランダム1色→火ドロップ）&br;ロイヤル・フォーチュン（計39724の連続攻撃）==HP50％以下で使用==|
|5|&mons1119; %%%[[覚醒サンダルフォン>モンスター図鑑/1119]]%%%	|神/回復|BGCOLOR(#f1f1a6):光水|&color(#b00){''-''};|&color(#b00){1};|6498624|1072||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===天使の賛美歌（3ターンスキル使用不可）&br;浄化の旋律（15471ダメージ＆闇ドロップ→光ドロップ）&br;ソード・オブ・マルクト（計23206の連続攻撃）&br;幽閉の鳥籠（神タイプ10ターンバインド）==HP50％以下で使用、1度きり==&br;裁きの瞑奏（計40611の連続攻撃）==HP30％以下で使用==|
|6|&mons2748; %%%[[覚醒ヘルメス>モンスター図鑑/2748]]%%%	|悪魔/攻撃|BGCOLOR(#a6f1f1):水火|&color(#b00){''-''};|&color(#b00){1};|12537639|420||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):=1=常時=1=HP75％以上で、HPが0になる攻撃を受けてもHPが1残る&br;#group#===先制===ナレッジバリア（999ターン状態異常無効）&br;魔障壁（1ターン被ダメージ50％減）#group#&br;シャドウタッチ（10617ダメージ＆1体2ターンバインド）==HP75％以上で、2ターンに1回使用==&br;ポイズンアルケミー（14701ダメージ＆ドロップ3個→毒ドロップ）==HP75％以上で使用==&br;#group#ヒーリングエレメント（8167ダメージ＆全ドロップ→火・光・闇ドロップ）==HP75％以下で使用==&br;ハインダーライン（横3行目→お邪魔ドロップ）#group#&br;ハインダーアルケミー（14701ダメージ＆ドロップ5個→お邪魔ドロップ）==HP75～50％以上で、2ターンに1回使用==&br;ヒートアンドコールド（13067ダメージ＆ドロップ2個ずつ→火・水ドロップ）==HP75％以下で使用==&br;#group#ケミカルリアクション（自身の属性を木・光・闇のいずれかに変更）==HP50～25％で使用==&br;ウィークネスレス（5ターン火・光・闇のいずれかを吸収）#group#&br;ハイポイズンアルケミー（16334ダメージ＆お邪魔→猛毒ドロップ）==HP50～25％でお邪魔ドロップがあると使用==&br;ハインダーアルケミー（14701ダメージ＆ドロップ5個→お邪魔ドロップ）==HP50～25％で、2ターンに1回使用==&br;コントラインディケーション（32668ダメージ＆全ドロップ→火・水・木・光・闇・回復・お邪魔・毒・猛毒）==HP25％以下で使用==&br;|
|7|&mons3221; %%%[[蒼響の龍楽士・ミオン>モンスター図鑑/3221]]%%%		|バランス/ドラゴン|BGCOLOR(#a6f1f1):水木|&color(#b00){''-''};|&color(#b00){1};|12672953|798||
