* ミル降臨！【特殊】 [#lb428afc]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|時界龍 超絶地獄級		|50|8|117036|45111|&color(#080){''&calc(45111/50,1);''};|
|時界龍 絶地獄級		|50|7|84210|33658|&color(#080){''&calc(33658/50,1);''};|

//2016年05月29日配信

//&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):時界龍 超絶地獄級|
|1|&mons796; %%%[[魅惑の夜魔・ダークレディ>モンスター図鑑/0796]]%%%	|悪魔|BGCOLOR(#bba6f1):闇|&color(#b00){''11947''};|&color(#b00){1};|658000|600||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ダークワールド（ドロップが見えなくなる）&br;高らかに笑っている（何もしない）==1度きり==&br;ブラッディネイル（計15532の連続攻撃）==HP70％以下で使用==&br;チャーム（5体1～2ターンバインド）==HP30％以下で使用、1度きり==|
|~|&mons1468; %%%[[ツクヨミたまドラ>モンスター図鑑/1468]]%%%	|神|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){2};|16|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ちぇんじ・ざ（何もしない）&br;わーるどたまぁ！（計72000の連続攻撃）|
|~|&mons2725; %%%[[モクタン>モンスター図鑑/2725]]%%%		|強化用|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|20|3488889||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ジュソウルキャリー（11167ダメージ＆ドロップ1個→木ドロップ）|
|2|&mons1594; %%%[[光の蟲龍・パルスニードル>モンスター図鑑/1594]]%%%	|ドラゴン|BGCOLOR(#f1f1a6):光|&color(#b00){''24018''};|&color(#b00){1};|5340844|6800||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===蟲龍の鋼甲殻（10ターン4コンボ以下の攻撃吸収）&br;ポイズンニードル（12009ダメージ＆ドロップ4個→毒ドロップ）&br;ハニーハニーバインド（4体1～3ターンバインド）==HP75％以下で使用==&br;ドラゴンローヤルゼリー（HP50％回復）==HP50％以下で使用==&br;ハニービースウォーム（計28821～57642の連続攻撃）==HP30％以下で使用==|
