* ヨルムンガンド降臨！ [#lb428afc]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|世界蛇 超地獄級		|50|6|46000|24700|&color(#080){''&calc(24700/50,1);''};|
|世界蛇 地獄級		|50|6|34000|16500|&color(#080){''&calc(16500/50,1);''};|

//2016年03月05日配信

//&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):世界蛇 超地獄級|
|1|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons1171; %%%[[プチリップ>モンスター図鑑/1171]]%%%	|ドラゴン|BGCOLOR(#f1bba6):火|&color(#b00){''7470''};|&color(#b00){1};|82539|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラワーテイル（7470ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1172; %%%[[プチローズ>モンスター図鑑/1172]]%%%	|ドラゴン|BGCOLOR(#a6f1f1):水|&color(#b00){''7470''};|&color(#b00){1};|82539|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラワーテイル（7470ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1173; %%%[[プチリウム>モンスター図鑑/1173]]%%%	|ドラゴン|BGCOLOR(#bbf1a6):木|&color(#b00){''7470''};|&color(#b00){1};|82539|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラワーテイル（7470ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1174; %%%[[プチアンサス>モンスター図鑑/1174]]%%%	|ドラゴン|BGCOLOR(#f1f1a6):光|&color(#b00){''7470''};|&color(#b00){1};|82539|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラワーテイル（7470ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1175; %%%[[プチラン>モンスター図鑑/1175]]%%%	|ドラゴン|BGCOLOR(#bba6f1):闇|&color(#b00){''7470''};|&color(#b00){1};|82539|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラワーテイル（7470ダメージ＆ランダム1色→回復ドロップ）|
|2|&mons2313; %%%[[魔爪の怪猫・キャスパリーグ>モンスター図鑑/2313]]%%%	|悪魔|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){1};|605847|270||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ニャンでも壊す！（7605）&br;生得の災禍（5324ダメージ＆ドロップが見えなくなる）1度きり&br;ダークサイドクロー（11408ダメージ＆横2行目→闇ドロップ）|
|~|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|&mons475; %%%[[火炎獄・パイロデーモン>モンスター図鑑/0475]]%%%	|攻撃/悪魔|BGCOLOR(#f1bba6):火|&color(#b00){''9943''};|&color(#b00){1};|825127|1120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ウォーターバインド&br;イビルスラッシュ（計17898の連続攻撃）==HP35％以下で使用==|
|~|&mons476; %%%[[氷結獄・フロストデーモン>モンスター図鑑/0476]]%%%	|攻撃/悪魔|BGCOLOR(#a6f1f1):水|&color(#b00){''9801''};|&color(#b00){1};|820043|1120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):リーフバインド&br;イビルスラッシュ（計17640の連続攻撃）==HP35％以下で使用==|
|~|&mons477; %%%[[樹海獄・タウロスデーモン>モンスター図鑑/0477]]%%%	|攻撃/悪魔|BGCOLOR(#bbf1a6):木|&color(#b00){''9638''};|&color(#b00){1};|814960|1120||
