* ラス降臨！ [#lb428afc]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|鋼星医 絶地獄級		|50|7|97333|35027|&color(#080){''&calc(35027/50,1);''};|
|鋼星医 超地獄級		|50|7|67619|26466|&color(#080){''&calc(26466/50,1);''};|

- 2016年11月30日配信 [[公式:http://pad.gungho.jp/member/advent/161122_ras.html]]

//&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):鋼星医 超地獄級|
|1|&mons579; [[ウィルオーウィスプ>モンスター図鑑/0579]] 	|攻撃|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|203338|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===プチボム（ドロップ1個→爆弾ドロップ）==再使用あり==|
|~|&mons1964; %%%[[ミドリデビニャン>モンスター図鑑/1964]]%%%	|悪魔|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|841935|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===踊っている（1ターン被ダメージ50％減）&br;※上から順に使用&br;踊っている（1ターン被ダメージ50％減）&br;踊っている（1ターン被ダメージ50％減）&br;怒っている（999ターン攻撃力2倍）&br;すごい攻撃（2倍時、計32048の連続攻撃）|
|~|&mons250; %%%[[ダブアメリット>モンスター図鑑/0250]]%%%	|進化用|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){3};|24|10000000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===！（何もしない）&br;ピンチアップ！（999ターン攻撃力10倍）&br;闇ドロ投げ（4512）&br;|
|2|&mons098; %%%[[炎の魔剣士>モンスター図鑑/0098]]%%%	|バランス|BGCOLOR(#f1bba6):火|&color(#b00){''20400''};|&color(#b00){3};|240361|2700||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ドロップ変化・火（水→火ドロップ）==水ドロップがない場合はフレイムグラッジを使用==&br;フレイムグラッジ（火属性2～4ターンバインド）==1度きり==&br;|
