* リバティーガイスト降臨！ [#lb428afc]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|闘機王 絶地獄級		|50|7|131424|36784|&color(#080){''&calc(36784/50,1);''};|
|闘機王 超地獄級		|50|7|94704|26631|&color(#080){''&calc(26631/50,1);''};|

- 2016年06月30日配信 [[公式:http://pad.gungho.jp/member/advent/160622_padx.html]]

//&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):闘機王 絶地獄級|
|1|&mons2195; %%%[[フレイムギア>モンスター図鑑/2195]]%%%	|マシン/悪魔|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|29|888889||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):スリープモード（全員のスキル1ターン遅延）==HP100％で使用==&br;起動した（999ターン攻撃力2倍）&br;フレイムパルス（2倍時、15165ダメージ＆ドロップ3個→火ドロップ）|
|~|&mons080; %%%[[アイスゴーレム>モンスター図鑑/0080]]%%%		|体力/マシン|BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){4};|1545000|400000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===アイスカスケード（20ターン水ドロップの出現率15％上昇）&br;フリーズパンチ（43200ダメージ＆ドロップ1個→水ドロップ）|
|~|&mons2197; %%%[[ウィンドギア>モンスター図鑑/2197]]%%%	|マシン/悪魔|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|29|888889||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):スリープモード（全員のスキル1ターン遅延）==HP100％で使用==&br;起動した（999ターン攻撃力2倍）&br;ウィンドパルス（2倍時、15165ダメージ＆ドロップ3個→木ドロップ）|
|2|&mons2582; %%%[[フレイムキーパー>モンスター図鑑/2582]]%%%		|マシン|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|2954000|416||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ヘビーレイド（残りHP80％ダメージ）&br;エグゾーストヒット（12852ダメージ＆ドロップが見えなくなる）&br;警告（全員のスキル1ターン遅延）&br;セブンスモッグ（ドロップ7個→毒ドロップ）&br;レッドアラート（15708ダメージ＆火ドロップをロック）&br;キャプチャーネット（2体3ターンバインド）==HP50％以下で使用、1度きり==&br;キリングコード（計42840の連続攻撃）==HP30％以下で使用==|
|3|&mons2649; %%%[[磨羯の鉄星龍・カプリコン>モンスター図鑑/2649]]%%%		|マシン/ドラゴン|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|4281285|600||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===スターダストステップ（5ターン3コンボ以下の攻撃吸収）&br;グリーンベステージ（13791ダメージ＆横4行目→木ドロップ）&br;フローラルベステージ（12537ダメージ＆横3行目→火・水・光・闇ドロップ）&br;トランプルベステージ（11283ダメージ＆横5行目→お邪魔ドロップ）&br;樹角の蔓籠（サブ全員1ターンバインド）==HP50％以下で使用、1度きり==&br;カプリコンクレスト・レイ（計37610の連続攻撃）==HP10％以下で使用==&br;|
|~|&mons2647; %%%[[獅子の鉄星龍・レオ>モンスター図鑑/2647]]%%%		|マシン/ドラゴン|BGCOLOR(#f1bba6):火|&color(#b00){''12756''};|&color(#b00){1};|4273965|600||
