* 一度きりチャレンジ！4 [#m659871c]

#ginclude(Parts/関連,notitle,or,onechance)

- [[一度きりチャレンジ！>スペシャルダンジョン/一度きりチャレンジ！]]の''2016/08/04版です。''

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|~クリア報酬|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|BGCOLOR(#ffd):|c
|超絶決戦【同キャラ禁止】	|99|20|300000|165000|&color(#080){''&calc(165000/99,1);''};|[[タマゾーＸ覚醒オーディン>モンスター図鑑/3095]]|

- 2016年08月04日 21:00～23:59限定のダンジョン
- 配信されるダンジョン内容は人により異なる場合がある [[一度きりチャレンジ！ダンジョン登場:http://pad.gungho.jp/member/challenge/160729_once.html]]
- 今までの一度きりチャレンジ！と異なりコンティニュー可能
- &color(#b00){''協力プレイ不可''};
- ゲーム開始で選んだ「ティラ（火）」「プレシィ（水）」「ブラッキィ（木）」によってダンジョン構成が一部異なる

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):超絶決戦【同キャラ禁止】|
|1|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons1171; %%%[[プチリップ>モンスター図鑑/1171]]%%%	|ドラゴン|BGCOLOR(#f1bba6):火|&color(#b00){''7992''};|&color(#b00){1};|88307|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラワーテイル（7992ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1172; %%%[[プチローズ>モンスター図鑑/1172]]%%%	|ドラゴン|BGCOLOR(#a6f1f1):水|&color(#b00){''7992''};|&color(#b00){1};|88307|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラワーテイル（7992ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1173; %%%[[プチリウム>モンスター図鑑/1173]]%%%	|ドラゴン|BGCOLOR(#bbf1a6):木|&color(#b00){''7992''};|&color(#b00){1};|88307|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラワーテイル（7992ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1174; %%%[[プチアンサス>モンスター図鑑/1174]]%%%	|ドラゴン|BGCOLOR(#f1f1a6):光|&color(#b00){''7992''};|&color(#b00){1};|88307|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラワーテイル（7992ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1175; %%%[[プチラン>モンスター図鑑/1175]]%%%	|ドラゴン|BGCOLOR(#bba6f1):闇|&color(#b00){''7992''};|&color(#b00){1};|88307|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラワーテイル（7992ダメージ＆ランダム1色→回復ドロップ）|
|2|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons2652; %%%[[レッドガジェット>モンスター図鑑/2652]]%%%		|マシン|BGCOLOR(#f1bba6):火|&color(#b00){''6840''};|&color(#b00){1};|151650|200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===アッシュスター（6840ダメージ＆ドロップ3個→お邪魔ドロップ）&br;れっど・めてお（4788ダメージ＆火ドロップをロック）|
|~|&mons2653; %%%[[ブルーガジェット>モンスター図鑑/2653]]%%%		|マシン|BGCOLOR(#a6f1f1):水|&color(#b00){''5550''};|&color(#b00){1};|169500|200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ディープスター（ドロップ3個→お邪魔ドロップ）&br;ぶるー・こめっと（3885ダメージ＆水ドロップをロック）|
|~|&mons2654; %%%[[グリーンガジェット>モンスター図鑑/2654]]%%%		|マシン|BGCOLOR(#bbf1a6):木|&color(#b00){''6030''};|&color(#b00){1};|180150|200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ブラッケンスター（3015ダメージ＆横3行目→木ドロップ）&br;ぐりーん・れい（4221ダメージ＆木ドロップをロック）|
|~|&mons2655; %%%[[イエローガジェット>モンスター図鑑/2655]]%%%		|マシン|BGCOLOR(#f1f1a6):光|&color(#b00){''6540''};|&color(#b00){1};|159450|200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ファーストスター（7194ダメージ＆ドロップ1個→光ドロップ）&br;ほわいと・こすもす（4578ダメージ＆光ドロップをロック）|
|~|&mons2656; %%%[[パープルガジェット>モンスター図鑑/2656]]%%%		|マシン|BGCOLOR(#bba6f1):闇|&color(#b00){''7470''};|&color(#b00){1};|160800|200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ブラッケンスター（3735ダメージ＆ドロップが見えなくなる）&br;ぶらっく・かおす（5229ダメージ＆闇ドロップをロック）|
|3|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons480; %%%[[爆炎龍・グランティラノス>モンスター図鑑/0480]]%%%	|ドラゴン|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|3041140|336||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):マグマブレス（計13640の連続攻撃）&br;紅蓮のアギト（6820ダメージ＆回復ドロップ→火ドロップ）==HP75％以下で使用==&br;ゴッドマグマブレス（計20458の連続攻撃）==HP25％以下で使用==|
|~|&mons481; %%%[[氷塊龍・デプスプレシオス>モンスター図鑑/0481]]%%%	|ドラゴン|BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){2};|3565251|840||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ブリザードブレス（計22826の連続攻撃）&br;氷結ブレス（18260ダメージ＆ランダム1色→お邪魔ドロップ）==HP75％以下で使用==&br;ゴッドブリザードブレス（計228250の連続攻撃）==HP25％以下で使用==|
|~|&mons482; %%%[[大花龍・ガイアブラキオス>モンスター図鑑/0482]]%%%	|ドラゴン|BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){3};|3918584|336||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ガイアブレス（計39620の連続攻撃）&br;スリーピングパウダー（全モンスター1～4ターンバインド）==HP50％以下で使用==&br;ゴッドガイアブレス（計59430の連続攻撃）==HP25％以下で使用==|
|4|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現&br;火：覚醒ソティス、水：沙悟浄、木：覚醒トト|
|~|&mons1463; %%%[[覚醒ソティス>モンスター図鑑/1463]]%%%	|神|BGCOLOR(#f1f1a6):光闇|&color(#b00){''-''};|&color(#b00){1};|1532431|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ナイルの加護（999ターン20万以上のダメージ吸収）&br;3ターンだけ待ってあげる（何もしない）==1度きり==&br;さよならー（3カウント後、計287966の連続攻撃）|
|~|&mons2182; %%%[[流砂の妖仙・沙悟浄>モンスター図鑑/2182]]%%%	|攻撃/悪魔|BGCOLOR(#a6f1f1):水闇|&color(#b00){''15778''};|&color(#b00){1};|1266458|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):=1=常時=1=HP75％以上で、HPが0になる攻撃を受けてもHPが1残る&br;===先制===流沙河の旋風（計11834の連続攻撃）&br;霊山の大将（99ターン4コンボ以下の攻撃吸収）&br;降妖宝杖（13411ダメージ＆ドロップ5個→闇ドロップ）&br;喰らいつく（計18934の連続攻撃）&br;九筋の陰風（3ターンスキル使用不可）==HP50％以下で使用==&br;#group#妖仙の呪詛（残りHP99％ダメージ）==HP1％以下で下記と同時に使用==&br;喰らいつく（計18934の連続攻撃）#group#|
|~|&mons1465; %%%[[覚醒トト>モンスター図鑑/1465]]%%%	|神|BGCOLOR(#bba6f1):闇光|&color(#b00){''-''};|&color(#b00){1};|1570972|670||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ヒエログリフの創造（全員のスキル5ターン遅延）&br;夜刻の守護者（5181ダメージ＆ランダム1色→お邪魔ドロップ）&br;イシェドの葉（5181ダメージ＆ドロップ4個→毒ドロップ）&br;時の支配（5181ダメージ＆1体4ターンバインド）&br;創世の裁き（計20724の連続攻撃）==HP20％以下で使用==|
|5|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons823; %%%[[フラッドフェンリルナイト・カムイ>モンスター図鑑/0823]]%%%	|バランス|BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){1};|2748050|4200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===攻勢の狼煙（3ターン操作時間1秒短縮）&br;一撃（6832）&br;二撃（計13664の連続攻撃）&br;三撃（計20496の連続攻撃）&br;四撃（計27328の連続攻撃）&br;終撃（計170800の連続攻撃）|
|~|&mons826; %%%[[カオスドラゴンナイト・ヴォイス>モンスター図鑑/0826]]%%%	|ドラゴン/バランス|BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){1};|3154717|4200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===混沌の衣（3ターン闇属性吸収）&br;カオスサイス（16165ダメージ＆ランダム1色→お邪魔ドロップ）&br;ブラックストーム（32330ダメージ＆お邪魔ドロップ→闇ドロップ）==お邪魔ドロップがある時に使用==|
|6|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons895; %%%[[魔焉皇帝・ヴァンパイアデューク>モンスター図鑑/0895]]%%%	|体力/悪魔|BGCOLOR(#a6f1f1):水闇|&color(#b00){''12868''};|&color(#b00){1};|2570174|2460||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===控えよ（残りHP99％ダメージ）&br;フリーズペイン（9651ダメージ＆ランダム1色→水ドロップ）&br;魔皇帝の暗影（闇属性3ターンバインド）==HP50％以下で使用、1度きり==&br;格の違いを見せてやろう（何もしない）==HP50％以下で使用==&br;インフィニティブレード（計25736の連続攻撃）==HP50％以下で使用==|
|~|&mons401; %%%[[大洋の悪魔・クラーケン>モンスター図鑑/0401]]%%%	|攻撃/悪魔|BGCOLOR(#a6f1f1):水|&color(#b00){''24743''};|&color(#b00){2};|2359964|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===這い寄る魔手（木属性3ターンバインド）==木属性モンスターがいる場合==&br;===先制===ブラックアウト（6186ダメージ＆ドロップが見えなくなる）==木属性モンスターがいない場合==&br;触手攻撃（18557ダメージ＆サブ2体2ターンバインド）&br;ハードテンタクル（計37116の連続攻撃）==HP30％以下で使用==|
|7|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現&br;火：フレアドラール、水：メガロドラン、木：フォートトイトプス|
|~|&mons757; %%%[[灼爪龍・フレアドラール>モンスター図鑑/0757]]%%%	|ドラゴン/攻撃|BGCOLOR(#f1bba6):火木|&color(#b00){''-''};|&color(#b00){1};|2141969|432||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):=1=常時=1=火と木属性のダメージ50％減&br;===先制===突進（残りHP80％ダメージ）==再使用あり==&br;フレアクロー（15178ダメージ＆縦2と5列目→火ドロップ）&br;ストームクロー（15178ダメージ＆縦2と5列目→木ドロップ）==HP50％以下で使用==&br;ユニオンクロー（22767ダメージ＆縦1と2列目→火ドロップ、縦5と6列目→木ドロップ）==HP30％以下で使用==|
|~|&mons758; %%%[[穿鮫龍・メガロドラン>モンスター図鑑/0758]]%%%	|ドラゴン/体力|BGCOLOR(#a6f1f1):水火|&color(#b00){''10250''};|&color(#b00){1};|4099028|360||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===バーニングシールド（5ターン木属性吸収）&br;アクアジェット（12300ダメージ＆ランダム1色→水ドロップ）&br;クランチファング（計14350の連続攻撃）&br;ボルテックスケージ（8200ダメージ＆火・水ドロップをロック）==HP60％以下で使用、1度きり==&br;シャークホーンブレイド（32800ダメージ＆1体2ターンバインド）==4回に1度==|
|~|&mons759; %%%[[角砦龍・フォートトイトプス>モンスター図鑑/0759]]%%%	|ドラゴン/バランス|BGCOLOR(#bbf1a6):木水|&color(#b00){''-''};|&color(#b00){1};|5483493|66733||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ディフェンディング（999ターン状態異常無効）&br;スーパーホーン（14567）&br;グランドラッシュ（12139ダメージ＆ドロップ6個→お邪魔ドロップ）&br;アブソリュートガード（1ターン被ダメージ75％減）==HP50％以下で使用、1度きり==&br;デスクラッシュ（24278ダメージ＆10ターンスキル使用不可）==HP30％以下で使用==&br;デスクラッシュ（計72834の連続攻撃）==HP30％以下で使用==|
|8|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons889; %%%[[狂荒の戦軍神・アレス>モンスター図鑑/0889]]%%%	|神/攻撃|BGCOLOR(#f1bba6):火闇|&color(#b00){''-''};|&color(#b00){1};|3054270|2940||
