*大天狗 降臨！【バランス強化】 [#ieff2e83]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|修験者 地獄級		|50|5|14011|9488|&color(#080){''&calc(9488/50,1);''};|
|修験者 超級		|30|5|9334|6351|&color(#080){''&calc(6351/30,1);''};|

//- パーティーに加えられるのは、フレンドも含めて「コスト12以下のモンスター」のみ
- 2016/01/25 リニューアル（[[大天狗 降臨！/旧ver>スペシャルダンジョン/大天狗 降臨！/旧ver]]）
-- コスト制限を廃止、バランスタイプ強化（HP・攻撃・回復1.5倍）に変更

&color(#b00){''TIPS''}; [[精霊の宝玉イベント>スペシャルダンジョン/精霊の宝玉イベント]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):修験者 地獄級|
|1|&mons550; %%%[[木の中忍>モンスター図鑑/0550]]%%%		||BGCOLOR(#bbf1a6):木|&color(#b00){''3465''};|&color(#b00){1};|28|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):剛力の丸薬（5ターン攻撃力3倍）|
|~|&mons311; %%%[[樹のサムライオーガ>モンスター図鑑/0311]]%%%	||BGCOLOR(#f1bba6):火木|&color(#b00){''11550''};|&color(#b00){3};|612793|180||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):気合溜め（次回攻撃力2倍）&br;ロックストライク（17325）==HP50％以下で使用==|
|~|&mons689; %%%[[荒武者・レッドゴブリン>モンスター図鑑/0689]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''6468''};|&color(#b00){2};|430558|156||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):突撃陣形（1体の時、99ターン攻撃力2倍）&br;暴れ斬り（計5820～11640の連続攻撃）|
|2|&mons717; %%%[[ねねこ>モンスター図鑑/0717]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''8910''};|&color(#b00){2};|77625|1050||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ファイアバインド&br; 暗黒変化の術・水（闇ドロップ→水ドロップ）|
|~|&mons681; %%%[[マネキニャドラ>モンスター図鑑/0681]]%%%	|強化合成用|BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|25|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):手招きしている（何もしない）==1度きり==&br;ネコパンチ！（16200）|
|~|&mons718; %%%[[はまひめ>モンスター図鑑/0718]]%%%		||BGCOLOR(#bba6f1):闇|&color(#b00){''11295''};|&color(#b00){1};|40125|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラッシュバインド&br;業炎変化の術・闇（火ドロップ→闇ドロップ）|
|3|&mons545; %%%[[火の下忍>モンスター図鑑/0545]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''5468''};|&color(#b00){1};|17110|2556||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):影縫いの術（1体5ターンバインド）==HP25％以下で使用、1度きり==|
|~|&mons547; %%%[[水の下忍>モンスター図鑑/0547]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''5390''};|&color(#b00){1};|17540|2556||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):影縫いの術（1体5ターンバインド）==HP25％以下で使用、1度きり==|
|~|&mons549; %%%[[木の下忍>モンスター図鑑/0549]]%%%		||BGCOLOR(#bbf1a6):木|&color(#b00){''5442''};|&color(#b00){1};|17325|2556||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):影縫いの術（1体5ターンバインド）==HP25％以下で使用、1度きり==|
|~|&mons551; %%%[[光の下忍>モンスター図鑑/0551]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''5595''};|&color(#b00){1};|17968|2556||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===電光石火（2798）|
|~|&mons553; %%%[[闇の下忍>モンスター図鑑/0553]]%%%		||BGCOLOR(#bba6f1):闇|&color(#b00){''5544''};|&color(#b00){1};|18180|2556||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):煙幕（ドロップが見えなくなる）|
|4|&mons580; %%%[[焔の霊魂・ウィルオーウィスプ>モンスター図鑑/0580]]%%%x2	||BGCOLOR(#f1bba6):火|&color(#b00){''7661''};|&color(#b00){1};|19263|54000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ファイアボール（9576）==HP25％以下で使用==|
|5|&mons778; %%%[[霊峰の破戒神・大天狗>モンスター図鑑/0778]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''11916''};|&color(#b00){2};|2696355|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):縛！（3体3ターンバインド）==1度きり==&br;壊！（17874）&br;滅！（8341ダメージ＆ランダム1色→お邪魔ドロップ） &br;精神を研ぎ澄ましている（何もしない、生者必滅と交互に使用）==HP40％以下で使用==&br;生者必滅（計95328の連続攻撃）|
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):修験者 超級|
|1|&mons550; %%%[[木の中忍>モンスター図鑑/0550]]%%%		||BGCOLOR(#bbf1a6):木|&color(#b00){''2160''};|&color(#b00){1};|23|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):剛力の丸薬（5ターン攻撃力3倍）|
|~|&mons311; %%%[[樹のサムライオーガ>モンスター図鑑/0311]]%%%	||BGCOLOR(#f1bba6):火木|&color(#b00){''7200''};|&color(#b00){3};|382000|120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):気合溜め（次回攻撃力2倍）&br;ロックストライク（10800）==HP50％以下で使用==|
|~|&mons689; %%%[[荒武者・レッドゴブリン>モンスター図鑑/0689]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''4032''};|&color(#b00){2};|268400|104||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):突撃陣形（1体の時、99ターン攻撃力2倍）&br;暴れ斬り（計3630～7260の連続攻撃）|
|2|&mons717; %%%[[ねねこ>モンスター図鑑/0717]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''6096''};|&color(#b00){2};|52613|735||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ファイアバインド&br; 暗黒変化の術・水（闇ドロップ→水ドロップ）|
|~|&mons681; %%%[[マネキニャドラ>モンスター図鑑/0681]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|18|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):手招きしている（何もしない）==1度きり==&br;ネコパンチ！（10980）|
|~|&mons718; %%%[[はまひめ>モンスター図鑑/0718]]%%%		||BGCOLOR(#bba6f1):闇|&color(#b00){''7656''};|&color(#b00){1};|27195|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラッシュバインド&br;業炎変化の術・闇（火ドロップ→闇ドロップ）|
|3|&mons545; %%%[[火の下忍>モンスター図鑑/0545]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''3408''};|&color(#b00){1};|10668|2333||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):影縫いの術（1体5ターンバインド）==HP25％以下で使用、1度きり==|
