* 木と雷の機甲龍 [#v462b52e]

#ginclude(Parts/関連,notitle,or,spd13)

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|木雷対龍 超地獄級（テクニカル）	|50|7|34000|20000|&color(#080){''&calc(20000/50,1);''};|
|木雷対龍 地獄級（テクニカル）	|45|7|32000|17000|&color(#080){''&calc(17000/45,1);''};|
|木雷対龍 超級（テクニカル）		|40|7|26000|13000|&color(#080){''&calc(13000/40,1);''};|
|木雷対龍 上級（テクニカル）		|25|7|8500|4900|&color(#080){''&calc(4900/25,1);''};|
|木雷対龍 中級（テクニカル）		|15|6|1700|900|&color(#080){''&calc(900/15,1);''};|

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):木雷対龍 超地獄級|
||&mons082; [[アースゴーレム>モンスター図鑑/0082]]		||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){4};|60917|540||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ブーストナックル（計96340の連続攻撃）|
||&mons084; [[マシンゴーレム>モンスター図鑑/0084]]		||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){3};|60917|540||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):リミットピアス（残りHP80％ダメージ）&br;スティールアタック（計41560の連続攻撃）|
||&mons2197; [[ウィンドギア>モンスター図鑑/2197]]	||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|25|866667||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):スリープモード（全員のスキル1ターン遅延）==HP100％で使用==&br;起動した（999ターン攻撃力2倍）&br;ウィンドパルス（2倍時、11648ダメージ＆ドロップ3個→木ドロップ）|
||&mons2198; [[サンダーギア>モンスター図鑑/2198]]	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|25|866667||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):スリープモード（全員のスキル1ターン遅延）==HP100％で使用==&br;起動した（999ターン攻撃力2倍）&br;ショックパルス（2倍時、8320ダメージ＆1体2ターンバインド）|
|~|&mons901; [[ウィンドチェイサー>モンスター図鑑/0901]]	||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|860965|6240|※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ウィンドエッジ（7100）&br;エアスラッシュ（5680ダメージ＆ランダム1色→木ドロップ）&br;チェイスモード（5ターン攻撃力2倍）==HP50％以下で使用==&br;エアロストリーム（11360ダメージ＆ランダム1色→木ドロップ）==HP25％以下で使用==|
|~|&mons903; [[ライトニングチェイサー>モンスター図鑑/0903]]	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|865923|6240|※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ボルトアックス（7592）&br;放電（5522ダメージ＆ランダム1色→光ドロップ）&br;チェイスモード（5ターン攻撃力2倍）==HP50％以下で使用==&br;サンダーウェポン（11043ダメージ＆ランダム1色→光ドロップ）==HP25％以下で使用==|
|2|&mons083; [[アースガーディアン>モンスター図鑑/0083]]		||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){3};|377378|5200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===防御の構え（999ターン状態異常無効）&br;クラッシャーハンド（7218）|
|~|&mons085; [[マシンゴーレムMk-II>モンスター図鑑/0085]]	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){3};|392933|2600||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):エナジーフォール（全員のスキル1ターン遅延）&br;レイガトリング（計12507の連続攻撃）|
|4|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons318; [[木の機神兵・アースガル>モンスター図鑑/0318]]	||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){3};|2403300|2200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ハイプレッシャー（残りHP99％ダメージ）&br;アースガルゲイル（32490ダメージ＆ドロップ5個→木ドロップ）|
|~|&mons319; [[マシンゴーレムMk-III>モンスター図鑑/0319]]	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){3};|1803450|2300||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ディレイアイ（全員のスキル2ターン遅延）&br;ライトマシンガン（計28260の連続攻撃）|
|6|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons784; [[神秘の絵画龍・ナスカ>モンスター図鑑/0784]]		||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|2488650|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===先制の地上絵・ハチドリ（7515）&br;強奪の地上絵・モンキー（4008ダメージ＆ランダム1色排除）&br;束縛の地上絵・スパイダー（1体3ターンバインド）&br;猛襲の地上絵・コンドル（連続攻撃7515）&br;狩猟の地上絵・ハウンド（3ターン攻撃力2倍）&br;重圧の地上絵・ホエール（残りHP99％ダメージ）==HP30％以下で使用==&br;痛恨の地上絵・タイタン（10020）==HP30％以下で使用==|
|~|&mons785; [[神秘の結晶龍・クリスタルスカル>モンスター図鑑/0785]] 	||BGCOLOR(#f1f1a6):光|&color(#b00){''11760''};|&color(#b00){2};|1158200|35000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===虚ろなる眼光（ドロップが見えなくなる）&br;水晶の呪光（2体3ターンバインド）&br;クリスタルファング（連続攻撃14112）&br;神秘の虚光（17640ダメージ＆ランダム1色→お邪魔ドロップ）==HP40％以下で使用==|
|7|&mons2336; [[木の機甲龍・べクルックス>モンスター図鑑/2336]]		||BGCOLOR(#bbf1a6):木|&color(#b00){''6300''};|&color(#b00){1};|2238750|11250||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===プラントコア（5ターン木属性吸収）&br;フォローリペア（1体の時、他方をHP45％で復活）&br;グリーンエナジー（99ターン木ドロップの出現率20％上昇）&br;リーフウィンド（6300ダメージ＆横4行目→木ドロップ）&br;エアロブラスト（計7560の連続攻撃）&br;アブソープション（全員のスキル1ターン遅延）==HP80%以下で使用、1度きり==&br;リミットバースト（計63000の連続攻撃）==HP10％以下で使用==|
|~|&mons2335; [[雷の機甲龍・アルビレオ>モンスター図鑑/2335]]		||BGCOLOR(#f1f1a6):光|&color(#b00){''6990''};|&color(#b00){1};|2508750|500||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===パラライズブレス（4194ダメージ＆リーダー2ターンバインド）&br;フォローリペア（1体の時、他方をHP45％で復活）&br;ピーキーライトニング（8388ダメージ＆光ドロップをロック）&br;サンダーポイズン（5592ダメージ＆光ドロップ→毒ドロップ）==HP70％以下で使用==&br;アブソープション（全員のスキル1ターン遅延）==HP80％以下で使用、1度きり==&br;ゴールドパルス（6990ダメージ＆ドロップ5個→光ドロップ）==HP70％以下で使用==&br;リミットバースト（計69900の連続攻撃）==HP10％以下で使用==|
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):木雷対龍 地獄級|
||&mons082; [[アースゴーレム>モンスター図鑑/0082]]		||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){4};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ブーストナックル（計79900の連続攻撃）|
||&mons084; [[マシンゴーレム>モンスター図鑑/0084]]		||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){3};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):リミットピアス（残りHP80％ダメージ）&br;スティールアタック（計34470の連続攻撃）|
||&mons2197; [[ウィンドギア>モンスター図鑑/2197]]	||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):スリープモード（全員のスキル1ターン遅延）==HP100％で使用==&br;起動した（999ターン攻撃力2倍）&br;ウィンドパルス（2倍時、4609ダメージ＆ドロップ3個→木ドロップ）|
||&mons2198; [[サンダーギア>モンスター図鑑/2198]]	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):スリープモード（全員のスキル1ターン遅延）==HP100％で使用==&br;起動した（999ターン攻撃力2倍）&br;ショックパルス（2倍時、5808ダメージ＆1体2ターンバインド）|
|~|&mons901; [[ウィンドチェイサー>モンスター図鑑/0901]]	||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ウィンドエッジ（5370）&br;エアスラッシュ（4296ダメージ＆ランダム1色→木ドロップ）&br;チェイスモード（5ターン攻撃力2倍）==HP50％以下で使用==&br;エアロストリーム（8592ダメージ＆ランダム1色→木ドロップ）==HP25％以下で使用==|
|~|&mons903; [[ライトニングチェイサー>モンスター図鑑/0903]]	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ボルトアックス（5742）&br;放電（4176ダメージ＆ランダム1色→光ドロップ）&br;チェイスモード（5ターン攻撃力2倍）==HP50％以下で使用==&br;サンダーウェポン（8352ダメージ＆ランダム1色→光ドロップ）==HP25％以下で使用==|
|2|&mons083; [[アースガーディアン>モンスター図鑑/0083]]		||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){3};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):防御の構え（先制・999ターン状態異常無効）&br;クラッシャーハンド（5349）|
|~|&mons085; [[マシンゴーレムMk-II>モンスター図鑑/0085]]	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){3};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):エナジーフォール（全員のスキル1ターン遅延）&br;レイガトリング（計9267の連続攻撃）|
|4|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
