* 機械龍ラッシュ！ [#x7d127d7]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|五龍起動 地獄級			|50|6|68400|55175|&color(#080){''1103''};|
|五龍起動 超級			|40|6|50080|37625|&color(#080){''940''};|
|五龍起動 上級			|25|6|17360|13035|&color(#080){''521''};|
|五龍起動 中級			|15|6|8680|6520|&color(#080){''434''};|

- 2000000コインで購入可能
-- 購入から1時間の間、スタミナがあれば何度でも入ることができる
- チェイサーが出現するが、確定ドロップではない点に注意

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):五龍起動 地獄級|
|1|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons283; %%%[[砲炎機龍・ベテルギウス>モンスター図鑑/0283]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''15570''};|&color(#b00){2};|1133400|1120|エネルギーチャージ（次回攻撃力3倍）&br;オートリペア（HP中回復）==HP60％以下で使用==&br;メギドキャノン（連続攻撃43596）==HP30％以下で使用==|
|~|&mons897; %%%[[フレイムチェイサー>モンスター図鑑/0897]]%%%			||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|647400|4800|フレイムブレード（5460）&br;レッドヒート（4368ダメージ＆ランダム1色→火ドロップ）&br;チェイスモード（5ターン攻撃力2倍）==HP50％以下で使用==&br;オーバーヒート（8736＆ランダム1色→火ドロップ）==HP25％以下で使用==|
|2|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons284; %%%[[氷砕機龍・アルデバラン>モンスター図鑑/0284]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''15120''};|&color(#b00){2};|1095900|1120|エネルギーチャージ（次回攻撃力3倍）&br;オートリペア（HP中回復）==HP60％以下で使用==&br;アイスクラッシャー（10584x2～5の連続攻撃）==HP30％以下で使用==|
|~|&mons899; %%%[[アクアチェイサー>モンスター図鑑/0899]]%%%			||BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){1};|654900|4800|アクアランス（5220）&br;ハイドロレーザー（4176ダメージ＆ランダム1色→水ドロップ）&br;チェイスモード（5ターン攻撃力2倍）==HP50％以下で使用==&br;ハイドロバースト（8352ダメージ＆ランダム1色→水ドロップ）==HP25％以下で使用==|
|3|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons285; %%%[[旋風機龍・カノープス>モンスター図鑑/0285]]%%%		||BGCOLOR(#bbf1a6):木|&color(#b00){''10620''};|&color(#b00){1};|1058400|1120|エネルギーチャージ（次回攻撃力3倍）&br;オートリペア（HP中回復）==HP60％以下で使用==&br;サイクロンブラスト（連続攻撃26550）==HP30％以下で使用==|
