* 水の猫龍【木なし】 [#ff3b716c]

#ginclude(Parts/関連,notitle,or,spd12)

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|藍猫龍 超地獄級（テクニカル）	|50|7|38000|17000|&color(#080){''&calc(17000/50,1);''};|
|藍猫龍 地獄級（テクニカル）		|45|7|33000|12500|&color(#080){''&calc(12500/45,1);''};|
|藍猫龍 超級（テクニカル）		|40|7|18000|8300|&color(#080){''&calc(8300/40,1);''};|
|藍猫龍 上級（テクニカル）		|25|7|7700|2300|&color(#080){''&calc(2300/25,1);''};|
|藍猫龍 中級（テクニカル）		|15|5|3400|900|&color(#080){''&calc(900/15,1);''};|

- 木ドロップが出現しない（変換などで出現させることは可能）
//- [[ヤタガラス>モンスター図鑑/1474]]がゲリラ出現（特定の日のみ幻獣の代わりに出現）

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):藍猫龍 超地獄級|
||&mons047; [[ルビーカーバンクル>モンスター図鑑/0047]]	||BGCOLOR(#f1bba6):火|&color(#b00){''6284''};|&color(#b00){2};|19289|280||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons049; [[サファイアカーバンクル>モンスター図鑑/0049]]	||BGCOLOR(#a6f1f1):水|&color(#b00){''6471''};|&color(#b00){2};|19600|280||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons262; [[フレイムキメラ>モンスター図鑑/0262]]	||BGCOLOR(#f1bba6):火|&color(#b00){''10115''};|&color(#b00){2};|45617|650||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（14162）|
||&mons264; [[バブルキメラ>モンスター図鑑/0264]]	||BGCOLOR(#a6f1f1):水|&color(#b00){''9837''};|&color(#b00){2};|43633|650||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（13328）|
