* 火と光の機甲龍 [#v462b52e]

#ginclude(Parts/関連,notitle,or,spd13)

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|火光対龍 超地獄級（テクニカル）	|50|7|42000|23000|&color(#080){''&calc(23000/50,1);''};|
|火光対龍 地獄級（テクニカル）	|45|7|32000|18000|&color(#080){''&calc(18000/45,1);''};|
|火光対龍 超級（テクニカル）		|40|7|22000|12000|&color(#080){''&calc(12000/40,1);''};|
|火光対龍 上級（テクニカル）		|25|7|8000|4600|&color(#080){''&calc(4600/25,1);''};|
|火光対龍 中級（テクニカル）		|15|6|1700|900|&color(#080){''&calc(900/15,1);''};|

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):火光対龍 超地獄級|
||&mons078; [[フレイムゴーレム>モンスター図鑑/0078]]		||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){4};|51472|540||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ブーストナックル（計68000の連続攻撃）|
||&mons084; [[マシンゴーレム>モンスター図鑑/0084]]		||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){3};|60917|540||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):リミットピアス（残りHP80％ダメージ）&br;スティールアタック（計41560の連続攻撃）|
||&mons2195; [[フレイムギア>モンスター図鑑/2195]]	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|25|866667||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):スリープモード（全員のスキル1ターン遅延）==HP100％で使用==&br;起動した（999ターン攻撃力2倍）&br;フレイムパルス（2倍時、11648ダメージ＆ドロップ3個→火ドロップ）|
||&mons2198; [[サンダーギア>モンスター図鑑/2198]]	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|25|866667||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):スリープモード（全員のスキル1ターン遅延）==HP100％で使用==&br;起動した（999ターン攻撃力2倍）&br;ショックパルス（2倍時、8320ダメージ＆1体2ターンバインド）|
||&mons897; [[フレイムチェイサー>モンスター図鑑/0897]]	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|856007|6240|※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フレイムブレード（7220）&br;レッドヒート（5775ダメージ＆ランダム1色→火ドロップ）&br;チェイスモード（5ターン攻撃力2倍）==HP50％以下で使用==&br;オーバーヒート（11550ダメージ＆ランダム1色→火ドロップ）==HP25％以下で使用==|
|2|&mons078; [[フレイムガーディアン>モンスター図鑑/0078]]	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){3};|346267|5200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):防御の構え（先制・999ターン状態異常無効）&br;クラッシャーハンド（6471）|
|~|&mons085; [[マシンゴーレムMk-II>モンスター図鑑/0085]]	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){3};|392933|2600||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):エナジーフォール（全員のスキル1ターン遅延）&br;レイガトリング（計12507の連続攻撃）|
|4|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons316; [[炎の機神兵・ヨトゥン>モンスター図鑑/0316]]	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){3};|2553300|2200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ハイプレッシャー（先制・残りHP99％ダメージ）&br;ヨトゥンフレイム（33390ダメージ＆ドロップ5個→火ドロップ）|
|~|&mons319; [[マシンゴーレムMk-III>モンスター図鑑/0319]]	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){3};|1803450|2300||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ディレイアイ（全員のスキル2ターン遅延）&br;ライトマシンガン（計28260の連続攻撃）|
|6|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons782; [[神秘の巨石龍・バールベック>モンスター図鑑/0782]] 	||BGCOLOR(#f1bba6):火|&color(#b00){''14220''};|&color(#b00){2};|2189400|820||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):トリリトンの重圧（残りHP99％ダメージ）==先制、3回に1度==&br;メテオスウォーム（計14220～19908の連続攻撃）==HP30％以下で使用==|
|~|&mons785; [[神秘の結晶龍・クリスタルスカル>モンスター図鑑/0785]] 	||BGCOLOR(#f1f1a6):光|&color(#b00){''11760''};|&color(#b00){2};|1158200|35000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):虚ろなる眼光（先制・ドロップが見えなくなる）&br;水晶の呪光（2体3ターンバインド）&br;クリスタルファング（連続攻撃14112）&br;神秘の虚光（17640ダメージ＆ランダム1色→お邪魔ドロップ）==HP40％以下で使用==|
|7|&mons2333; [[火の機甲龍・サドル>モンスター図鑑/2333]]		||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|2106750|500||
