*炎の歴龍【3色限定】 [#z238cef0]

#style(class=panelNote){{
このダンジョンは[[歴龍の大魔境>テクニカルダンジョン/歴龍の大魔境]]で常設化されたため、今後登場する可能性が低いです。
}}

#ginclude(Parts/関連,notitle,or,spd4)

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|紅の孤島 地獄級（テクニカル）	|50|10|33000|19000|&color(#080){''380''};|
|紅の孤島 超級（テクニカル）		|40|10|25000|16000|&color(#080){''400''};|
|紅の孤島 上級（テクニカル）		|25|10|19000|10000|&color(#080){''400''};|
|紅の孤島 中級（テクニカル）		|15|5|5300|3000|&color(#080){''200''};|

- 3色限定なので光・闇のドロップが出ない。（ボスのスキルで光ドロップは出てくるが道中は無し）
- 中級・上級のボスの難易度を調整（2012/12/31 5:00）
- ボスHPが下方修正された模様（地獄級：10584899→5209800、超級：7174210→3502145）（2013/12/23 0:00）

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):紅の孤島 地獄級|
||[[パイロデビル>モンスター図鑑/0191]]		|BGCOLOR(#f1bba6):火|&color(#b00){''3480''};|&color(#b00){1};|19050|1400|怒り（3ターン攻撃力1.3倍）|
||[[パイロデーモン>モンスター図鑑/0192]]		|BGCOLOR(#f1bba6):火|&color(#b00){''5460''};|&color(#b00){1};|46650|2200|ウォーターバインド|
||[[フレイムキメラ>モンスター図鑑/0262]]		|BGCOLOR(#f1bba6):火|&color(#b00){''7650''};|&color(#b00){2};|34500|500|連続攻撃（10710）|
||[[アカムギドラ>モンスター図鑑/0523]]			|BGCOLOR(#f1bba6):火|&color(#b00){''7890''};|&color(#b00){2};|87750|100|バインドアタック|
||[[転生の霊鳥・フェニックス>モンスター図鑑/0399]]		|BGCOLOR(#f1bba6):火|&color(#b00){''8638''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|5|[[火炎獄・パイロデーモン>モンスター図鑑/0475]]	|BGCOLOR(#f1bba6):火|&color(#b00){''8367''};|&color(#b00){1};|694369|960|ウォーターバインド&br;イビルスラッシュ（15060）|
|~|[[氷結獄・フロストデーモン>モンスター図鑑/0476]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''6694''};|&color(#b00){1};|560139|800|リーフバインド&br;イビルスラッシュ（12048）|
|9|[[大樹の精霊・アルラウネ>モンスター図鑑/0203]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''10710''};|&color(#b00){1};|632700|900|やさしく微笑んでいる&br;ドロップ排除・火&br;リザレクション|
|10|[[火の歴龍・アードベッグ>モンスター図鑑/0441]]	|BGCOLOR(#f1bba6):火|&color(#b00){''9510''};|&color(#b00){1};|5209800|0|豊穣の守り（999ターン状態異常無効）&br;太陽の恵み・水（水ドロップ→光ドロップ）&br;ブレイズボール（14265）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):紅の孤島 超級|
||[[パイロデビル>モンスター図鑑/0191]]			|BGCOLOR(#f1bba6):火|&color(#b00){''3106''};|&color(#b00){1};|17004|1260|怒り（3ターン攻撃力1.3倍）|
||[[パイロデーモン>モンスター図鑑/0192]]		|BGCOLOR(#f1bba6):火|&color(#b00){''4874''};|&color(#b00){1};|41639|1980|ウォーターバインド|
||[[フレイムキメラ>モンスター図鑑/0262]]		|BGCOLOR(#f1bba6):火|&color(#b00){''6828''};|&color(#b00){2};|30794|450|連続攻撃（9559）|
||[[アカムギドラ>モンスター図鑑/0523]]			|BGCOLOR(#f1bba6):火|&color(#b00){''7043''};|&color(#b00){2};|78325|90|バインドアタック|
||[[転生の霊鳥・フェニックス>モンスター図鑑/0399]]		|BGCOLOR(#f1bba6):火|&color(#b00){''8638''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|5|[[マグマキマイラ>モンスター図鑑/0263]]x2		|BGCOLOR(#f1bba6):火|&color(#b00){''9882''};|&color(#b00){2};|570757|980|ダブルバインド&br;連続攻撃（13834）|
|9|[[紅蓮の女帝・エキドナ>モンスター図鑑/0201]]		|BGCOLOR(#f1bba6):火|&color(#b00){''9810''};|&color(#b00){1};|602700|900|不敵な笑みを浮かべている&br;ドロップ排除・水&br;リザレクション|
