* 真・無限回廊 [#e3e7c440]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|真・無限回廊（テクニカル）	|0|30|0|0|&color(#080){''0''};|

- [[無限回廊>スペシャルダンジョン/無限回廊]]

- 上級者のやり込み要素的なダンジョン。
- [[無限回廊>スペシャルダンジョン/新・無限回廊]]をクリアすると出現。
- クリアすると[[絶・無限回廊>スペシャルダンジョン/絶・無限回廊]]が出現

|~面|~名前	|~ |~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):真・無限回廊|
|1|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか5体が出現|
|~|&mons303; %%%[[ホノペンドラ>モンスター図鑑/0303]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''6570''};|&color(#b00){2};|45900|120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
|~|&mons305; %%%[[ペンペンドラ>モンスター図鑑/0305]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''6120''};|&color(#b00){2};|44400|120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
|~|&mons307; %%%[[ジュペンドラ>モンスター図鑑/0307]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''5670''};|&color(#b00){2};|42900|120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
|~|&mons600; %%%[[ピカペンドラ>モンスター図鑑/0600]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''5670''};|&color(#b00){2};|45900|120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
|~|&mons602; %%%[[ヤミペンドラ>モンスター図鑑/0602]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''5670''};|&color(#b00){2};|45900|120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
