* 神羅万象チョコ コラボ2 [#f04aa968]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|一鬼火勢 超地獄級（テクニカル）	|50|7|17000|24000|&color(#080){''&calc(24000/50,1);''};|
|一鬼火勢 地獄級（テクニカル）	|45|7|14000|19000|&color(#080){''&calc(19000/45,1);''};|
|一鬼火勢 超級（テクニカル）	|40|7|10000|13000|&color(#080){''&calc(13000/40,1);''};|
|一鬼火勢 上級（テクニカル）	|25|7|2200|1000|&color(#080){''&calc(1000/25,1);''};|
|一鬼火勢 中級（テクニカル）	|15|5|700|340|&color(#080){''&calc(340/15,1);''};|

- [[神羅万象チョコ コラボレーション第5弾:http://pad.gungho.jp/member/150304_shinra.html]]で登場
- 2015/08/03 聖姫アルマとカード2種が追加
- 2016/01/11 翠輝星の麒麟・サクヤ アナザー カードが追加

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):一鬼火勢 超地獄級|
||&mons1986; %%%[[フロギスト>モンスター図鑑/1986]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''5236''};|&color(#b00){1};|160253|208|※稀に[[神羅魂獣神サイ カード>モンスター図鑑/2001]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フレイム・ソウル（3927ダメージ＆ランダム1色→火ドロップ）|
||&mons1988; %%%[[雪獣イエイエ>モンスター図鑑/1988]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''7616''};|&color(#b00){2};|279253|208|※稀に[[神羅聖魔神アーク カード>モンスター図鑑/1997]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):雪玉爆撃（計9140～13710の連続攻撃）|
||&mons1990; %%%[[ガードナー・ポーチカ>モンスター図鑑/1990]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''2856''};|&color(#b00){1};|140420|208|※稀に[[アスモディエス アナザー カード>モンスター図鑑/1994]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):エナジー・シャワー（2856ダメージ＆ランダム1色→回復ドロップ）|
||&mons1992; %%%[[ラード>モンスター図鑑/1992]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''14161''};|&color(#b00){3};|1013087|208|※稀に[[神羅聖龍神サイガ カード>モンスター図鑑/2003]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):オイルパニック（7081ダメージ＆ランダム1色→お邪魔ドロップ）|
||&mons2004; %%%[[ウエハーマンパパ>モンスター図鑑/2004]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''3570''};|&color(#b00){1};|15867|130||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ウエハースはおいしいんじゃゾ！（何もしない）|
||&mons680; %%%[[聖龍石>モンスター図鑑/0680]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){4};|21|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):封印魔破（20626）|
||&mons1985; %%%[[水晶天子ヒカリ・一鬼>モンスター図鑑/1985]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''10432''};|&color(#b00){1};|38|500000|※稀に出現、確定ドロップ（確率で[[バランシール アナザー カード>モンスター図鑑/2274]]）|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):光輝・天照輪（9389ダメージ＆1体2～3ターンバインド）==HP80％以下で使用==|
|3|&mons1987; %%%[[ベム・ギスト>モンスター図鑑/1987]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''7735''};|&color(#b00){1};|716777||※稀に[[神羅魂獣神サイ カード>モンスター図鑑/2001]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フレイム・ソウル（5801ダメージ＆ランダム1色→火ドロップ）&br;渦巻きファイヤー（9282ダメージ＆横1,5列目または縦1,6列目→火ドロップ）==HP50％以下で使用==|
|~|&mons1991; %%%[[ルル・ポーチカ>モンスター図鑑/1991]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|518443|364|※稀に[[アスモディエス アナザー カード>モンスター図鑑/1994]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):エナジー・シャワー（5593ダメージ＆ランダム1色→回復ドロップ）&br;フラワー・Ｅ・シャワー（6712ダメージ＆縦2,5列目→木・回復ドロップ）==HP50％以下で使用==|
|5|&mons2242; %%%[[聖姫アルマ>モンスター図鑑/2242]]%%%	||BGCOLOR(#f1bba6):火光|&color(#b00){''10194''};|&color(#b00){1};|2979165|546||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===聞こえる…風のささやき、炎の揺らめき、水のせせらぎが…（999ターン状態異常無効）&br;伝説の6枚翼（計12234の連続攻撃）&br;ホーリーライト・レクイエム（15291ダメージ＆全ドロップ→火・木・光）==HP50％以下で使用==|
|6|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons1989; %%%[[ゴン・イエイエ>モンスター図鑑/1989]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){2};|1133277|364|※稀に[[神羅聖魔神アーク カード>モンスター図鑑/1997]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):雪玉爆撃（計13852～20778の連続攻撃）&br;コゴ・エール（全員3ターンバインド）==HP50％以下で使用、1度きり==|
|~|&mons1993; %%%[[ヘル・ラード>モンスター図鑑/1993]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''31773''};|&color(#b00){3};|1767943|364|※稀に[[神羅聖龍神サイガ カード>モンスター図鑑/2003]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ブーブー・ボンバー（残りHP99％ダメージ）&br;オイルパニック（15887ダメージ＆ランダム1色→お邪魔ドロップ）|
|7|&mons1983; %%%[[烈火の火牙刀>モンスター図鑑/1983]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|4764958|650|※稀に[[ポラリス カード>モンスター図鑑/2275]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===烈火の武者（999ターン状態異常無効）&br;鬼炎斬（11622ダメージ＆横3列目→火ドロップ）&br;二天双極・鬼炎斬（3カウント後、計116220の連続攻撃）==HP80％以下で使用==|
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):一鬼火勢 地獄級|
||&mons1986; %%%[[フロギスト>モンスター図鑑/1986]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''3960''};|&color(#b00){1};|121200|160|※稀に[[神羅魂獣神サイ カード>モンスター図鑑/2001]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フレイム・ソウル（2970ダメージ＆ランダム1色→火ドロップ）|
||&mons1988; %%%[[雪獣イエイエ>モンスター図鑑/1988]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''5760''};|&color(#b00){2};|211200|160|※稀に[[神羅聖魔神アーク カード>モンスター図鑑/1997]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):雪玉爆撃（計6912～10368の連続攻撃）|
||&mons1990; %%%[[ガードナー・ポーチカ>モンスター図鑑/1990]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''2160''};|&color(#b00){1};|106200|160|※稀に[[アスモディエス アナザー カード>モンスター図鑑/1994]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):エナジー・シャワー（2160ダメージ＆ランダム1色→回復ドロップ）|
||&mons1992; %%%[[ラード>モンスター図鑑/1992]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''10710''};|&color(#b00){3};|766200|160|※稀に[[神羅聖龍神サイガ カード>モンスター図鑑/2003]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):オイルパニック（5355ダメージ＆ランダム1色→お邪魔ドロップ）|
||&mons2004; %%%[[ウエハーマンパパ>モンスター図鑑/2004]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''2700''};|&color(#b00){1};|12000|100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ウエハースはおいしいんじゃゾ！（何もしない）|
||&mons680; %%%[[聖龍石>モンスター図鑑/0680]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){4};|18|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):封印魔破（15600）|
||&mons1985; %%%[[水晶天子ヒカリ・一鬼>モンスター図鑑/1985]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''7890''};|&color(#b00){1};|30|500000|※稀に出現、確定ドロップ（確率で[[バランシール アナザー カード>モンスター図鑑/2274]]）|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):光輝・天照輪（7101ダメージ＆1体2～3ターンバインド）==HP80％以下で使用==|
|3|&mons1987; %%%[[ベム・ギスト>モンスター図鑑/1987]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''5850''};|&color(#b00){1};|542100|280|※稀に[[神羅魂獣神サイ カード>モンスター図鑑/2001]]をドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フレイム・ソウル（4388ダメージ＆ランダム1色→火ドロップ）&br;渦巻きファイヤー（7020ダメージ＆横1,5列目または縦1,6列目→火ドロップ）==HP50％以下で使用==|
|~|&mons1991; %%%[[ルル・ポーチカ>モンスター図鑑/1991]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''-''};|&color(#b00){1};|392100|280|※稀に[[アスモディエス アナザー カード>モンスター図鑑/1994]]をドロップ|
