* &font2(60%){うら・あいてーるさばく};裏・アイテール砂漠【同キャラ禁止】 [#l697db14]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|白盾の女神	|25|10|50000|20000|&color(#080){''&calc(20000/25,1);''};|
|光の守護騎兵	|25|7|30000|13000|&color(#080){''&calc(13000/25,1);''};|
|砂漠の地下神殿	|25|7|40000|15000|&color(#080){''&calc(15000/25,1);''};|
|流砂の先に	|25|7|30000|12000|&color(#080){''&calc(12000/25,1);''};|
|砂上のハンター	|25|7|30000|14000|&color(#080){''&calc(14000/25,1);''};|

- テクニカルダンジョン「[[アイテール砂漠>テクニカルダンジョン/アイテール砂漠]]」のモンスターが大幅に強化されている。
- &mons1550; %%%[[ヒカピィ>モンスター図鑑/1550]]%%%が極稀に出現
- 2015/12/21 [[コインダンジョン]]から[[協力プレイダンジョン]]向けにリニューアル。スタミナ消費が25に統一。同キャラ禁止。
-- ランプの魔神→白盾の女神
-- ズラトロクが同時に2～3体出ることがある（先制で合計30504～45756ダメージ）ので、常に多くのHPを確保していないと危険。周回には向かない。
--- 2016/01/12 攻撃力がこっそり変更された模様

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):共通|
||&mons197; %%%[[ハーピィデビル>モンスター図鑑/0197]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''11387''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
||&mons191; %%%[[パイロデビル>モンスター図鑑/0191]]%%%			||BGCOLOR(#f1bba6):火|&color(#b00){''11387''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
||&mons198; %%%[[ハーピィデーモン>モンスター図鑑/0198]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''18161''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダークバインド|
||&mons268; %%%[[ボルトキメラ>モンスター図鑑/0268]]%%%			||BGCOLOR(#f1f1a6):光|&color(#b00){''25818''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（36146）|
||&mons303; %%%[[ホノペンドラ>モンスター図鑑/0303]]%%%			||BGCOLOR(#f1bba6):火|&color(#b00){''21499''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
||&mons304; %%%[[ルビペンドラ>モンスター図鑑/0304]]%%%			||BGCOLOR(#f1bba6):火|&color(#b00){''18848''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
||&mons2310; %%%[[ズラトロク>モンスター図鑑/2310]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''15252''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===下がれ（7626）&br;伝説の金角（12202ダメージ＆縦2,4列目→光ドロップ）==1ターン目に使用==|
||&mons249; %%%[[ダブトパリット>モンスター図鑑/0249]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''50000''};|&color(#b00){3};|30|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
