* &font2(60%){うら・たろすならくけつ};裏・タロス奈落穴【同キャラ禁止】 [#l697db14]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|闇黒の魔王|25|10|50000|22000|&color(#080){''&calc(22000/25,1);''};|
|大穴の殲滅者	|25|7|30000|13000|&color(#080){''&calc(13000/25,1);''};|
|堕ちた龍騎士	|25|7|30000|13000|&color(#080){''&calc(13000/25,1);''};|
|死の片鱗	|25|7|30000|13000|&color(#080){''&calc(13000/25,1);''};|
|奈落の月	|25|7|30000|14000|&color(#080){''&calc(14000/25,1);''};|

- テクニカルダンジョン「[[タロス奈落穴>テクニカルダンジョン/タロス奈落穴]]」のモンスターが大幅に強化されている。
- &mons1551; %%%[[ヤミピィ>モンスター図鑑/1551]]%%%が極稀に出現
- 2015/12/21 [[コインダンジョン]]から[[協力プレイダンジョン]]向けにリニューアル。スタミナ消費が25に統一。同キャラ禁止。
-- 死と闇と絶望→闇黒の魔王で登場モンスター変更。

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):共通|
||&mons199; %%%[[ブラッドデビル>モンスター図鑑/0199]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''12075''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
||&mons193; %%%[[フロストデビル>モンスター図鑑/0193]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''11486''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
||&mons270; %%%[[ミストキメラ>モンスター図鑑/0270]]%%%		||BGCOLOR(#bba6f1):闇|&color(#b00){''26505''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（37108）|
||&mons305; %%%[[ペンペンドラ>モンスター図鑑/0305]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''20026''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
||&mons306; %%%[[サファペンドラ>モンスター図鑑/0306]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''18848''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
||&mons2312; %%%[[キャスパリーグ>モンスター図鑑/2312]]%%%		||BGCOLOR(#bba6f1):闇|&color(#b00){''13397''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ニャに見てんだ（全員のスキル1ターン遅延）&br;生得の災禍（9375ダメージ＆ドロップが見えなくなる）|
||&mons250; %%%[[ダブアメリット>モンスター図鑑/0250]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''50000''};|&color(#b00){3};|30|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons1551; %%%[[ヤミピィ>モンスター図鑑/1551]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''11561''};|&color(#b00){1};|36|6000000|※稀に出現|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||>|>|>|>|>|>|>|BGCOLOR(#ffffff):闇黒の魔王以降で出現|
||&mons200; %%%[[ブラッドデーモン>モンスター図鑑/0200]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''18259''};|&color(#b00){1};||||
