* &font2(60%){うら・ねれうすのいりえ};裏・ネレウスの入江【同キャラ禁止】 [#me88176a]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|破龍の皇帝	|25|10|44000|20000|&color(#080){''&calc(20000/25,1);''};|
|入江の守護神	|25|7|30000|12800|&color(#080){''&calc(12800/25,1);''};|
|海辺の狩人	|25|7|30000|13000|&color(#080){''&calc(13000/25,1);''};|
|青の勇者	|25|7|29000|14000|&color(#080){''&calc(14000/25,1);''};|
|入江の海龍	|25|7|27000|13000|&color(#080){''&calc(13000/25,1);''};|

- テクニカルダンジョン「[[ネレウスの入江>テクニカルダンジョン/ネレウスの入江]]」のモンスターが大幅に強化されている。
- &mons1548; %%%[[ミズピィ>モンスター図鑑/1548]]%%%が極稀に出現
- 2015/12/21 [[コインダンジョン]]から[[協力プレイダンジョン]]向けにリニューアル。スタミナ消費が25に統一。同キャラ禁止。
-- 海神の使い→破龍の皇帝、水精の誘い→青の勇者

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):共通|
||&mons193; %%%[[フロストデビル>モンスター図鑑/0193]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''10920''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
||&mons191; %%%[[パイロデビル>モンスター図鑑/0191]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''10827''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
||&mons264; %%%[[バブルキメラ>モンスター図鑑/0264]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''23147''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（32406）|
||&mons305; %%%[[ペンペンドラ>モンスター図鑑/0305]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''19040''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
||&mons306; %%%[[サファペンドラ>モンスター図鑑/0306]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''17920''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
||&mons247; %%%[[ダブサファリット>モンスター図鑑/0247]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''50000''};|&color(#b00){3};|30|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons1548; %%%[[ミズピィ>モンスター図鑑/1548]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''11561''};|&color(#b00){1};|36|6000000|※稀に出現|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons2306; %%%[[河童>モンスター図鑑/2306]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''13885''};|&color(#b00){1};|1396460|216||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===推して参る（3ターン操作時間1秒短縮）==既に短縮している場合5554==&br;幽水の皿（99ターン水ドロップの出現率15％増加）==1ターン目に使用==|
||>|>|>|>|>|>|>|BGCOLOR(#ffffff):破龍の皇帝のみ出現|
||&mons194; %%%[[フロストデーモン>モンスター図鑑/0194]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''17080''};|&color(#b00){1};||||
