* &font2(60%){うら・てんへとつづくとう};裏・天へと続く塔【全属性必須】 [#b42c43a1]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|美しきもの	|30|10|81000|27000|&color(#080){''900''};|
|神界への扉	|24|7|33000|15000|&color(#080){''625''};|
|白蛇の道	|24|7|34000|16000|&color(#080){''666''};|
|やすらぎ箱庭	|24|7|28000|14000|&color(#080){''583''};|
|下層の門番	|24|7|42000|15000|&color(#080){''625''};|

- [[コインダンジョン]]
- ノーマルダンジョン「[[天へと続く塔>ダンジョン/天へと続く塔]]」のモンスターが大幅に強化されている。構成も若干異なる。
- [[ホノピィ>モンスター図鑑/1547]]が極稀に出現

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):共通|
||[[ハーピィデビル>モンスター図鑑/0197]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''8240''};|&color(#b00){1};||||
||[[ブラッドデビル>モンスター図鑑/0199]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''8446''};|&color(#b00){1};||||
||[[サファイアカーバンクル>モンスター図鑑/0049]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''11833''};|&color(#b00){2};||||
||[[ホワイトナイト>モンスター図鑑/0075]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''14354''};|&color(#b00){2};||||
||[[ブラックナイト>モンスター図鑑/0077]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''14598''};|&color(#b00){2};||||
||[[武者ゴブリン>モンスター図鑑/0057]]			|BGCOLOR(#f1bba6):火|&color(#b00){''16612''};|&color(#b00){4};||||
||[[マリンゴブリン>モンスター図鑑/0059]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''17408''};|&color(#b00){4};||||
||[[アーマーオーガ>モンスター図鑑/0067]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''37923''};|&color(#b00){4};||||
||[[ドラゴンフルーツ>モンスター図鑑/0227]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''67770''};|&color(#b00){4};||||
||[[キングメタルドラゴン>モンスター図鑑/0178]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''11520''};|&color(#b00){1};||||
||[[ホノピィ>モンスター図鑑/1547]]			|BGCOLOR(#f1bba6):火|&color(#b00){''7707''};|&color(#b00){1};|24|6000000|※稀に出現|
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):下層の門番|
|6|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|[[天空の騎士・ヴァーチェ>モンスター図鑑/0232]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''23760''};|&color(#b00){2};||||
|~|[[カオスドラゴンナイト>モンスター図鑑/0233]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''30194''};|&color(#b00){3};||||
|7|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|[[フェニックスナイト・ホムラ>モンスター図鑑/0299]]	|BGCOLOR(#f1bba6):火|&color(#b00){''35002''};|&color(#b00){3};||||
|~|[[フェンリルナイト・カムイ>モンスター図鑑/0230]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''19235''};|&color(#b00){1};||||
|~|[[エンシェントドラゴンナイト>モンスター図鑑/0231]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''27539''};|&color(#b00){2};||||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):やすらぎ箱庭|
|6|[[大樹の精霊・アルラウネ>モンスター図鑑/0203]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''16462''};|&color(#b00){1};||||
|7|[[天空の使徒・エンジェル>モンスター図鑑/0204]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''23147''};|&color(#b00){1};||||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):白蛇の道|
|6|[[サンライトカーバンクル>モンスター図鑑/0209]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''26961''};|&color(#b00){2};||||
|~|[[ムーンライトカーバンクル>モンスター図鑑/0210]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''28538''};|&color(#b00){2};||||
|7|[[神龍>モンスター図鑑/0119]]　　　　　　　　　	|BGCOLOR(#f1f1a6):光|&color(#b00){''28084''};|&color(#b00){1};||||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):神界への扉|
|6|[[ダークゴーレムMk-III>モンスター図鑑/0320]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''29702''};|&color(#b00){3};||||
|7|[[マシンゴーレムMk-III>モンスター図鑑/0319]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''36197''};|&color(#b00){3};||||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):美しきもの|
|9|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|[[マーズライトカーバンクル>モンスター図鑑/0206]]	|BGCOLOR(#f1bba6):火|&color(#b00){''24596''};|&color(#b00){2};||||
|~|[[マーキュライトカーバンクル>モンスター図鑑/0207]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''25384''};|&color(#b00){2};||||
|~|[[アースライトカーバンクル>モンスター図鑑/0208]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''26173''};|&color(#b00){2};||||
|10|[[慈愛神・コスモスヴィーナス>モンスター図鑑/0394]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''21930''};|&color(#b00){1};||||

- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

* コメント [#f4d88ea1]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
