* &font2(60%){うら・じゅすいのほこら};裏・樹水の祠【同キャラ禁止】 [#me88176a]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|祠の砦龍	|25|10|51000|25000|&color(#080){''&calc(25000/25,1);''};|
|双魚の間	|25|7|34000|16000|&color(#080){''&calc(16000/25,1);''};|
|風水の妖魔	|25|7|35000|10500|&color(#080){''&calc(10500/25,1);''};|
|大花の妖精	|25|7|36000|16000|&color(#080){''&calc(16000/25,1);''};|
|豹紋と水皿	|25|7|35000|14500|&color(#080){''&calc(14500/25,1);''};|

- テクニカルダンジョン「[[樹水の祠>テクニカルダンジョン/樹水の祠]]」のモンスターが大幅に強化されている。
- &mons1548; %%%[[ミズピィ>モンスター図鑑/1548]]%%%が極稀に出現
- 2015/12/21 [[コインダンジョン]]から[[協力プレイダンジョン]]向けにリニューアル。スタミナ消費が25に統一。同キャラ禁止。
-- 水花の双獣→風水の妖魔、木と水の双玉→豹紋と水皿

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):共通|
||&mons196; %%%[[タウロスデーモン>モンスター図鑑/0196]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''12369''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ファイアバインド|
||&mons049; %%%[[サファイアカーバンクル>モンスター図鑑/0049]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''10517''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons051; %%%[[エメラルドカーバンクル>モンスター図鑑/0051]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''10450''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons264; %%%[[バブルキメラ>モンスター図鑑/0264]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''16230''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（22722）|
||&mons266; %%%[[リーフキメラ>モンスター図鑑/0266]]%%%		||BGCOLOR(#bbf1a6):木|&color(#b00){''15707''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（21990）|
||&mons305; %%%[[ペンペンドラ>モンスター図鑑/0305]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''13351''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
||&mons307; %%%[[ジュペンドラ>モンスター図鑑/0307]]%%%		||BGCOLOR(#bbf1a6):木|&color(#b00){''12369''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
||&mons247; %%%[[ダブサファリット>モンスター図鑑/0247]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''33333''};|&color(#b00){3};|30|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons248; %%%[[ダブエメリット>モンスター図鑑/0248]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''33333''};|&color(#b00){3};|30|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons259; %%%[[ハイエメラルドドラゴン>モンスター図鑑/0259]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''6990''};|&color(#b00){1};|675|100000||
