* &font2(60%){うら・すいかのほこら};裏・水火の祠【同キャラ禁止】 [#t1d34448]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|祠の鮫龍	|25|10|49000|24000|&color(#080){''&calc(24000/25,1);''};|
|2頭の火玩龍	|25|7|34000|15500|&color(#080){''&calc(15500/25,1);''};|
|水炎の妖魔	|25|7|34000|14000|&color(#080){''&calc(14000/25,1);''};|
|謳う人魚	|25|7|37000|16500|&color(#080){''&calc(16500/25,1);''};|
|水皿と赤目	|25|7|41000|13000|&color(#080){''&calc(13000/25,1);''};|

- テクニカルダンジョン「[[水火の祠>テクニカルダンジョン/水火の祠]]」のモンスターが大幅に強化されている。
- &mons1549; %%%[[モクピィ>モンスター図鑑/1549]]%%%が極稀に出現
- 2015/12/21 [[コインダンジョン]]から[[協力プレイダンジョン]]向けにリニューアル。スタミナ消費が25に統一。同キャラ禁止。
-- 氷炎の双獣→水炎の妖魔、水と火の双玉→水皿と赤目

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):共通|
||&mons192; %%%[[パイロデーモン>モンスター図鑑/0192]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''10152''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ウォーターバインド|
||&mons194; %%%[[フロストデーモン>モンスター図鑑/0194]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''11976''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):リーフバインド|
||&mons047; %%%[[ルビーカーバンクル>モンスター図鑑/0047]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''9864''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons049; %%%[[サファイアカーバンクル>モンスター図鑑/0049]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''10157''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons262; %%%[[フレイムキメラ>モンスター図鑑/0262]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''16688''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（23364）|
||&mons264; %%%[[バブルキメラ>モンスター図鑑/0264]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''16230''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（22722）|
||&mons303; %%%[[ホノペンドラ>モンスター図鑑/0303]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''14332''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
||&mons305; %%%[[ペンペンドラ>モンスター図鑑/0305]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''13351''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
||&mons246; %%%[[ダブルビリット>モンスター図鑑/0246]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''33333''};|&color(#b00){3};|30|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons247; %%%[[ダブサファリット>モンスター図鑑/0247]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''33333''};|&color(#b00){3};|30|600000||
