* &font2(60%){うら・しんえんのまおうじょう};裏・深淵の魔王城【同キャラ禁止】 [#me88176a]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|甦りし暗黒の王    |25|10|67000|25000|&color(#080){''&calc(25000/25,1);''};|
|傀儡の龍           |25|7|37000|16000|&color(#080){''&calc(16000/25,1);''};|
|暗炎の妖魔		|25|7|40000|16000|&color(#080){''&calc(16000/25,1);''};|
|柔肌と血染めの鱗	|25|7|40000|16000|&color(#080){''&calc(16000/25,1);''};|
|赤目と魔爪		|25|7|34000|13500|&color(#080){''&calc(13500/25,1);''};|

- テクニカルダンジョン「[[深淵の魔王城>テクニカルダンジョン/深淵の魔王城]]」のモンスターが大幅に強化されている。
- &mons1547; %%%[[ホノピィ>モンスター図鑑/1547]]%%%が極稀に出現
- 2015/12/21 [[コインダンジョン]]から[[協力プレイダンジョン]]向けにリニューアル。スタミナ消費が25に統一。同キャラ禁止。
-- 呪われし宝石達→赤目と魔爪、扉の守護獣→暗炎の妖魔

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):共通|
||&mons200; %%%[[ブラッドデーモン>モンスター図鑑/0200]]%%%		||BGCOLOR(#bba6f1):闇|&color(#b00){''17567''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラッシュバインド|
||&mons303; %%%[[ホノペンドラ>モンスター図鑑/0303]]%%%			||BGCOLOR(#f1bba6):火|&color(#b00){''13627''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ようすを見ている|
||&mons262; %%%[[フレイムキメラ>モンスター図鑑/0262]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''15867''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（22214）|
||&mons270; %%%[[ミストキメラ>モンスター図鑑/0270]]%%%			||BGCOLOR(#bba6f1):闇|&color(#b00){''16800''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（23520）|
||&mons055; %%%[[アメジストカーバンクル>モンスター図鑑/0055]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''10956''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons2308; %%%[[風狸>モンスター図鑑/2308]]%%%		||BGCOLOR(#bbf1a6):木|&color(#b00){''8710''};|&color(#b00){1};|1232460|216||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===怖いでありんす（999ターン状態異常無効）&br;命乞い（1ターン被ダメージ50％減）==1ターン目に使用==|
||&mons171; %%%[[神化の紅面>モンスター図鑑/0171]]%%%			||BGCOLOR(#f1bba6):火|&color(#b00){''138875''};|&color(#b00){6};|35|300000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ウォーターバインド|
||&mons172; %%%[[神化の蒼面>モンスター図鑑/0172]]%%%			||BGCOLOR(#a6f1f1):水|&color(#b00){''138875''};|&color(#b00){6};|35|300000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):リーフバインド|
||&mons173; %%%[[神化の碧面>モンスター図鑑/0173]]%%%			||BGCOLOR(#bbf1a6):木|&color(#b00){''138875''};|&color(#b00){6};|35|300000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ファイアバインド|
