* &font2(60%){うら・まおうのしろ};裏・魔王の城【同キャラ禁止】  [#da412d08]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|暗闇の王	|22|10|50000|20000|&color(#080){''909''};|
|王を守る者	|18|7|30000|15000|&color(#080){''833''};|
|魔獣の檻	|18|7|30000|15000|&color(#080){''833''};|
|魔女達の舞踏会	|18|7|30000|15000|&color(#080){''833''};|
|城門		|18|7|30000|15000|&color(#080){''833''};|

- [[コインダンジョン]]
- ノーマルダンジョン「[[魔王の城>ダンジョン/魔王の城]]」のモンスターが大幅に強化されている。構成も若干異なる。
- [[ホノピィ>モンスター図鑑/1547]]が極稀に出現

- チームメンバーおよびフレンドに、同じモンスターを2体以上設定できない制限ダンジョン
-- 図鑑No.さえ異なっていれば別キャラとみなされる

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):共通|
||[[ルビーカーバンクル>モンスター図鑑/0047]]	|BGCOLOR(#f1bba6):火|&color(#b00){''11166''};|&color(#b00){2};|34272|490||
||[[アメジストカーバンクル>モンスター図鑑/0055]]|BGCOLOR(#bba6f1):闇|&color(#b00){''12824''};|&color(#b00){2};|37036|490||
||[[フレイムナイト>モンスター図鑑/0069]]	|BGCOLOR(#f1bba6):火|&color(#b00){''12847''};|&color(#b00){2};|62275|675||
||[[ブラックナイト>モンスター図鑑/0077]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''14022''};|&color(#b00){2};|70108|675||
||[[ホブゴブリン>モンスター図鑑/0061]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''17799''};|&color(#b00){4};|64675|490||
||[[アイスオーガ>モンスター図鑑/0065]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''35877''};|&color(#b00){4};|162542|0||
||[[ハイゴールドドラゴン>モンスター図鑑/0180]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''10744''};|&color(#b00){1};|692|147222||
||[[ハイメタルドラゴン>モンスター図鑑/0177]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''10744''};|&color(#b00){1};|692|147222||
||[[ヴァンパイア>モンスター図鑑/0110]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''20773''};|&color(#b00){3};|385700|720|※稀に出現|
||[[ホノピィ>モンスター図鑑/1547]]		|BGCOLOR(#f1bba6):火|&color(#b00){''7707''};|&color(#b00){1};|24|6000000|※稀に出現|
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):城門|
|6|[[マシンゴーレムMk-III>モンスター図鑑/0319]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''23550''};|&color(#b00){3};|1803450|2300||
|7|[[ダークゴーレムMk-III>モンスター図鑑/0320]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''37581''};|&color(#b00){3};|2887247|3450||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):魔女達の舞踏会|
|6|[[紅蓮の女帝・エキドナ>モンスター図鑑/0201]]		|BGCOLOR(#f1bba6):火|&color(#b00){''15078''};|&color(#b00){1};|926372|1350||
|7|[[常夜の魔女・リリス>モンスター図鑑/0205]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''23718''};|&color(#b00){1};|1332810|1710||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):魔獣の檻|
|6|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|[[リヴァイアサン>モンスター図鑑/0115]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''97615''};|&color(#b00){5};|1075868|0||
|~|[[神龍>モンスター図鑑/0119]]			|BGCOLOR(#f1f1a6):光|&color(#b00){''20415''};|&color(#b00){1};|1075868|4760||
|7|[[エンシェントドラゴンナイト>モンスター図鑑/0231]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''25851''};|&color(#b00){2};|1361363|30400||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):王を守る者|
|6|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|[[フェニックスナイト・ホムラ>モンスター図鑑/0229]]	|BGCOLOR(#f1bba6):火|&color(#b00){''19980''};|&color(#b00){3};|1127850|19000||
|~|[[フェンリルナイト・カムイ>モンスター図鑑/0230]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''10980''};|&color(#b00){1};|827850|19000||
|7|[[カオスドラゴンナイト>モンスター図鑑/0233]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''34731''};|&color(#b00){3};|1731353|30400||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):暗闇の王|
|9|[[ティアマット>モンスター図鑑/0121]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''30065''};|&color(#b00){2};|1183090|4760||
|10|[[魔王・ヴァンパイアロード>モンスター図鑑/0516]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''12714''};|&color(#b00){1};|2569660|2100||

- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

* コメント [#i9efc84b]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
