* 超絶ドラゴンラッシュ2！ [#i4a17381]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|五龍鳴動 地獄級（テクニカル）	|50|5|49700|26000|&color(#080){''520''};|
|五龍鳴動 超級（テクニカル）		|40|5|24700|17000|&color(#080){''425''};|
|五龍鳴動 上級（テクニカル）		|25|5|21000|8700|&color(#080){''348''};|
|五龍鳴動 中級（テクニカル）		|15|5|12000|4300|&color(#080){''286''};|

- フォーミュラーはドロップすることがあるのを確認
- デモンハダルのアルティメット・ストリームはリミッター解除と交互に使用

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):五龍鳴動 地獄級|
|1|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons283; %%%[[砲炎機龍・ベテルギウス>モンスター図鑑/0283]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''12225''};|&color(#b00){2};|889929|896|エネルギーチャージ（次回攻撃力3倍）&br;オートリペア（HP中回復）==HP50％以下で使用==&br;メギドキャノン（連続攻撃34230）==HP25％以下で使用==|
|~|&mons284; %%%[[氷砕機龍・アルデバラン>モンスター図鑑/0284]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''11872''};|&color(#b00){2};|860484|896|エネルギーチャージ（次回攻撃力3倍）&br;オートリペア（HP中回復）==HP50％以下で使用==&br;アイスクラッシャー（8310x2～5の連続攻撃）==HP25％以下で使用==|
|~|&mons285; %%%[[旋風機龍・カノープス>モンスター図鑑/0285]]%%%		||BGCOLOR(#bbf1a6):木|&color(#b00){''8339''};|&color(#b00){1};|831040|896|エネルギーチャージ（次回攻撃力3倍）&br;オートリペア（HP中回復）==HP50％以下で使用==&br;サイクロンブラスト（連続攻撃20850）==HP25％以下で使用==|
|~|&mons286; %%%[[皇爪機龍・レグルス>モンスター図鑑/0286]]%%% 		||BGCOLOR(#f1f1a6):光|&color(#b00){''5512''};|&color(#b00){1};|813373|896|連続攻撃（7716）&br;オートリペア（HP中回復）==HP50％以下で使用==&br;皇爪連牙（連続攻撃15432）==HP25％以下で使用==|
|~|&mons287; %%%[[殲滅機龍・ハダル>モンスター図鑑/0287]]%%%		||BGCOLOR(#bba6f1):闇|&color(#b00){''12579''};|&color(#b00){2};|948818|896|エネルギーチャージ（次回攻撃力3倍）&br;オートリペア（HP中回復）==HP50％以下で使用==&br;ジェノサイドミサイル（連続攻撃33963）==HP25％以下で使用==|
|2|&mons351; %%%[[炎聖騎龍・フォーミュラー>モンスター図鑑/0351]]%%%	||BGCOLOR(#f1f1a6):光火|&color(#b00){''6425''};|&color(#b00){1};|559264|0|<光>光の翼（先制攻撃6425）&br;<光>スパークエッジ（計7710の連続攻撃）&br;<火>フレイムバースト（12850）|
|3|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons974; %%%[[紅の海賊龍・バーソロミュー>モンスター図鑑/0974]]%%%	||BGCOLOR(#f1bba6):火水|&color(#b00){''8113''};|&color(#b00){1};|1458380|2760|ダイヤモンドクロス（先制・20ターン状態異常無効）&br;ブラック・バート（3ターン攻撃力3倍、初回1度きり）&br;主砲発射（10141ダメージ＆ランダム1色→火ドロップ）&br;ロイヤル・フォーチュン（連続攻撃12980）==HP50％以下で使用==|
|~|&mons975; %%%[[蒼の海賊龍・アルビダ>モンスター図鑑/0975]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''-''};|&color(#b00){1};|2038010|3220|踏んで差し上げますわ（先制・10797ダメージ＆ランダム1色→回復ドロップ）==初回以外にも使用==&br;ハニーポイズン（回復ドロップ→毒ドロップ）&br;ブルースラッシュ（7198ダメージ＆ランダム1色→水ドロップ）&br;魅惑の抱擁（リーダーを3ターンバインド、1度きり）==HP60％以下で使用==&br;プリンセスの号令（次回から海龍大進撃を使用、1度きり）==HP30％以下で使用==&br;海龍大進撃（連続攻撃107970）|
|~|&mons976; %%%[[碧の海賊龍・キャプテンキッド>モンスター図鑑/0976]]%%%	||BGCOLOR(#bbf1a6):木水|&color(#b00){''-''};|&color(#b00){1};|1428010|3220|パイレーツフォッグ（先制・10ターン状態異常無効）&br;アイアンバケット（残りHP99％ダメージ）&br;バッドスラッシュ（5292ダメージ＆ランダム1色排除）&br;アドベンチャーギャリー（連続攻撃12702)==HP30％以下で使用==|
|~|&mons977; %%%[[金の海賊龍・アン＆メアリー>モンスター図鑑/0977]]%%%	||BGCOLOR(#f1f1a6):光水|&color(#b00){''5673''};|&color(#b00){1};|2139677|3220|ブリッツアタック（先制攻撃5673）&br;ラカムの重撃（残りHP99％ダメージ）==HP50～100％で使用==&br;クロスカットラス（連続攻撃6808）&br;トリプルコンビネーション（5ターン攻撃力1.5倍）==HP50％以下で使用==|
|~|&mons978; %%%[[黒の海賊龍・黒髭ティーチ>モンスター図鑑/0978]]%%%	||BGCOLOR(#bba6f1):闇水|&color(#b00){''-''};|&color(#b00){1};|1707116|2760|邪鬼眼の呪縛（先制・5ターン状態異常無効）&br;そうか・・・お前らガ・・・（ドロップが見えなくなる）&br;女王に仇なス愚か者メ・・・（ドロップが見えなくなる）&br;冥海ノ塵二ナレ！（ドロップが見えなくなる）&br;クイーン・アンズ・リベンジ（連続攻撃90036）&br;この程度ノ闇モ拭えぬカ・・・（何もしない）|
|4|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons483; %%%[[太陽龍・ソルプテラドス>モンスター図鑑/0483]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|1911181|210|光の翼（先制攻撃7208）&br;ホーリーブレス（連続攻撃7208）&br;加速（999ターン攻撃力2倍）==HP50％以下で使用==&br;ゴッドホーリーブレス（連続攻撃10810）==HP25％以下で使用==|
|~|&mons484; %%%[[月光龍・ルナデスピナス>モンスター図鑑/0484]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){2};|2177153|0|ヘルブレス（連続攻撃15028）&br;グラビティブレス（残りHP99％ダメージ）==HP75％以下で使用==&br;ゴッドヘルブレス（連続攻撃33813）==HP25％以下で使用==|
|5|&mons1207; %%%[[五機龍融合・デモンハダル>モンスター図鑑/1207]]%%%	||BGCOLOR(#bba6f1):闇火|&color(#b00){''-''};|&color(#b00){1};|4318530|670|バリアフィールド（先制・999ターン状態異常無効）&br;ジェノサイドミサイル・零式（6028ダメージ＆ドロップ6つ→毒ドロップ）&br;皇爪連牙・改（連続攻撃9042～10549）&br;ダークサイクロンブラスト（7535ダメージ＆ドロップが見えなくなる）&br;ハイメギドキャノン（連続攻撃12056）&br;フリーズクラッシャー（4521ダメージ＆サブ全員2ターンバインド）&br;リミッター解除（次回アルティメット・ストリーム）==HP25％以下で使用==&br;アルティメット・ストリーム（連続攻撃54252）|
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):五龍鳴動 超級|
|1|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
