* 超絶・無限回廊 [#e3e7c440]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|超絶・無限回廊	|0|30|0|0|&color(#080){''0''};|

- [[無限回廊>スペシャルダンジョン/無限回廊]]
- [[協力プレイダンジョン]]限定

- [[絶・無限回廊>スペシャルダンジョン/絶・無限回廊]]の強化版。一部登場モンスターが異なる。
-- 21F メジェドラ→覚醒シヴァ
-- 30F ソニア＝グラン→光カーリーor闇カーリー

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):絶・無限回廊 |
|1|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか3体が出現|
|~|&mons1171; %%%[[プチリップ>モンスター図鑑/1171]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''7992''};|&color(#b00){1};|88307|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラワーテイル（7992ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1172; %%%[[プチローズ>モンスター図鑑/1172]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''7992''};|&color(#b00){1};|88307|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラワーテイル（7992ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1173; %%%[[プチリウム>モンスター図鑑/1173]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''7992''};|&color(#b00){1};|88307|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラワーテイル（7992ダメージ＆ランダム1色→回復ドロップ）|
|~|&mons1174; %%%[[プチアンサス>モンスター図鑑/1174]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''7992''};|&color(#b00){1};|88307|0||
