* 金の丼龍【火光闇限定】 [#x9b733e2]

#ginclude(Parts/関連,notitle,or,spd11)

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|雑煮龍 超地獄級（テクニカル）	|50|7|70000|19000|&color(#080){''380''};|
|雑煮龍 地獄級（テクニカル）	|45|7|45000|12500|&color(#080){''277''};|
|雑煮龍 超級（テクニカル）	|40|7|38000|10500|&color(#080){''262''};|
|雑煮龍 上級（テクニカル）	|25|7|4800|1400|&color(#080){''56''};|
|雑煮龍 中級（テクニカル）	|15|7|2300|700|&color(#080){''46''};|

- 水と木ドロップが出現しない（変換などで出現させることは可能）
- [[ぐんまコラボ>スペシャルダンジョン/ぐんまコラボ]]や[[高岡市コラボ>スペシャルダンジョン/高岡市コラボ]]の一部キャラクターも登場
- [[ヤタガラス>モンスター図鑑/1474]]がゲリラ出現（特定の日のみ幻獣の代わりに出現）

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):雑煮龍 超地獄級|
||&mons577; %%%[[キンムギドラ>モンスター図鑑/0577]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''9837''};|&color(#b00){2};|119992|130||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):太陽の恵み・闇（闇→光ドロップ）|
||&mons432; %%%[[超・下仁田ネギ>モンスター図鑑/0432]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''6188''};|&color(#b00){1};|250693|364||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):愛・殿様ネギの魅力（4体2～4ターンバインド）==HP50％以下で使用==|
||&mons434; %%%[[超・下仁田こんにゃく>モンスター図鑑/0434]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''15073''};|&color(#b00){3};|329828|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):激・からしみそ（30146）==HP30％以下で使用==|
||&mons834; %%%[[ブリ>モンスター図鑑/0834]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''14637''};|&color(#b00){3};|895673|416||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):富山水流（17564ダメージ＆ランダム1色→水ドロップ）&br;体当たり（19028）==HP70％以下で使用==|
||&mons839; %%%[[富山湾の宝石・シロエビ>モンスター図鑑/0839]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){5};|26|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):カラッと揚げる（計150416の連続攻撃）|
||&mons1219; %%%[[氷見うどん>モンスター図鑑/1219]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''11543''};|&color(#b00){2};|1302852|364||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):かっつく（17315）==HP75％以下で使用==&br;ちょこちょこ（フレンドを4ターンバインド）==HP50％以下で使用、1度きり==|
||&mons1769; %%%[[マグコーン>モンスター図鑑/1769]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){2};|25|1000000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):マグマグイエロー（7080ダメージ＆ランダム1色→光ドロップ）&br;やすらぎティータイム（3体2～3ターンバインド）==HP30％以下で使用、1度きり==|
||&mons1778; %%%[[金の丼魔・トリドン>モンスター図鑑/1778]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):チキンスマッシュ（14121ダメージ＆光→お邪魔ドロップ）&br;テイスティンガー！（28242）==HP50％以下で使用==&br;もぐもぐタイム（HP50％回復）==HP50％以下で使用==|
||&mons1474; %%%[[ヤタガラス>モンスター図鑑/1474]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|1390515|0|※稀に出現、確定ドロップ（幻獣の代わりに出現）|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):太陽の導き（8687ダメージ＆ランダム1色→光ドロップ）&br;太陽の怒り（17374ダメージ＆ランダム1色→光ドロップ）==HP30％以下で使用==|
|6|&mons1082; %%%[[黄天の果実・レモンドラゴン>モンスター図鑑/1082]]%%%	||BGCOLOR(#f1f1a6):光木|&color(#b00){''-''};|&color(#b00){1};|2001183|1040||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===果実の恵み（プレイヤーのHP全回復）&br;レモンシャワー（16065ダメージ＆ランダム1色→回復ドロップ）&br;スパークリング・レモネード（13388ダメージ＆回復ドロップ→光ドロップ）|
|7|&mons1764; %%%[[日出の丼龍・ガショウ>モンスター図鑑/1764]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|4502550|0|【常時】闇属性のダメージ50％減|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===祝いの宴（プレイヤーのHP全回復）&br;見つめる（1体2～3ターンバインド）==初回1度きり==&br;膨れる（ランダム2色→お邪魔ドロップ）==2回使用==&br;※下記のいずれかを使用、その後「膨れる」に戻る&br;　おもち大爆発（計250000の連続攻撃）&br;　幸運の香り（500ダメージ＆ランダム1色→回復ドロップ）|
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):雑煮龍 地獄級|
||&mons577; %%%[[キンムギドラ>モンスター図鑑/0577]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''7440''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):太陽の恵み・闇（闇→光ドロップ）|
||&mons432; %%%[[超・下仁田ネギ>モンスター図鑑/0432]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''4680''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):愛・殿様ネギの魅力（4体2～4ターンバインド）==HP50％以下で使用==|
||&mons434; %%%[[超・下仁田こんにゃく>モンスター図鑑/0434]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''11400''};|&color(#b00){3};||0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):激・からしみそ（22800）==HP30％以下で使用==|
||&mons834; %%%[[ブリ>モンスター図鑑/0834]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''11070''};|&color(#b00){3};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):富山水流（13284ダメージ＆ランダム1色→水ドロップ）&br;体当たり（14391）==HP70％以下で使用==|
||&mons839; %%%[[富山湾の宝石・シロエビ>モンスター図鑑/0839]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){5};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):カラッと揚げる（計113760の連続攻撃）|
||&mons1219; %%%[[氷見うどん>モンスター図鑑/1219]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''8730''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):かっつく（13095）==HP75％以下で使用==&br;ちょこちょこ（フレンドを4ターンバインド、==HP50％以下で使用、1度きり==|
||&mons1769; %%%[[マグコーン>モンスター図鑑/1769]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){2};|21|1000000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):マグマグイエロー（5559ダメージ＆ランダム1色→光ドロップ）&br;やすらぎティータイム（3体2～3ターンバインド）==HP30％以下で使用、1度きり==|
||&mons1778; %%%[[金の丼魔・トリドン>モンスター図鑑/1778]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):チキンスマッシュ（10680ダメージ＆光→お邪魔ドロップ）&br;テイスティンガー！（21360）==HP50％以下で使用==&br;もぐもぐタイム（HP50％回復）==HP50％以下で使用==|
||&mons1474; %%%[[ヤタガラス>モンスター図鑑/1474]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|1051650|0|※稀に出現、確定ドロップ（幻獣の代わりに出現）|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):太陽の導き（6570ダメージ＆ランダム1色→光ドロップ）&br;太陽の怒り（13140ダメージ＆ランダム1色→光ドロップ）==HP30％以下で使用==|
|6|&mons1082; %%%[[黄天の果実・レモンドラゴン>モンスター図鑑/1082]]%%%	||BGCOLOR(#f1f1a6):光木|&color(#b00){''-''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===果実の恵み（プレイヤーのHP全回復）&br;レモンシャワー（12150ダメージ＆ランダム1色→回復ドロップ）&br;スパークリング・レモネード（10125ダメージ＆回復ドロップ→光ドロップ）|
|7|&mons1764; %%%[[日出の丼龍・ガショウ>モンスター図鑑/1764]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};||0|【常時】闇属性のダメージ50％減|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===祝いの宴（プレイヤーのHP全回復）&br;見つめる（1体2～3ターンバインド）==初回1度きり==&br;膨れる（ランダム2色→お邪魔ドロップ）==2回使用==&br;※下記のいずれかを使用、その後「膨れる」に戻る&br;　おもち大爆発（計168350の連続攻撃）&br;　幸運の香り（337ダメージ＆ランダム1色→回復ドロップ）|
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):雑煮龍 超級|
||&mons577; %%%[[キンムギドラ>モンスター図鑑/0577]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''5043''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):太陽の恵み・闇（闇→光ドロップ）|
||&mons432; %%%[[超・下仁田ネギ>モンスター図鑑/0432]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''3172''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):愛・殿様ネギの魅力（4体2～4ターンバインド）==HP50％以下で使用==|
||&mons434; %%%[[超・下仁田こんにゃく>モンスター図鑑/0434]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''7727''};|&color(#b00){3};||0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):激・からしみそ（15454）==HP30％以下で使用==|
||&mons834; %%%[[ブリ>モンスター図鑑/0834]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''7503''};|&color(#b00){3};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):富山水流（9004ダメージ＆ランダム1色→水ドロップ）&br;体当たり（9754）==HP70％以下で使用==|
||&mons839; %%%[[富山湾の宝石・シロエビ>モンスター図鑑/0839]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){5};|18|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):カラッと揚げる（計77104の連続攻撃）|
||&mons1219; %%%[[氷見うどん>モンスター図鑑/1219]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''5917''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):かっつく（8876）==HP75％以下で使用==&br;ちょこちょこ（フレンドを4ターンバインド）==HP50％以下で使用、1度きり==|
||&mons1769; %%%[[マグコーン>モンスター図鑑/1769]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){2};|14|1000000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):マグマグイエロー（3278ダメージ＆ランダム1色→光ドロップ）&br;やすらぎティータイム（3体2～3ターンバインド）==HP30％以下で使用、1度きり==|
||&mons1778; %%%[[金の丼魔・トリドン>モンスター図鑑/1778]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):チキンスマッシュ（7239ダメージ＆光→お邪魔ドロップ）&br;テイスティンガー！（14478）==HP50％以下で使用==&br;もぐもぐタイム（HP50％回復）==HP50％以下で使用==|
||&mons1474; %%%[[ヤタガラス>モンスター図鑑/1474]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|712785|0|※稀に出現、確定ドロップ（幻獣の代わりに出現）|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):太陽の導き（4453ダメージ＆ランダム1色→光ドロップ）&br;太陽の怒り（8906ダメージ＆ランダム1色→光ドロップ）==HP30％以下で使用==|
|6|&mons1082; %%%[[黄天の果実・レモンドラゴン>モンスター図鑑/1082]]%%%	||BGCOLOR(#f1f1a6):光木|&color(#b00){''-''};|&color(#b00){1};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===果実の恵み（プレイヤーのHP全回復）&br;レモンシャワー（8235ダメージ＆ランダム1色→回復ドロップ）&br;スパークリング・レモネード（6863ダメージ＆回復ドロップ→光ドロップ）|
