* 降臨カーニバル（地獄級） [#fa907294]

|~名称	|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|降臨カーニバル1	|50|5|18120|15542|&color(#080){''&calc(15542/50,1);''};|
|降臨カーニバル2	|50|5|22320|18699|&color(#080){''&calc(18699/50,1);''};|
|降臨カーニバル3	|50|5|13800|14499|&color(#080){''&calc(14499/50,1);''};|
|参上カーニバル1	|50|5|11976|9464|&color(#080){''&calc(9464/50,1);''};|

- [[ゲリラダンジョン>スペシャルダンジョン/ゲリラダンジョン]]

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):降臨カーニバル1|
|1|&mons778; %%%[[霊峰の破戒神・大天狗>モンスター図鑑/0778]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''7944''};|&color(#b00){2};|1078542|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):縛！（3体3ターンバインド）==1度きり==&br;壊！（11916）&br;滅！（5561ダメージ＆ランダム1色→お邪魔ドロップ） &br;精神を研ぎ澄ましている（何もしない、生者必滅と交互に使用）==HP40％以下で使用==&br;生者必滅（計63552の連続攻撃）|
|2|&mons1525; %%%[[義愛の知将龍・カネツグ>モンスター図鑑/1525]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''1869''};|&color(#b00){1};|2278633|402||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):愛の輝き（先制・10ターン状態異常無効）&br;義愛の龍砲（5607ダメージ＆ランダム1色→回復ドロップ）&br;龍義のいななき（999ターン攻撃力2倍）==HP85％以下で使用==&br;義信龍の眼光（悪魔タイプ5ターンバインド）==HP50％以下で使用、1度きり==&br;天正大判返し（2倍時、1869ダメージ＆回復ドロップ→お邪魔ドロップ）==HP30％以下で使用==|
|3|&mons1245; %%%[[光僧・三蔵法師>モンスター図鑑/1245]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''-''};|&color(#b00){1};|809387|208||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):破邪の聖印（先制・5ターン闇属性吸収）&br;光の法力（5112ダメージ＆闇ドロップ→光ドロップ）&br;玉龍招来（計7158の連続攻撃）&br;金剛圏（リーダー5ターンバインド）==HP50％以下で使用、1度きり==&br;天現菩薩掌（計14313の連続攻撃）==HP30％以下で使用==|
|4|&mons1307; %%%[[覚醒ワダツミ>モンスター図鑑/1307]]%%%	||BGCOLOR(#a6f1f1):水闇|&color(#b00){''6112''};|&color(#b00){1};|1639527|282||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):大海の衣（先制・999ターン4コンボ以下の攻撃吸収）&br;海刃（6112ダメージ＆木ドロップ→水ドロップ）&br;神水の災恵（9168ダメージ＆水ドロップ→回復ドロップ）&br;父なる海神の呪詛（ランダム3色→お邪魔ドロップ）==HP75％以下で使用==&br;海神の一撃（24448）==HP25％以下で使用==|
|5|&mons1945; %%%[[竹取の翠月花・かぐや姫>モンスター図鑑/1945]]%%%	||BGCOLOR(#bbf1a6):木光|&color(#b00){''5554''};|&color(#b00){1};|1620916|282||
