* 降臨チャレンジ！12【ノーコン】 [#rba4c151]

- [[降臨チャレンジ！>スペシャルダンジョン/降臨チャレンジ！]]


|~ |~名称		|~スタミナ|~バトル|~クリア報酬|
|||RIGHT:|RIGHT:|BGCOLOR(#ffd):|c
|>|>|>|>|BGCOLOR(#ffffff):【12】2015/12/21～2015/12/27（クリア期限は12/28まで）|
|&mons1841;|[[ヴォルスーン降臨！【特殊】>スペシャルダンジョン/ヴォルスーン降臨！]]&br;絶地獄級		|50|10|[[ヤミピィ>モンスター図鑑/1551]]＋1000万コイン|
|&mons1847;|[[ゼローグ∞降臨！【特殊】>スペシャルダンジョン/ゼローグ∞降臨！]]&br;絶地獄級		|50|10|[[ヒカピィ>モンスター図鑑/1550]]＋5000友情ポイント|
|&mons2263;|[[インディゴ降臨！【7×6マス】>スペシャルダンジョン/インディゴ降臨！]]&br;超地獄級	|50|6|[[モクピィ>モンスター図鑑/1549]]|
|&mons1945;|[[かぐや姫 降臨！【回復なし/覚醒無効】>スペシャルダンジョン/かぐや姫 降臨！]]&br;超地獄級	|50|6|[[ミズピィ>モンスター図鑑/1548]]|
|&mons1307;|[[ワダツミ降臨！【覚醒無効】>スペシャルダンジョン/ワダツミ降臨！]]&br;超地獄級	|50|6|[[ホノピィ>モンスター図鑑/1547]]|
|&mons1252;|[[ゼウス・ヴァルカン降臨！>スペシャルダンジョン/ゼウス・ヴァルカン降臨！]]&br;超地獄級			|50|10|[[ヤミピィ>モンスター図鑑/1551]]|
|&mons2383;|[[エーギル降臨！【7×6マス】>スペシャルダンジョン/エーギル降臨！]]&br;超地獄級	|50|6|[[ヒカピィ>モンスター図鑑/1550]]|
|&mons2549;|[[ヤマツミ降臨！【木属性強化】>スペシャルダンジョン/ヤマツミ降臨！]]&br;超地獄級	|50|7|[[モクピィ>モンスター図鑑/1549]]|
|&mons2104;|[[周瑜 参上！【全属性必須】>スペシャルダンジョン/周瑜 参上！]]&br;超地獄級	|50|6|[[ミズピィ>モンスター図鑑/1548]]|
|&mons1119;|[[サンダルフォン降臨！【同キャラ禁止】>スペシャルダンジョン/サンダルフォン降臨！]]&br;超地獄級		|50|5|[[ホノピィ>モンスター図鑑/1547]]|
|&mons650;|[[ゼウス・ディオス降臨！>スペシャルダンジョン/ゼウス・ディオス降臨！]]&br;超地獄級			|50|5|[[闇の宝玉>モンスター図鑑/1329]]|
|&mons1629;|[[コシュまる降臨！>スペシャルダンジョン/コシュまる降臨！]]&br;地獄級			|50|5|[[光の宝玉>モンスター図鑑/1328]]|
|&mons1750;|[[グリモワール降臨！>スペシャルダンジョン/グリモワール降臨！]]&br;超地獄級			|50|7|[[木の宝玉>モンスター図鑑/1327]]|
|&mons1250;|[[ヘラ・ソエル降臨！>スペシャルダンジョン/ヘラ・ソエル降臨！]]&br;超地獄級			|50|10|[[水の宝玉>モンスター図鑑/1326]]|
|&mons646;|[[サタン降臨！【回復なし】>スペシャルダンジョン/サタン降臨！]]&br;超地獄級		|50|6|[[火の宝玉>モンスター図鑑/1325]]|
|&mons1525;|[[カネツグ降臨！【全属性必須】>スペシャルダンジョン/カネツグ降臨！]]&br;超地獄級		|50|7|[[闇の宝玉>モンスター図鑑/1329]]|
|&mons1879;|[[ディアゴルドス降臨！>スペシャルダンジョン/ディアゴルドス降臨！]]&br;超地獄級			|50|6|[[光の宝玉>モンスター図鑑/1328]]|
|&mons1510;|[[メフィスト降臨！【回復なし】>スペシャルダンジョン/メフィスト降臨！]]&br;超地獄級		|50|7|[[木の宝玉>モンスター図鑑/1327]]|
|&mons2320;|[[ヨルズ降臨！>スペシャルダンジョン/ヨルズ降臨！]]&br;超地獄級			|50|6|[[水の宝玉>モンスター図鑑/1326]]|
|&mons1098;|[[ヘラクレス降臨！>スペシャルダンジョン/ヘラクレス降臨！]]&br;超地獄級			|50|5|[[火の宝玉>モンスター図鑑/1325]]|
|&mons1462;|[[トト＆ソティス降臨！>スペシャルダンジョン/トト＆ソティス降臨！]]&br;超地獄級			|50|6|[[ノエルドラゴン・ブラン>モンスター図鑑/1005]]&br;（Lv最大）|
|&mons810;|[[タケミナカタ降臨！【木闇なし】>スペシャルダンジョン/タケミナカタ降臨！]]&br;超地獄級		|50|5|[[ぷれドラ>モンスター図鑑/2250]]|
|&mons596;|[[ヘラ・イース降臨！>スペシャルダンジョン/ヘラ・イース降臨！]]&br;地獄級			|50|6|[[たまドラ>モンスター図鑑/0797]]|
|&mons565;|[[大泥棒参上！>スペシャルダンジョン/大泥棒参上！]]&br;地獄級			|50|5|5000友情ポイント|
|&mons189;|[[ヘラ降臨！>スペシャルダンジョン/ヘラ降臨！]]&br;地獄級		|40|10|500万コイン|


* コメント [#x2d93143]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
