* 降臨チャレンジ！9【ノーコン】 [#rba4c151]

- [[降臨チャレンジ！>スペシャルダンジョン/降臨チャレンジ！]]

|~名称		|~スタミナ|~バトル|~備考|~宝玉|~クリア報酬|
||RIGHT:|RIGHT:|||BGCOLOR(#ffd):|c
|>|>|>|>|>|BGCOLOR(#ffffff):【9】2015/10/05～2015/10/12（クリア期限は10/13まで）&br;※「超地獄級」と「絶地獄級」で稀に四獣の神が出現、対応する『精霊の宝玉』をドロップ|
|&mons2206; 灼冥魔 特殊		|50|7|[[スカーレット降臨！>スペシャルダンジョン/スカーレット降臨！]]&br;絶地獄級|&mons754;|[[ヤミピィ>モンスター図鑑/1551]]＋[[ぷれドラ>モンスター図鑑/2250]]|
|&mons1845; 騎龍王 特殊		|50|10|[[ノルディス降臨！>スペシャルダンジョン/ノルディス降臨！]]&br;絶地獄級|&mons752;|[[ヒカピィ>モンスター図鑑/1550]]＋1000万コイン|
|&mons1847; 幻龍王 特殊		|50|10|[[ゼローグ∞降臨！>スペシャルダンジョン/ゼローグ∞降臨！]]&br;絶地獄級|&mons750;|[[モクピィ>モンスター図鑑/1549]]＋5000友情ポイント|
|&mons2234; 機操神		|50|7|[[デウス＝エクス＝マキナ降臨！>スペシャルダンジョン/デウス＝エクス＝マキナ降臨！]]&br;超地獄級|&mons748;|[[ミズピィ>モンスター図鑑/1548]]|
|&mons1922; 神王殿		|50|6|[[ゼウス＆ヘラ降臨！>スペシャルダンジョン/ゼウス＆ヘラ降臨！]]&br;超地獄級|&mons746;|[[ホノピィ>モンスター図鑑/1547]]|
|&mons1760; 継界龍		|50|6|[[ソニア＝グラン降臨！>スペシャルダンジョン/ソニア＝グラン降臨！]]&br;超地獄級|&mons754;|[[潜在たまドラ☆闇ダメージ軽減>モンスター図鑑/2216]]|
|&mons2263; 凍冥魔 7×6マス	|50|6|[[インディゴ降臨！>スペシャルダンジョン/インディゴ降臨！]]&br;超地獄級|&mons752;|[[潜在たまドラ☆光ダメージ軽減>モンスター図鑑/2215]]|
|&mons2383; 迎海神 7×6マス	|50|6|[[エーギル降臨！>スペシャルダンジョン/エーギル降臨！]]&br;超地獄級|&mons750;|[[潜在たまドラ☆木ダメージ軽減>モンスター図鑑/2214]]|
|&mons2104; 美周郎 全属性必須	|50|6|[[周瑜 参上！>スペシャルダンジョン/周瑜 参上！]]&br;超地獄級|&mons748;|[[潜在たまドラ☆水ダメージ軽減>モンスター図鑑/2213]]|
|&mons1189; 創樹妃		|50|5|[[ヘラ・ベオーク降臨！>スペシャルダンジョン/ヘラ・ベオーク降臨！]]&br;超地獄級|&mons746;|[[潜在たまドラ☆火ダメージ軽減>モンスター図鑑/2212]]|
|&mons1837; 冥護神		|50|6|[[メジェドラ降臨！>スペシャルダンジョン/メジェドラ降臨！]]&br;超地獄級|&mons754;|[[潜在たまドラ☆操作時間延長>モンスター図鑑/2211]]|
