* 高岡市コラボ【3色限定】 [#df513b57]

|~名称			|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|大仏降臨？ 祭		|50|10|76000|17900|&color(#080){''&calc(17900/50,1);''};|
|大仏降臨？ 超級	|40|10|73000|12500|&color(#080){''&calc(12500/40,1);''};|
|大仏降臨？ 上級	|25|10|27000|4400|&color(#080){''&calc(4400/25,1);''};|
|大仏降臨？ 中級	|15|10|12000|2200|&color(#080){''&calc(2200/15,1);''};|

- [[富山県高岡市:http://mobile.gungho.jp/news/pad/130913_taka.html]]とコラボレーション
- 閃光の結界のスキル上げができることと、入手できるブリが制限ダンジョン用に有用だったことがあるぐらいで全体的に価値のあるモンスターが現在は少ない。進化シロエビの攻撃力に注意。（2016/03/04更新）
- 火、水、木ドロップと回復ドロップのみの3色限定ダンジョン
- 2014/03/02 氷見うどんが追加
- 2016/02/25 コインダンジョンに常設化

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):大仏降臨？ 祭|
||&mons832; %%%[[コズクラ>モンスター図鑑/0832]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''3480''};|&color(#b00){1};|19050|140||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ピチピチ跳ねている（何もしない）|
||&mons833; %%%[[フクラギ>モンスター図鑑/0833]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''5550''};|&color(#b00){2};|39450|260||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ピチピチ跳ねている（何もしない）&br;飛び跳ねる（6660）==HP70％以下で使用==|
||&mons836; %%%[[ホタルイカ>モンスター図鑑/0836]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''5910''};|&color(#b00){2};|28650|220||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):イカスミ（ドロップが見えなくなる）|
||&mons838; %%%[[シロエビ>モンスター図鑑/0838]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''4560''};|&color(#b00){1};|15150|220||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ピチピチ跳ねている（何もしない）&br;飛び跳ねる（5472）==HP70％以下で使用==|
||&mons1219; %%%[[氷見うどん>モンスター図鑑/1219]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''8730''};|&color(#b00){2};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):かっつく（13095）==HP75％以下で使用==&br;ちょこちょこ（フレンドを4ターンバインド、1度きり）==HP50％以下で使用==|
|5|&mons834; %%%[[ブリ>モンスター図鑑/0834]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''11070''};|&color(#b00){3};|677400|320||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):富山水流（13284ダメージ＆ランダム1色→水ドロップ）&br;体当たり（14391）==HP70％以下で使用==|
|~|&mons837; %%%[[富山湾の神秘・ホタルイカ>モンスター図鑑/0837]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''7470''};|&color(#b00){2};|527400|320||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):イカスミ（ドロップが見えなくなる）&br;発光（5976ダメージ＆ランダム1色排除）==HP70％以下で使用==|
|~|&mons839; %%%[[富山湾の宝石・シロエビ>モンスター図鑑/0839]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){5};|22|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):カラッと揚げる（連続攻撃113760）|
|9|&mons835; %%%[[富山湾の王者・ブリ>モンスター図鑑/0835]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''13050''};|&color(#b00){3};|1278750|500||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):富山水流（15660ダメージ＆ランダム1色→水ドロップ）&br;王者の体当たり（19575）==HP30％以下で使用==|
|10|&mons841; %%%[[阿弥貴＆カノン＆セシル>モンスター図鑑/0841]]%%%	||BGCOLOR(#bbf1a6):木光|&color(#b00){''13110''};|&color(#b00){2};|2254650|3100||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):富山の恵み（先制・プレイヤーのHP全回復）&br;花吹雪（15732ダメージ＆ランダム1色→木ドロップ）==HP70％以下で使用==&br;富山旋風（連続攻撃20976）==HP30％以下で使用==|
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):大仏降臨？ 超級|
||&mons832; %%%[[コズクラ>モンスター図鑑/0832]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''2359''};|&color(#b00){1};|12912|98||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ピチピチ跳ねている（何もしない）|
||&mons833; %%%[[フクラギ>モンスター図鑑/0833]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''3762''};|&color(#b00){2};|26738|182||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ピチピチ跳ねている（何もしない）&br;飛び跳ねる（4514）==HP70％以下で使用==|
||&mons836; %%%[[ホタルイカ>モンスター図鑑/0836]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''4006''};|&color(#b00){2};|19418|154||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):イカスミ（ドロップが見えなくなる）|
||&mons838; %%%[[シロエビ>モンスター図鑑/0838]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''3091''};|&color(#b00){1};|10268|154||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ピチピチ跳ねている（何もしない）&br;飛び跳ねる（3709）==HP70％以下で使用==|
||&mons1219; %%%[[氷見うどん>モンスター図鑑/1219]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''5917''};|&color(#b00){2};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):かっつく（8876）==HP75％以下で使用==&br;ちょこちょこ（フレンドを4ターンバインド、1度きり）==HP50％以下で使用==|
|5|&mons834; %%%[[ブリ>モンスター図鑑/0834]]%%%			||BGCOLOR(#a6f1f1):水|&color(#b00){''7503''};|&color(#b00){3};|459127|224||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):富山水流（9004ダメージ＆ランダム1色→水ドロップ）&br;体当たり（9754）==HP70％以下で使用==|
|~|&mons837; %%%[[富山湾の神秘・ホタルイカ>モンスター図鑑/0837]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''5063''};|&color(#b00){2};|357460|224||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):イカスミ（ドロップが見えなくなる）&br;発光（4050ダメージ＆ランダム1色排除）==HP70％以下で使用==|
|~|&mons839; %%%[[富山湾の宝石・シロエビ>モンスター図鑑/0839]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){5};|18|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):カラッと揚げる（連続攻撃77104）|
|9|&mons835; %%%[[富山湾の王者・ブリ>モンスター図鑑/0835]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''8845''};|&color(#b00){3};|866708|350||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):富山水流（10614ダメージ＆ランダム1色→水ドロップ）&br;王者の体当たり（13268）==HP30％以下で使用==|
|10|&mons841; %%%[[阿弥貴＆カノン＆セシル>モンスター図鑑/0841]]%%%	||BGCOLOR(#bbf1a6):木光|&color(#b00){''8886''};|&color(#b00){2};|1528152|2170||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):富山の恵み（先制・プレイヤーのHP全回復）&br;花吹雪（10663ダメージ＆ランダム1色→木ドロップ）==HP70％以下で使用==&br;富山旋風（連続攻撃14216）==HP30％以下で使用==|
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):大仏降臨？ 上級|
||&mons832; %%%[[コズクラ>モンスター図鑑/0832]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''864''};|&color(#b00){1};|4727|42||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ピチピチ跳ねている（何もしない）|
||&mons833; %%%[[フクラギ>モンスター図鑑/0833]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''1377''};|&color(#b00){2};|9789|78||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ピチピチ跳ねている（何もしない）|
||&mons836; %%%[[ホタルイカ>モンスター図鑑/0836]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''1467''};|&color(#b00){2};|7109|66||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ピチピチ跳ねている（何もしない）|
||&mons838; %%%[[シロエビ>モンスター図鑑/0838]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''1132''};|&color(#b00){1};|3759|66||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons1219; %%%[[氷見うどん>モンスター図鑑/1219]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''2166''};|&color(#b00){2};|||※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
|5,9|&mons834; %%%[[ブリ>モンスター図鑑/0834]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''2747''};|&color(#b00){3};|168096|96||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
