* 黒の丼龍【木光闇限定】 [#x9b733e2]

#ginclude(Parts/関連,notitle,or,spd11)

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|釜飯龍 超地獄級（テクニカル）	|50|7|65000|17000|&color(#080){''340''};|
|釜飯龍 地獄級（テクニカル）	|45|7|45000|13000|&color(#080){''288''};|
|釜飯龍 超級（テクニカル）	|40|7|38000|10500|&color(#080){''262''};|
|釜飯龍 上級（テクニカル）	|25|7|4700|1300|&color(#080){''52''};|
|釜飯龍 中級（テクニカル）	|15|7|2700|700|&color(#080){''46''};|

- 火と水ドロップが出現しない（変換などで出現させることは可能）
- [[ぐんまコラボ>スペシャルダンジョン/ぐんまコラボ]]や[[高岡市コラボ>スペシャルダンジョン/高岡市コラボ]]の一部キャラクターも登場
- [[ヤタガラス>モンスター図鑑/1474]]がゲリラ出現（特定の日のみ幻獣の代わりに出現）

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):釜飯龍 超地獄級|
||&mons578; %%%[[クロムギドラ>モンスター図鑑/0578]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''9837''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):バインドアタック|
||&mons432; %%%[[超・下仁田ネギ>モンスター図鑑/0432]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''6188''};|&color(#b00){1};|250693|364||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):愛・殿様ネギの魅力（4体2～4ターンバインド）==HP50％以下で使用==|
||&mons434; %%%[[超・下仁田こんにゃく>モンスター図鑑/0434]]%%%	||BGCOLOR(#a6f1f1):水|&color(#b00){''15073''};|&color(#b00){3};|329828|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):激・からしみそ（30146）==HP30％以下で使用==|
||&mons839; %%%[[富山湾の宝石・シロエビ>モンスター図鑑/0839]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){5};|26|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):カラッと揚げる（計150416の連続攻撃）|
||&mons837; %%%[[富山湾の神秘・ホタルイカ>モンスター図鑑/0837]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''9877''};|&color(#b00){2};||||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):イカスミ（ドロップが見えなくなる）&br;発光（7902ダメージ＆ランダム1色→お邪魔ドロップ）==HP70％以下で使用==|
||&mons1219; %%%[[氷見うどん>モンスター図鑑/1219]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''11543''};|&color(#b00){2};|1302852|364||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):かっつく（17315）==HP75％以下で使用==&br;ちょこちょこ（フレンドを4ターンバインド）==HP50％以下で使用、1度きり==|
||&mons1770; %%%[[マグカフィ>モンスター図鑑/1770]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){2};|25|1000000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):マグマグパープル（7080ダメージ＆ランダム1色→闇ドロップ）&br;やすらぎティータイム（3体2～3ターンバインド）==HP30％以下で使用、1度きり==|
||&mons1780; %%%[[紫の丼魔・スキドン>モンスター図鑑/1780]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){1};|3067423|0|※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ヤミートスマッシュ（14240ダメージ＆闇→お邪魔ドロップ）&br;テイスティンガー！（28480）==HP50％以下で使用==&br;もぐもぐタイム（HP50％回復）==HP50％以下で使用==|
