*伝説龍の足跡 [#s58610b4]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|奈落の底		|30|10|24480|13600|&color(#080){''453''};|
|弾幕の雨		|30|10|24480|13600|&color(#080){''453''};|
|難攻不落		|30|10|24480|13600|&color(#080){''453''};|
|絶対零度		|30|10|24480|13600|&color(#080){''453''};|
|灼熱地獄		|30|10|24480|13600|&color(#080){''453''};|

- 「[[天上の海原>ダンジョン/天上の海原]]」のクリアで出現
- スペシャルダンジョン「[[伝説の炎龍>スペシャルダンジョン/伝説の炎龍]]」「[[伝説の氷龍>スペシャルダンジョン/伝説の氷龍]]」「[[伝説の島龍>スペシャルダンジョン/伝説の島龍]]」「[[伝説の機龍>スペシャルダンジョン/伝説の機龍]]」「[[伝説の邪龍>スペシャルダンジョン/伝説の邪龍]]」の超級と同じ構成。消費スタミナが異なる。（50→30）
- 2015/06/02 妖精シリーズが追加

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):灼熱地獄|
||[[パイロデビル>モンスター図鑑/0191]]		|BGCOLOR(#f1bba6):火|&color(#b00){''3480''};|&color(#b00){1};|19050|1400||
||[[フレイムナイト>モンスター図鑑/0069]]	|BGCOLOR(#f1bba6):火|&color(#b00){''4920''};|&color(#b00){2};|23850|270||
||[[炎の魔剣士>モンスター図鑑/0098]]		|BGCOLOR(#f1bba6):火|&color(#b00){''6480''};|&color(#b00){3};|76350|900||
||[[火の精・パロット>モンスター図鑑/1179]]	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){1};||0|※稀に出現、確定ドロップ|
|5|[[爆炎龍ティラノス>モンスター図鑑/0004]]   	|BGCOLOR(#f1bba6):火|&color(#b00){''8790''};|&color(#b00){3};|272250|450||
|9|[[エキドナ>モンスター図鑑/0089]]x2		|BGCOLOR(#f1bba6):火|&color(#b00){''5040''};|&color(#b00){2};|144300|240||
|10|[[炎龍・ムスプルヘイム>モンスター図鑑/0142]]|BGCOLOR(#f1bba6):火|&color(#b00){''13320''};|&color(#b00){3};|454650|930||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):絶対零度|
||[[フロストデビル>モンスター図鑑/0193]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''3510''};|&color(#b00){1};|19200|1400||
||[[アクアナイト>モンスター図鑑/0071]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''5010''};|&color(#b00){2};|24600|270||
||[[氷の魔剣士>モンスター図鑑/0100]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''6540''};|&color(#b00){3};|76350|900||
||[[水の精・シャルル>モンスター図鑑/1181]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){1};||0|※稀に出現、確定ドロップ|
|5|[[氷塊龍プレシオス>モンスター図鑑/0008]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''9690''};|&color(#b00){4};|287250|450||
|9|[[セイレーン>モンスター図鑑/0091]]x2		|BGCOLOR(#a6f1f1):水|&color(#b00){''5280''};|&color(#b00){2};|151800|240||
|10|[[氷龍・ニブルヘイム>モンスター図鑑/0143]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''68910''};|&color(#b00){8};|484650|310||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):難攻不落|
||[[タウロスデビル>モンスター図鑑/0195]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''3570''};|&color(#b00){1};|19350|1400||
||[[アースナイト>モンスター図鑑/0073]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''5130''};|&color(#b00){2};|25350|270||
||[[岩の魔剣士>モンスター図鑑/0102]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''6630''};|&color(#b00){3};|76350|900||
