*天空龍の領域【回復なし】 [#s58610b4]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|宵闇の空		|30|10|24000|14009|&color(#080){''466''};|
|暁光の空		|30|10|24000|14009|&color(#080){''466''};|
|深緑の空		|30|10|24000|14009|&color(#080){''466''};|
|蒼海の空		|30|10|24000|14009|&color(#080){''466''};|
|緋天の空		|30|10|24000|14009|&color(#080){''466''};|

- 「[[伝説龍の足跡>ダンジョン/伝説龍の足跡]]」のクリアで出現
- スペシャルダンジョン「[[炎の天空龍>スペシャルダンジョン/炎の天空龍（回復なし）]]」「[[水の天空龍>スペシャルダンジョン/水の天空龍（回復なし）]]」「[[樹の天空龍>スペシャルダンジョン/樹の天空龍（回復なし）]]」「[[光の天空龍>スペシャルダンジョン/光の天空龍（回復なし）]]」「[[闇の天空龍>スペシャルダンジョン/闇の天空龍（回復なし）]]」の超級と同じ構成。消費スタミナが異なる。（50→30）
- 2015/06/02 幻獣シリーズが追加

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):緋天の空|
||[[パイロデビル>モンスター図鑑/0191]]		|BGCOLOR(#f1bba6):火|&color(#b00){''2359''};|&color(#b00){1};|12913|980||
||[[フレイムナイト>モンスター図鑑/0069]]	|BGCOLOR(#f1bba6):火|&color(#b00){''3335''};|&color(#b00){2};|16163|189||
||[[炎の魔剣士>モンスター図鑑/0098]]		|BGCOLOR(#f1bba6):火|&color(#b00){''4392''};|&color(#b00){3};||630||
||[[転生の霊鳥・フェニックス>モンスター図鑑/0399]]	|BGCOLOR(#f1bba6):火|&color(#b00){''8638''};|&color(#b00){1};|||稀に出現、確定ドロップ|
|5|[[爆炎龍ティラノス>モンスター図鑑/0004]]	|BGCOLOR(#f1bba6):火|&color(#b00){''5958''};|&color(#b00){3};|184527|315||
|9|[[エキドナ>モンスター図鑑/0089]]x2		|BGCOLOR(#f1bba6):火|&color(#b00){''3416''};|&color(#b00){2};|97803|168||
|10|[[緋天龍・エルドラド>モンスター図鑑/0216]]	|BGCOLOR(#f1bba6):火|&color(#b00){''4320''};|&color(#b00){1};|756900|0||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):蒼海の空|
||[[フロストデビル>モンスター図鑑/0193]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''2756''};|&color(#b00){1};||||
||[[アクアナイト>モンスター図鑑/0071]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''3934''};|&color(#b00){2};||||
||[[氷の魔剣士>モンスター図鑑/0100]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''5135''};|&color(#b00){3};||||
||[[大洋の悪魔・クラーケン>モンスター図鑑/0401]] |BGCOLOR(#a6f1f1):水|&color(#b00){''21758''};|&color(#b00){4};|||稀に出現、確定ドロップ|
|5|[[氷塊龍プレシオス>モンスター図鑑/0008]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''7608''};|&color(#b00){4};||||
|9|[[セイレーン>モンスター図鑑/0091]]x2		|BGCOLOR(#a6f1f1):水|&color(#b00){''4146''};|&color(#b00){2};||||
|10|[[蒼天龍・ニライカナイ>モンスター図鑑/0217]]|BGCOLOR(#a6f1f1):水|&color(#b00){''8820''};|&color(#b00){2};|906900|920||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):深緑の空|
||[[タウロスデビル>モンスター図鑑/0195]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''2803''};|&color(#b00){1};||||
||[[アースナイト>モンスター図鑑/0073]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''4028''};|&color(#b00){2};||||
||[[岩の魔剣士>モンスター図鑑/0102]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''5206''};|&color(#b00){3};||||
||[[疾風の狩人・グリフォン>モンスター図鑑/0403]]|BGCOLOR(#bbf1a6):木|&color(#b00){''15962''};|&color(#b00){2};|||稀に出現、確定ドロップ|
