* &font2(60%){きょじんのとう};巨人の塔 [#j22b8016]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|巨人の怒り	|7|7|3100|1500|&color(#080){''214''};|
|巨大なる近衛兵	|5|5|2300|1100|&color(#080){''220''};|
|塔の番龍		|5|5|2800|1400|&color(#080){''280''};|
|巨人の門		|5|5|1900|1000|&color(#080){''200''};|
|塔へと続く道	|5|5|1100|550|&color(#080){''110''};|

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):共通|
||[[パープルカーバンクル>モンスター図鑑/0054]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''462''};|&color(#b00){2};|1113|18||
// ||[[アワりん>モンスター図鑑/0038]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''205''};|&color(#b00){3};||||
// ||[[モリりん>モンスター図鑑/0040]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''240''};|&color(#b00){3};||||
// ||[[フレイムファイター>モンスター図鑑/0068]]	|BGCOLOR(#f1bba6):火|&color(#b00){''650''};|&color(#b00){3};||||
// ||[[アクアファイター>モンスター図鑑/0070]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''702''};|&color(#b00){3};||||
// ||[[アースファイター>モンスター図鑑/0072]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''753''};|&color(#b00){3};||||
||[[ホワイトファイター>モンスター図鑑/0074]]	|BGCOLOR(#f1f1a6):光|&color(#b00){''650''};|&color(#b00){3};|2820|60||
// ||[[ブラックファイター>モンスター図鑑/0076]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''772''};|&color(#b00){3};||||
// ||[[ゴブリン>モンスター図鑑/0060]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''599''};|&color(#b00){4};||||
||[[ブルーゴブリン>モンスター図鑑/0058]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''513''};|&color(#b00){4};|1280|18||
||[[レッドオーガ>モンスター図鑑/0062]]		|BGCOLOR(#f1bba6):火|&color(#b00){''1181''};|&color(#b00){5};|5646|0||
// ||[[ブルーオーガ>モンスター図鑑/0064]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''1232''};|&color(#b00){5};||0||
// ||[[オーガ>モンスター図鑑/0066]]			|BGCOLOR(#bbf1a6):木|&color(#b00){''1318''};|&color(#b00){5};||0||
||[[ドラゴンプラント>モンスター図鑑/0153]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''419''};|&color(#b00){3};|2020|4||
||[[ドラゴンフラワー>モンスター図鑑/0154]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''1508''};|&color(#b00){4};|5025|5||
||[[メタルドラゴン>モンスター図鑑/0176]]		|BGCOLOR(#bba6f1):闇|&color(#b00){''81''};|&color(#b00){1};|5|4000||
||[[ゴールドドラゴン>モンスター図鑑/0179]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''81''};|&color(#b00){1};|5|4000||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):塔へと続く道|
|5|[[デカホノりん>モンスター図鑑/0037]]		|BGCOLOR(#f1bba6):火|&color(#b00){''394''};|&color(#b00){3};|5986|30||
|~|[[デカアワりん>モンスター図鑑/0039]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''411''};|&color(#b00){3};|7700|30||
|~|[[デカモリりん>モンスター図鑑/0041]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''445''};|&color(#b00){3};|9413|30||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):巨人の門|
|5|[[フレイムゴーレム>モンスター図鑑/0078]]	|BGCOLOR(#f1bba6):火|&color(#b00){''708''};|&color(#b00){4};|9327|108||
|~|[[アイスゴーレム>モンスター図鑑/0080]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''753''};|&color(#b00){4};|10180|108||
|~|[[アースゴーレム>モンスター図鑑/0082]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''873''};|&color(#b00){4};|11040|108||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):塔の番龍|
|5|[[プテラドス>モンスター図鑑/0015]]  		|BGCOLOR(#f1f1a6):光|&color(#b00){''650''};|&color(#b00){2};|11550|60||
|~|[[ティラノス>モンスター図鑑/0003]]		|BGCOLOR(#f1bba6):火|&color(#b00){''650''};|&color(#b00){3};|11550|60||
|~|[[ブラキオス>モンスター図鑑/0011]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''907''};|&color(#b00){5};|17966|60||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):巨大なる近衛兵|
|5|[[タイタン>モンスター図鑑/0106]]x2		|BGCOLOR(#f1bba6):火|&color(#b00){''1677''};|&color(#b00){5};|26523|120||
|>|>|>|>|>|>|>|BGCOLOR(#b6c3d7):巨人の怒り|
|7|[[ギガンテス>モンスター図鑑/0107]]		|BGCOLOR(#f1bba6):火|&color(#b00){''2926''};|&color(#b00){5};|43976|420||

- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

* コメント [#z2368c11]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
