* &font2(60%){さんがいのしんでん};三界の神殿 [#l697db14]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|三界の龍		|16|10|21000|5400|&color(#080){''337''};|
|三界の扉		|13|7|17000|3700|&color(#080){''284''};|
|三獣乱舞		|13|7|15000|3400|&color(#080){''261''};|
|乙女達のワルツ	|13|7|17000|3100|&color(#080){''238''};|
|赤く青い緑の宝珠	|13|7|17000|3300|&color(#080){''258''};|

-どのエリアもボスがランダムなので半減などの耐久パーティーが組みにくい。
-神秘の仮面の毎ターン4000ダメージに注意。

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):共通|
||[[ルビーカーバンクル>モンスター図鑑/0047]]	|BGCOLOR(#f1bba6):火|&color(#b00){''2379''};|&color(#b00){2};|7302|112||
||[[サファイアカーバンクル>モンスター図鑑/0049]]|BGCOLOR(#a6f1f1):水|&color(#b00){''2450''};|&color(#b00){2};|7420|112||
||[[エメラルドカーバンクル>モンスター図鑑/0051]]|BGCOLOR(#bbf1a6):木|&color(#b00){''2520''};|&color(#b00){2};|7538|112||
||[[フレイムキメラ>モンスター図鑑/0262]]	|BGCOLOR(#f1bba6):火|&color(#b00){''2720''};|&color(#b00){2};|12267|200|連続攻撃（3808）|
||[[バブルキメラ>モンスター図鑑/0264]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''2645''};|&color(#b00){2};|11733|200|連続攻撃（3703）|
||[[リーフキメラ>モンスター図鑑/0266]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''2560''};|&color(#b00){2};|11200|200|連続攻撃（3584）|
||[[ホノペンドラ>モンスター図鑑/0303]]		|BGCOLOR(#f1bba6):火|&color(#b00){''2336''};|&color(#b00){2};|16320|48|ようすを見ている|
||[[ペンペンドラ>モンスター図鑑/0305]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''2176''};|&color(#b00){2};|15787|48|ようすを見ている|
||[[ジュペンドラ>モンスター図鑑/0307]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''2016''};|&color(#b00){2};|15253|48|ようすを見ている|
||[[神秘の仮面>モンスター図鑑/0234]]		|BGCOLOR(#f1f1a6):光|&color(#b00){''4000''};|&color(#b00){1};|15|100000|※稀に出現|
||[[ハイルビードラゴン>モンスター図鑑/0253]]	|BGCOLOR(#f1bba6):火|&color(#b00){''233''};|&color(#b00){1};|15|15000||
||[[ハイサファイアドラゴン>モンスター図鑑/0256]]|BGCOLOR(#a6f1f1):水|&color(#b00){''233''};|&color(#b00){1};|15|15000||
||[[ハイエメラルドドラゴン>モンスター図鑑/0259]]|BGCOLOR(#bbf1a6):木|&color(#b00){''233''};|&color(#b00){1};|15|15000||
||>|>|>|>|>|>|BGCOLOR(#ffffff):三界の扉でのみ出現|
||[[パイロデーモン>モンスター図鑑/0192]]	|BGCOLOR(#f1bba6):火|&color(#b00){''2528''};|&color(#b00){1};|21597|1100|ウォーターバインド|
||[[アーマーオーガ>モンスター図鑑/0067]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''6458''};|&color(#b00){3};|29167|0|気合溜め（次回12916）|
||>|>|>|>|>|>|BGCOLOR(#ffffff):三界の龍でのみ出現|
||[[タウロスデーモン>モンスター図鑑/0196]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''2625''};|&color(#b00){1};|22986|1100|ファイアバインド|
||[[アイスオーガ>モンスター図鑑/0065]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''6361''};|&color(#b00){3};|28819|0|気合溜め（次回12722）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):赤く青い緑の宝珠|
|6|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|[[マーズライトカーバンクル>モンスター図鑑/0206]]	|BGCOLOR(#f1bba6):火|&color(#b00){''4992''};|&color(#b00){2};|||キュアー|
|~|[[マーキュライトカーバンクル>モンスター図鑑/0207]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''5152''};|&color(#b00){2};|171307|480|キュアー|
|~|[[アースライトカーバンクル>モンスター図鑑/0208]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''5312''};|&color(#b00){2};|181973|480|キュアー|
|7|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|[[マーズライトカーバンクル>モンスター図鑑/0206]]	|BGCOLOR(#f1bba6):火|&color(#b00){''3484''};|&color(#b00){2};|||キュアー|
|~|[[マーキュライトカーバンクル>モンスター図鑑/0207]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''3596''};|&color(#b00){2};|119558|360|キュアー|
|~|[[アースライトカーバンクル>モンスター図鑑/0208]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''3707''};|&color(#b00){2};|127002|360|キュアー|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):乙女達のワルツ|
|6|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|[[紅蓮の女帝・エキドナ>モンスター図鑑/0201]]		|BGCOLOR(#f1bba6):火|&color(#b00){''2434''};|&color(#b00){1};|149559|270|不敵な笑みを浮かべている&br;ドロップ排除・水&br;リザレクション|
|~|[[大海の歌姫・セイレーン>モンスター図鑑/0202]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''2546''};|&color(#b00){1};|153281|270|鼻歌を口ずさんでいる&br;ドロップ排除・木&br;リザレクション|
|~|[[大樹の精霊・アルラウネ>モンスター図鑑/0203]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''2658''};|&color(#b00){1};|||やさしく微笑んでいる&br;ドロップ排除・火&br;リザレクション|
|7|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|[[紅蓮の女帝・エキドナ>モンスター図鑑/0201]]		|BGCOLOR(#f1bba6):火|&color(#b00){''3488''};|&color(#b00){1};|||不敵な笑みを浮かべている&br;ドロップ排除・水&br;リザレクション|
