* &font2(60%){ふういんのとう};封印の塔（リーダースキル無効） [#o10a30ac]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|封印の主		|15|10|19000|3400|&color(#080){''226''};|
|陰陽の扉		|12|7|16000|2100|&color(#080){''175''};|
|火炎の扉		|12|7|16000|2600|&color(#080){''216''};|
|水氷の扉		|12|7|12000|2400|&color(#080){''200''};|
|樹木の扉		|12|7|8900|2600|&color(#080){''216''};|

- ''リーダースキル無効''

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):樹木の扉|
||[[タウロスデビル>モンスター図鑑/0195]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''886''};|&color(#b00){1};|4802|440|怒り（3ターン攻撃力1.3倍）|
||[[タウロスデーモン>モンスター図鑑/0196]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''1407''};|&color(#b00){1};|12321|660|ファイアバインド|
||[[リーフキメラ>モンスター図鑑/0266]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''1787''};|&color(#b00){2};|7817|150|連続攻撃（2502）|
||[[アースナイト>モンスター図鑑/0073]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''1273''};|&color(#b00){2};|6291|81||
||[[ジュペンドラ>モンスター図鑑/0307]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''1407''};|&color(#b00){2};|10646||ようすを見ている|
||[[アーマーオーガ>モンスター図鑑/0067]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''3462''};|&color(#b00){3};|15633|0|気合溜め（6924）|
||[[ダブエメリット>モンスター図鑑/0248]]		|BGCOLOR(#bbf1a6):木|&color(#b00){''6666''};|&color(#b00){3};|10|100000||
||[[キングメタルドラゴン>モンスター図鑑/0178]]	|BGCOLOR(#bba6f1):闇|&color(#b00){''384''};|&color(#b00){1};|25|60000||
|6|[[神化の碧面>モンスター図鑑/0173]]x3		|BGCOLOR(#bbf1a6):木|&color(#b00){''9999''};|&color(#b00){6};|18|60000|ファイアバインド|
|7|[[自由と風の精霊・シルフ>モンスター図鑑/0357]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''1592''};|&color(#b00){1};|188333|294|連続攻撃（2228）&br;ウィンドカッター（連続攻撃1908、2862、3186）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):水氷の扉|
||[[フロストデビル>モンスター図鑑/0193]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''871''};|&color(#b00){1};|4764|440|怒り（3ターン攻撃力1.3倍）|
||[[フロストデーモン>モンスター図鑑/0194]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''1362''};|&color(#b00){1};|11948|660|リーフバインド|
||[[バブルキメラ>モンスター図鑑/0264]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''1846''};|&color(#b00){2};|8189|150|連続攻撃（2584）|
||[[アクアナイト>モンスター図鑑/0071]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''1243''};|&color(#b00){2};|6104|81||
