* 戦国龍の領土【全属性必須】 [#gebd630e]

|~名称	|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|天魔龍	|50|7|44000|24000|&color(#080){''480''};|
|太閤龍	|50|7|44000|25000|&color(#080){''500''};|
|独眼竜	|50|7|31000|20000|&color(#080){''400''};|
|毘沙門龍	|50|7|30000|20000|&color(#080){''400''};|
|風林火山龍	|50|7|38000|18000|&color(#080){''360''};|

- 「[[歴龍の大魔境>テクニカルダンジョン/歴龍の大魔境]]」のクリアで出現
- スペシャルダンジョン「[[火の戦国龍>スペシャルダンジョン/火の戦国龍]]」「[[水の戦国龍>スペシャルダンジョン/水の戦国龍]]」「[[風の戦国龍>スペシャルダンジョン/風の戦国龍]]」「[[光の戦国龍>スペシャルダンジョン/光の戦国龍]]」「[[闇の戦国龍>スペシャルダンジョン/闇の戦国龍]]」の地獄級と同じ構成。
- 道中でチェイサーシリーズが稀に出現

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):天魔龍|
||&mons553; %%%[[闇の下忍>モンスター図鑑/0553]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''4392''};|&color(#b00){1};|8642|2667||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):煙幕（ドロップが見えなくなる）|
||&mons549; %%%[[木の下忍>モンスター図鑑/0549]]%%%	||BGCOLOR(#bbf1a6):木|&color(#b00){''4311''};|&color(#b00){1};|8235|2667||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):影縫いの術（1体5ターンバインド、1度きり）==HP25％以下で使用==|
||&mons551; %%%[[光の下忍>モンスター図鑑/0551]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''4434''};|&color(#b00){1};|8540|2667||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===電光石火（2217）|
||&mons554; %%%[[闇の中忍>モンスター図鑑/0554]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){6};|15|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):鮮血の鉤爪（連続攻撃55998）|
