* &font2(60%){きょくげんのとうぎじょう/そうきょくのめがみ1};極限の闘技場/双極の女神1 [#f904ad91]

#ginclude(Parts/関連,notitle,or,kyokugen)

|~名称	|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|双極の女神1	|99|21|140000|120000|&color(#080){''&calc(120000/99,1);''};|

- [[極限の闘技場>テクニカルダンジョン/極限の闘技場]]
- 「[[聖獣達の楽園>テクニカルダンジョン/聖獣達の楽園]]」のクリアで出現
- 最奥では「ピィ」5種のうちいずれかが登場し、クリアすると必ずドロップする。

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):双極の女神1|
|1|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現|
|~|&mons1526; %%%[[火の上忍>モンスター図鑑/1526]]%%%	|バランス/悪魔|BGCOLOR(#f1bba6):火|&color(#b00){''6827''};|&color(#b00){1};|1297536|960||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):忍犬の術（5462ダメージ＆ランダム1色→お邪魔ドロップ）&br;忍犬大乱踏（計6825～10920の連続攻撃）==HP50％以下で使用==|
|~|&mons1527; %%%[[水の上忍>モンスター図鑑/1527]]%%%	|回復/悪魔|BGCOLOR(#a6f1f1):水|&color(#b00){''8111''};|&color(#b00){1};|869758|960||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===忍法・霧隠れ（5ターン闇属性吸収）&br;お色気の術（4056ダメージ＆サブ3体1～2ターンバインド）==HP75％以下で使用==|
|~|&mons1528; %%%[[木の上忍>モンスター図鑑/1528]]%%%	|バランス/悪魔|BGCOLOR(#bbf1a6):木|&color(#b00){''7170''};|&color(#b00){1};|441980|48000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===木遁・木枯し（3585ダメージ＆ドロップが見えなくなる）&br;猿飛流抜刀術（計8604の連続攻撃）==HP50％以下で使用==|
|~|&mons1529; %%%[[光の上忍>モンスター図鑑/1529]]%%%	|体力/悪魔|BGCOLOR(#f1f1a6):光|&color(#b00){''13244''};|&color(#b00){4};|1725313|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):鬼人化の秘術（次回攻撃力6倍）==初回は先制、必ず使用後に通常攻撃==|
