* &font2(60%){きょくげんのとうぎじょう/そうきょくのめがみ3};極限の闘技場/双極の女神3 [#f904ad91]

#ginclude(Parts/関連,notitle,or,kyokugen)

|~名称	|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|双極の女神3	|198|24|324000|204000|&color(#080){''&calc(204000/198,1);''};|

- [[極限の闘技場>テクニカルダンジョン/極限の闘技場]]
- 「[[双極の女神2>テクニカルダンジョン/極限の闘技場/双極の女神2]]」のクリアで出現
- 最奥では「ピィ」5種のうちいずれかが登場し、クリアすると必ずドロップする。

- 2016/04/28 双極の女神3が登場。[[公式:http://pad.gungho.jp/member/tech_dungeon/160426.html]]
-- 極限の闘技場（双極の女神2）との違い：全体的に敵の攻撃力・HPアップ（一部は弱体化）
-- （階層追加）3Fにタン系が追加
-- （階層追加）22Fに「鍛煉神・ヘパイストス＝ドラゴン」等のレーダー限定のドラゴン追加
--- 壊滅級よりは攻撃力・HPが低い、確定ドロップではない

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):双極の女神3|
|1|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか2体が出現(ただし同じキャラの重複出現あり)|
|~|&mons2305; %%%[[赤目の幽鬼・レッドキャップ>モンスター図鑑/2305]]%%%	|攻撃|BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|856303|330||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ゲヒャハー！（全員のスキル1～4ターン遅延）&br;狂気の斧（残りHP80％ダメージ）==1度きり==&br;ファイヤスイング（15698ダメージ＆縦2列目→火ドロップ）|
|~|&mons2307; %%%[[水皿の神使・河童>モンスター図鑑/2307]]%%%	|体力|BGCOLOR(#a6f1f1):水|&color(#b00){''10065''};|&color(#b00){1};|916103|330||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===どいたどいたぁ！（5067ダメージ＆ドロップ10個→お邪魔ドロップ）&br;幽水の皿（99ターン水ドロップの出現率15％増加）==初回に使用、1度きり==&br;シャケナソード（15200ダメージ＆縦4列目→水ドロップ）|
|~|&mons2309; %%%[[豹紋の妖異・風狸>モンスター図鑑/2309]]%%%		|回復|BGCOLOR(#bbf1a6):木|&color(#b00){''9169''};|&color(#b00){1};|769925|330||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===風に乗るでありんす（5ターン4コンボ以下の攻撃吸収）&br;不思議な小枝（計14670の連続攻撃）&br;命乞い（1ターン被ダメージ50％減）==HP50％以下で使用、1度きり==|
|~|&mons2311; %%%[[煌角の番獣・ズラトロク>モンスター図鑑/2311]]%%%	|バランス|BGCOLOR(#f1f1a6):光|&color(#b00){''13222''};|&color(#b00){2};|1165269|330||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ここは通さん（1体2～3ターンバインド）&br;伝説の金角（10578ダメージ＆横2,4行目→光ドロップ）&br;ファーストエーデルワイス（13222ダメージ＆・1体1ターンバインド）|
|~|&mons2313; %%%[[魔爪の怪猫・キャスパリーグ>モンスター図鑑/2313]]%%%	|悪魔|BGCOLOR(#bba6f1):闇|&color(#b00){''9435''};|&color(#b00){1};|751653|330||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ニャンでも壊す！（9435）&br;生得の災禍（6605ダメージ＆ドロップが見えなくなる）1度きり&br;ダークサイドクロー（14153ダメージ＆横2行目→闇ドロップ）|
|2|>|>|>|>|>|>|>|BGCOLOR(#ffffff):いずれか1体が出現|
|~|&mons1307; %%%[[覚醒ワダツミ>モンスター図鑑/1307]]%%%	|神/バランス|BGCOLOR(#a6f1f1):水闇|&color(#b00){''16694''};|&color(#b00){1};|4478112|658||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===大海の衣（999ターン4コンボ以下の攻撃吸収）&br;海刃（16694ダメージ＆木ドロップ→水ドロップ）&br;神水の災恵（25041ダメージ＆水ドロップ→回復ドロップ）&br;父なる海神の呪詛（ランダム3色→お邪魔ドロップ）==HP75％以下で使用==&br;海神の一撃（66776）==HP25％以下で使用==|
|~|&mons1945; %%%[[竹取の翠月花・かぐや姫>モンスター図鑑/1945]]%%%	|回復/神|BGCOLOR(#bbf1a6):木光|&color(#b00){''-''};|&color(#b00){1};|4427278|658||
