*機械龍の巨大基地 [#f356328e]

|~名称	|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|破滅の影	|50|10|33000|19000|&color(#080){''380''};|
|皇の閃爪	|50|10|33000|19000|&color(#080){''380''};|
|唸る旋風	|50|10|33000|19000|&color(#080){''380''};|
|氷砕の蹄	|50|10|33000|19000|&color(#080){''380''};|
|断罪の焔	|50|10|33000|19000|&color(#080){''380''};|

- 「[[イーリスの虹の丘>テクニカルダンジョン/イーリスの虹の丘]]」のクリアで出現
- スペシャルダンジョン「[[焔の機械龍>スペシャルダンジョン/焔の機械龍]]」「[[氷の機械龍>スペシャルダンジョン/氷の機械龍]]」「[[風の機械龍>スペシャルダンジョン/風の機械龍]]」「[[皇たる機械龍>スペシャルダンジョン/皇たる機械龍]]」「[[滅びの機械龍>スペシャルダンジョン/滅びの機械龍]]」の地獄級と同じ構成。
-- 2015/06/02 チェイサーシリーズが追加

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):断罪の焔|
||&mons192; %%%[[パイロデーモン>モンスター図鑑/0192]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''5460''};|&color(#b00){1};|46650|2200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ウォーターバインド|
||&mons262; %%%[[フレイムキメラ>モンスター図鑑/0262]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''7650''};|&color(#b00){2};|34500|500||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（10710）|
||&mons063; %%%[[サムライオーガ>モンスター図鑑/0063]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''13500''};|&color(#b00){3};|61500|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):気合溜め（次回攻撃力2倍）|
||&mons098; %%%[[炎の魔剣士>モンスター図鑑/0098]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''6480''};|&color(#b00){3};|76350|900||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons897; %%%[[フレイムチェイサー>モンスター図鑑/0897]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''-''};|&color(#b00){1};|647400|4800|※稀に出現、確定ドロップ|
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フレイムブレード（5460）&br;レッドヒート（4368ダメージ＆ランダム1色→火ドロップ）&br;チェイスモード（5ターン攻撃力2倍）==HP50％以下で使用==&br;オーバーヒート（8736＆ランダム1色→火ドロップ）==HP25％以下で使用==|
|5|&mons263; %%%[[マグマキマイラ>モンスター図鑑/0263]]%%%		||BGCOLOR(#f1bba6):火|&color(#b00){''14580''};|&color(#b00){2};|842100|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダブルバインド&br;連続攻撃（20412）|
|9|&mons206; %%%[[マーズライトカーバンクル>モンスター図鑑/0206]]%%%x2	||BGCOLOR(#f1bba6):火|&color(#b00){''11024''};|&color(#b00){2};|354747|960||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):キュアー（HP中回復）|
|10|&mons283; %%%[[砲炎機龍・ベテルギウス>モンスター図鑑/0283]]%%%	||BGCOLOR(#f1bba6):火|&color(#b00){''15570''};|&color(#b00){2};|1133400|1120||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):エネルギーチャージ（次回攻撃力3倍）&br;オートリペア（HP中回復）==HP60％以下で使用==&br;メギドキャノン（連続攻撃43596）==HP30％以下で使用==|
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):氷砕の蹄|
||&mons194; %%%[[フロストデーモン>モンスター図鑑/0194]]%%%		||BGCOLOR(#a6f1f1):水|&color(#b00){''5492''};|&color(#b00){1};|48150|2200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):リーフバインド|
