* &font2(60%){すいかのほこら};水火の祠 [#t1d34448]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|祠の鮫龍		|15|10|15000|4100|&color(#080){''273''};|
|2頭の火玩龍	|12|7|11000|2500|&color(#080){''208''};|
|氷炎の双獣	|12|7|8500|2700|&color(#080){''225''};|
|謳う人魚		|12|7|12800|2900|&color(#080){''241''};|
|水と火の双玉	|12|7|10000|3200|&color(#080){''266''};|

|~面|~モンスター	|~属|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):共通|
||[[フロストデーモン>モンスター図鑑/0194]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''1952''};|&color(#b00){1};|17120|880|リーフバインド|
||[[ルビーカーバンクル>モンスター図鑑/0047]]	|BGCOLOR(#f1bba6):火|&color(#b00){''2054''};|&color(#b00){2};|6303|98||
||[[サファイアカーバンクル>モンスター図鑑/0049]]|BGCOLOR(#a6f1f1):水|&color(#b00){''2115''};|&color(#b00){2};|6405|98||
||[[フレイムキメラ>モンスター図鑑/0262]]	|BGCOLOR(#f1bba6):火|&color(#b00){''1898''};|&color(#b00){2};|8561|150|連続攻撃（2658）|
||[[バブルキメラ>モンスター図鑑/0264]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''1846''};|&color(#b00){2};|8189|150|連続攻撃（2584）|
||[[ホノペンドラ>モンスター図鑑/0303]]		|BGCOLOR(#f1bba6):火|&color(#b00){''2336''};|&color(#b00){2};|16320|48|ようすを見ている|
||[[ペンペンドラ>モンスター図鑑/0305]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''2176''};|&color(#b00){2};|15787|48|ようすを見ている|
||[[サムライオーガ>モンスター図鑑/0063]]	|BGCOLOR(#f1bba6):火|&color(#b00){''4800''};|&color(#b00){3};|21867|0|気合溜め（次回9600）|
||[[アイスオーガ>モンスター図鑑/0065]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''4885''};|&color(#b00){3};|22133|0|気合溜め（次回9770）|
||[[ダブルビリット>モンスター図鑑/0246]]	|BGCOLOR(#f1bba6):火|&color(#b00){''6666''};|&color(#b00){3};|10|100000||
||[[ダブサファリット>モンスター図鑑/0247]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''6666''};|&color(#b00){3};|10|100000||
||[[ダブエメリット>モンスター図鑑/0248]]	|BGCOLOR(#bbf1a6):木|&color(#b00){''6666''};|&color(#b00){3};|10|100000||
||[[ハイサファイアドラゴン>モンスター図鑑/0256]]|BGCOLOR(#a6f1f1):水|&color(#b00){''233''};|&color(#b00){1};|15|15000||
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):水と火の双玉|
|7|[[マーキュライトカーバンクル>モンスター図鑑/0207]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''3596''};|&color(#b00){2};|119558|360|キュアー|
|~|[[マーズライトカーバンクル>モンスター図鑑/0206]]	|BGCOLOR(#f1bba6):火|&color(#b00){''3484''};|&color(#b00){2};|112113|360|キュアー|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):謳う人魚|
|7|[[大海の歌姫・セイレーン>モンスター図鑑/0202]]	|BGCOLOR(#a6f1f1):水|&color(#b00){''3648''};|&color(#b00){1};|219627||鼻歌を口ずさんでいる&br;ドロップ排除・木&br;リザレクション|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):氷炎の双獣|
|7|[[ディープキマイラ>モンスター図鑑/0265]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''3566''};|&color(#b00){2};|207104|420|ダブルバインド&br;連続攻撃（4922）|
|~|[[マグマキマイラ>モンスター図鑑/0263]]		|BGCOLOR(#f1bba6):火|&color(#b00){''3618''};|&color(#b00){2};|208966|420|ダブルバインド&br;連続攻撃（5066）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):2頭の火玩龍|
|6|[[ドラール>モンスター図鑑/0288]]x2		|BGCOLOR(#f1bba6):火|&color(#b00){''1377''};|&color(#b00){1};|74742|240|バインドアタック|
|~|[[シャードラン>モンスター図鑑/0292]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''1831''};|&color(#b00){1};|130799|0|連続攻撃（2564）|
|7|[[アグドラール>モンスター図鑑/0289]]x2	|BGCOLOR(#f1bba6):火|&color(#b00){''2948''};|&color(#b00){2};|112188|420|気合溜め（次回5896）|
|>|>|>|>|>|>|>|BGCOLOR(#afd3af):祠の鮫龍|
|9|[[紅蓮の女帝・エキドナ>モンスター図鑑/0201]]		|BGCOLOR(#f1bba6):火|&color(#b00){''2434''};|&color(#b00){1};|149559|270|不敵な笑みを浮かべている&br;ドロップ排除・水&br;リザレクション|
|10|[[メガロドラン>モンスター図鑑/0293]]		|BGCOLOR(#a6f1f1):水|&color(#b00){''2568''};|&color(#b00){1};|261300|0|リーフバインド&br;大連撃（4623）|


- 攻撃ターン数は表記より1ターン前後することがあります
- ドロップ報告はコメント欄を参照してください

//||	|BGCOLOR(#f1bba6):火|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#a6f1f1):水|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bbf1a6):木|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#f1f1a6):光|&color(#b00){''?''};|&color(#b00){?};||||
//||	|BGCOLOR(#bba6f1):闇|&color(#b00){''?''};|&color(#b00){?};||||

* コメント [#cac312a3]

#pcomment

RIGHT:&color(#dc143c){事前に[[コメントポリシー]]を参照してください。};
