* 神秘龍の史跡 [#hb476f1b]

|~名称	|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|暦の円盤	|50|7|25000|12000|&color(#080){''240''};|
|虚の水晶	|50|7|24000|12000|&color(#080){''240''};|
|謎の画廊	|50|7|20000|11500|&color(#080){''230''};|
|古の歯車	|50|7|22000|12000|&color(#080){''240''};|
|奇跡の石	|50|7|23000|12000|&color(#080){''240''};|

- 2015年10月7日配信
- 「[[龍騎姫の聖地>テクニカルダンジョン/龍騎姫の聖地]]」のクリアで出現
- スペシャルダンジョン「[[炎の神秘龍>スペシャルダンジョン/炎の神秘龍]]」「[[水の神秘龍>スペシャルダンジョン/水の神秘龍]]」「[[地の神秘龍>スペシャルダンジョン/地の神秘龍]]」「[[光の神秘龍>スペシャルダンジョン/光の神秘龍]]」「[[闇の神秘龍>スペシャルダンジョン/闇の神秘龍]]」の地獄級と同じ構成。
//- 道中でフェアリーシリーズが稀に出現

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):暦の円盤 地獄級|
||&mons199; %%%[[ブラッドデビル>モンスター図鑑/0199]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''3690''};|&color(#b00){1};|19800|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
||&mons200; %%%[[ブラッドデーモン>モンスター図鑑/0200]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''5580''};|&color(#b00){1};|52650|2200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):フラッシュバインド|
||&mons270; %%%[[ミストキメラ>モンスター図鑑/0270]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''8100''};|&color(#b00){2};|37500|500||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（11340）|
||&mons795; %%%[[ダークレディ>モンスター図鑑/0795]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''5460''};|&color(#b00){2};|31200|160||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダークワールド（ドロップが見えなくなる）&br;ビンタ（6825）|
|1,5|&mons587; %%%[[ワーウルフ>モンスター図鑑/0587]]%%%x2	||BGCOLOR(#bba6f1):闇|&color(#b00){''3510''};|&color(#b00){2};|20|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒りの遠吠え（1体の時、10ターン攻撃力3倍）&br;ウルフコンボ（連続攻撃4390）==HP70％以下で使用==|
|~|&mons796; %%%[[魅惑の夜魔・ダークレディ>モンスター図鑑/0796]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''5760''};|&color(#b00){1};|317250|300||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===ダークワールド（ドロップが見えなくなる）&br;ブラッディネイル（連続攻撃7488）==HP70％以下で使用==&br;チャーム（5体1～2ターンバインド、1度きり）==HP30％以下で使用==|
|7|&mons786; %%%[[神秘の円盤龍・ネブラディスク>モンスター図鑑/0786]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''7260''};|&color(#b00){1};|35|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===古代の英知（999ターン状態異常無効）&br;プレアデスの殲光（3カウント後、計101640の連続攻撃）|
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):虚の水晶 地獄級|
||&mons197; %%%[[ハーピィデビル>モンスター図鑑/0197]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''3600''};|&color(#b00){1};|19650|1400||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):怒り（3ターン攻撃力1.3倍）|
||&mons198; %%%[[ハーピィデーモン>モンスター図鑑/0198]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''5550''};|&color(#b00){1};|51150|2200||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダークバインド|
||&mons268; %%%[[ボルトキメラ>モンスター図鑑/0268]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''7890''};|&color(#b00){2};|36000|500||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（11046）|
||&mons793; %%%[[サイクロプス>モンスター図鑑/0793]]%%%		||BGCOLOR(#f1f1a6):光|&color(#b00){''10260''};|&color(#b00){3};|136200|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ヘビーブロウ（残りHP75％ダメージ）&br;メガインパクト（15390）==HP30％以下で使用==|
|2,5|&mons585; %%%[[ピクシー>モンスター図鑑/0585]]%%%x2		||BGCOLOR(#f1f1a6):光|&color(#b00){''3060''};|&color(#b00){2};|12|600000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):===先制===妖精のいたずら（2448ダメージ＆ランダム1色排除）2回に1度&br;眠りのまじない（2体2ターンバインド）==HP25％以下で使用==|
|~|&mons794; %%%[[雷光の巨漢・サイクロプス>モンスター図鑑/0794]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''15090''};|&color(#b00){3};|902250|0||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ヘビーブロウ（残りHP75％ダメージ）&br;武器を振り上げた（何もしない、ギガインパクトと交互に使用）==HP50％以下で使用==&br;ギガインパクト（30180）|
|7|&mons785; %%%[[神秘の結晶龍・クリスタルスカル>モンスター図鑑/0785]]%%%	||BGCOLOR(#f1f1a6):光|&color(#b00){''11760''};|&color(#b00){2};|1158200|35000||
