* 龍騎姫の聖地【同キャラ禁止】 [#hb476f1b]

|~名称		|~スタミナ|~バトル|~取得コイン|~取得EXP|~EXP効率|
||RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|c
|古の月影		|50|7|35000|11500|&color(#080){''230''};|
|古の聖刻		|50|7|36000|11000|&color(#080){''220''};|
|古の天風		|50|7|37000|13000|&color(#080){''260''};|
|古の秘海		|50|7|37000|13000|&color(#080){''260''};|
|古の焔土		|50|7|39000|12000|&color(#080){''240''};|

- 「[[戦国龍の領土>テクニカルダンジョン/戦国龍の領土]]」のクリアで出現
- スペシャルダンジョン「[[焔の龍騎姫>スペシャルダンジョン/焔の龍騎姫]]」「[[海の龍騎姫>スペシャルダンジョン/海の龍騎姫]]」「[[風の龍騎姫>スペシャルダンジョン/風の龍騎姫]]」「[[聖の龍騎姫>スペシャルダンジョン/聖の龍騎姫]]」「[[影の龍騎姫>スペシャルダンジョン/影の龍騎姫]]」の地獄級と同じ構成。
- 道中でフェアリーシリーズが稀に出現

|~面|~名前	|~タイプ|~属性|~攻撃力|~後|~HP|~防御|~備考|
|RIGHT:|||CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||c
|>|>|>|>|>|>|>|>|BGCOLOR(#afd3af):古の月影|
||&mons554; %%%[[闇の中忍>モンスター図鑑/0554]]%%%		||BGCOLOR(#bba6f1):闇|&color(#b00){''-''};|&color(#b00){6};|28|60000||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):鮮血の鉤爪（連続攻撃171360）|
||&mons250; %%%[[ダブアメリット>モンスター図鑑/0250]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''9629''};|&color(#b00){3};|11|155556||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):|
||&mons270; %%%[[ミストキメラ>モンスター図鑑/0270]]%%%		||BGCOLOR(#bba6f1):闇|&color(#b00){''8100''};|&color(#b00){2};|37500|500||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):連続攻撃（攻撃力0.7倍x2回）|
||&mons795; %%%[[ダークレディ>モンスター図鑑/0795]]%%%		||BGCOLOR(#bba6f1):闇|&color(#b00){''5460''};|&color(#b00){2};|31200|160||
|~|~|>|>|>|>|>|>|BGCOLOR(#fbfdff):ダークワールド（ドロップが見えなくなる）&br;ビンタ（6825）|
||&mons1187; %%%[[闇の精・カトレヤ>モンスター図鑑/1187]]%%%	||BGCOLOR(#bba6f1):闇|&color(#b00){''3518''};|&color(#b00){1};|916525|210|※稀に出現、確定ドロップ|
