* リーダースキル [#e57a0767]

- リーダーと助っ人のモンスターのみ効果を発動する。
-- チャレンジモードではリーダーのモンスターのみ。
-- バインド状態になっていると発動できない。
- 効果は重複するものが多い
-- （例）爆炎の力（火属性2倍）が2つで、火属性の攻撃力が4倍になる。
-- （例）炎の防壁（火属性1/2）が2つで、火属性のダメージが1/4になる。
- 能力アップ系のリーダースキルの効果はドロップを消した際の通常攻撃・回復量にのみ適用される。
-- 攻撃系スキル・回復系スキルの威力は上昇しない。
-- 回復系リーダースキル・追い打ち系リーダースキルの効果は強化されない。
- 追い打ち系リーダースキルは重複時、威力を合計して1度に攻撃。
-「根性」は条件のHPが残った状態で、かつ1回の攻撃で致死量のダメージを受けた場合に発動。（v2.2以降）

//「管理」列について（2014/1/27追記）
//モンスター図鑑詳細ページにこのページの内容を表示させるための記述なので、この列は削除しないでください。
//行を追加する場合は、空欄にしておくか「モンスター図鑑の若い番号順で、初めてこのリーダースキルを所持しているモンスターの番号」を lsXXXX の番号にしてください。
//一度番号を決定したら、アップデートなどで変更があっても被りが起こらない限り変更しない予定です。

&color(,#eee){ページ内リンク};
[[能力アップ（属性）>#propBuff]] - [[能力アップ（タイプ）>#typeBuff]] - [[能力アップ（属性＆タイプ）>#ptBuff]] - [[能力アップ（その他）>#etcBuff]] - [[能力アップ（複合）>#multiBuff]] - [[ダメージ軽減>#guard]] - [[回復系>#recovery]] - [[その他>#other]]

#style(class=enableFilter){{
|~リーダースキル	|>|~属|~効果|~所有モンスター|~管理&aname(lskill,full,super){ls};|h
||CENTER:|CENTER:||||c
|>|>|>|>|>|BGCOLOR(#ffffff):【能力アップ（属性）】&aname(propBuff);|
|&font2(80%){ひのちから};火の力			|>|BGCOLOR(#f1bba6):火|火属性の攻撃力が1.5倍。|ティラ&br;ティラン&br;ティラノス&br;サラマンダー&br;レッドキャップ&br;赤目の幽鬼・レッドキャップ&br;CoC・アーチャー&br;CoC・フレイムアーチャー&br;ピコスケ|&aname(ls0001,full,super){ls0001};|
|&font2(80%){ばくえんのちから};爆炎の力			|>|BGCOLOR(#f1bba6):火|火属性の攻撃力が2倍。|爆炎龍ティラノス&br;イフリート&br;緋天龍・エルドラド&br;緋天蒼龍・エルドラド &br;砲炎機龍・ベテルギウス&br;アレス|&aname(ls0004,full,super){ls0004};|
|&font2(80%){ばくめつしんのしょうどう};爆滅神の衝動		|>|BGCOLOR(#f1bba6):火|火属性の攻撃力が3倍。|破戒の創造神・シヴァ|&aname(ls1113,full,super){ls1113};|
|&font2(80%){ごうえんりゅうのゆうこん};轟炎龍の勇魂		|>|BGCOLOR(#f1bba6):火|ドラゴンタイプの回復力が1.5倍。&br;火属性の攻撃力が3倍。|轟炎龍・アームドティラノス|&aname(ls1919,full,super){ls1919};|
|&font2(80%){ばくえんりゅうのちから};爆炎龍の力		|>|BGCOLOR(#f1bba6):火|火属性の攻撃力と回復力が2倍。|爆炎龍・グランティラノス|&aname(ls0480,full,super){ls0480};|
|&font2(80%){ぐんしんのしゅくふく};軍神の祝福		|>|BGCOLOR(#f1bba6):火|火属性のHPと攻撃力が2倍。|戦軍神・アレス&br;復仇の戦軍神・アレス|&aname(ls0568,full,super){ls0568};|
|&font2(80%){せんぐんしんのひほう};戦軍神の秘法		|BGCOLOR(#f1bba6):火|BGCOLOR(#bba6f1):闇|火と闇属性のHPと攻撃力が2倍。|狂荒の戦軍神・アレス|&aname(ls0889,full,super){ls0889};|
|&font2(80%){みずのちから};水の力			|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力が1.5倍。|プレシィ&br;プレシィール&br;プレシオス&br;シーサーペント&br;河童&br;水皿の神使・河童|&aname(ls0005,full,super){ls0005};|
|&font2(80%){げきりゅうのちから};激流の力			|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力が2倍。|氷塊龍プレシオス&br;リヴァイアサン&br;蒼天龍・ニライカナイ&br;蒼天夜龍・ニライカナイ&br;氷砕機龍・アルデバラン&br;ヘルメス|&aname(ls0008,full,super){ls0008};|
|&font2(80%){すいてんしんのひきょく};水天神の秘曲		|>|BGCOLOR(#a6f1f1):水|水属性の攻撃力が3倍。|紫蓮の吟女神・ラクシュミー|&aname(ls1115,full,super){ls1115};|
|&font2(80%){げんひょうりゅうのゆうこん};幻氷龍の勇魂		|>|BGCOLOR(#a6f1f1):水|ドラゴンタイプの回復力が1.5倍。&br;水属性の攻撃力が3倍。|幻氷龍・ミラージュプレシオス|&aname(ls1920,full,super){ls1920};|
