* モンスター（以前の形式）  [#de0cefec]

- パラメータについては各モンスターの詳細ページを参照してださい。
- 関連ページ
-- [[モンスター図鑑/最大値]]
-- [[入手方法]]
-- [[覚醒スキル]]

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~名称			|~☆|~タイプ|~属|~CO|~スキル|~リーダースキル|~最大Lv|h
|RIGHT:||CENTER:||CENTER:|RIGHT:|||RIGHT:|c
|001&aname(no001);|[[ティラ>モンスター図鑑/0001]]	|2|ドラゴン|BGCOLOR(#f1bba6):火|2|ヒートブレス|火の力|5(150)|
|002|[[ティラン>モンスター図鑑/0002]]	|3|ドラゴン|BGCOLOR(#f1bba6):火|4|ヒートブレス|火の力|15(150)|
|003|[[ティラノス>モンスター図鑑/0003]]	|4|ドラゴン|BGCOLOR(#f1bba6):火|6|マグマブレス|火の力|35(150)|
|004|[[爆炎龍ティラノス>モンスター図鑑/0004]]|5|ドラゴン|BGCOLOR(#f1bba6):火|10|マグマブレス|爆炎の力|99(150)|
|005|[[プレシィ>モンスター図鑑/0005]]	|2|ドラゴン|BGCOLOR(#a6f1f1):水|2|コールドブレス|水の力|5(150)|
|006|[[プレシィール>モンスター図鑑/0006]]	|3|ドラゴン|BGCOLOR(#a6f1f1):水|4|コールドブレス|水の力|15(150)|
|007|[[プレシオス>モンスター図鑑/0007]]	|4|ドラゴン|BGCOLOR(#a6f1f1):水|6|ブリザードブレス|水の力|35(150)|
|008|[[氷塊龍プレシオス>モンスター図鑑/0008]]|5|ドラゴン|BGCOLOR(#a6f1f1):水|10|ブリザードブレス|激流の力|99(150)|
|009|[[ブラッキィ>モンスター図鑑/0009]]	|2|ドラゴン|BGCOLOR(#bbf1a6):木|2|ウィンドブレス|木の力|5(150)|
|010|[[ブラッキオ>モンスター図鑑/0010]]	|3|ドラゴン|BGCOLOR(#bbf1a6):木|4|ウィンドブレス|木の力|15(150)|
|011|[[ブラキオス>モンスター図鑑/0011]]	|4|ドラゴン|BGCOLOR(#bbf1a6):木|6|ガイアブレス|木の力|35(150)|
|012|[[大花龍ブラキオス>モンスター図鑑/0012]]	|5|ドラゴン|BGCOLOR(#bbf1a6):木|10|ガイアブレス|大地の力|99(150)|
|013|[[プテーラ>モンスター図鑑/0013]]	|2|ドラゴン|BGCOLOR(#f1f1a6):光|2|フラッシュブレス|光の力|5(150)|
|014|[[プテラス>モンスター図鑑/0014]]	|3|ドラゴン|BGCOLOR(#f1f1a6):光|4|フラッシュブレス|光の力|15(150)|
|015|[[プテラドス>モンスター図鑑/0015]]	|4|ドラゴン|BGCOLOR(#f1f1a6):光|6|ホーリーブレス|光の力|35(150)|
|016|[[太陽龍プテラドス>モンスター図鑑/0016]]	|5|ドラゴン|BGCOLOR(#f1f1a6):光|10|ホーリーブレス|閃光の力|99(150)|
