* 進化合成 [#ze6474f1]

#style(class=panelNote){{
このページは編集者不足による更新停止中です。
//ちなみに編集は誰でも行うことが可能です･･･。
}}

- 一部モンスターはLv最大になると進化が可能になる
- 進化するためにはそれぞれ決められた素材モンスターが必要
-- 「爆炎龍ティラノス」に進化するのに必要なモンスターは「ティラノス」の欄を参照
-- 「なし」はこれ以上進化しないということ

//外部サイトのリンクは[[リンク]]へ

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~ベースモンスター		|~進化に必要なモンスター|~進化結果|
|RIGHT:||||c
|001&aname(no001);|[[ティラ>モンスター図鑑/0001]]|&mons152;|[[ティラン>モンスター図鑑/0002]]|
|002|[[ティラン>モンスター図鑑/0002]]|&mons153; &mons155;|[[ティラノス>モンスター図鑑/0003]]|
|003|[[ティラノス>モンスター図鑑/0003]]|&mons154; &mons153; &mons152; &mons155; &mons147;|[[爆炎龍ティラノス>モンスター図鑑/0004]]|
|004|[[爆炎龍ティラノス>モンスター図鑑/0004]]|[[究極進化]]||
|005|[[プレシィ>モンスター図鑑/0005]]|&mons152;|[[プレシィール>モンスター図鑑/0006]]|
|006|[[プレシィール>モンスター図鑑/0006]]|&mons153; &mons156;|[[プレシオス>モンスター図鑑/0007]]|
|007|[[プレシオス>モンスター図鑑/0007]]|&mons154; &mons153; &mons152; &mons156; &mons148;|[[氷塊龍プレシオス>モンスター図鑑/0008]]|
|008|[[氷塊龍プレシオス>モンスター図鑑/0008]]|[[究極進化]]||
|009|[[ブラッキィ>モンスター図鑑/0009]]|&mons152;|[[ブラッキオ>モンスター図鑑/0010]]|
