* ユニット図鑑/501〜1000 [#ffbcea7f]

- ステータスの数値はLv1のもので、ユニット図鑑から確認できます。
-- ステータスは予告なく変更される可能性もあります。
-- 一部では計算によって算出しています。
- スキル欄の()内は習得Lvを表しています。ユニット図鑑で表示されるスキルはLv1のもの。
- テーブル(表)のヘッダから並び替えが可能です。
- 各ユニットのストーリーは「[[ストーリー]]」のページヘ。
- (編集者へ) ローマ数字が一文字になった記号は文字化けの可能性があるので使用を避けること。代わりにアルファベットの「I」や「V」を使うこと。

:&color(black,#eeeeee){ショートカット類};|
No.[[501>#no501]] - [[551>#no551]] - [[601>#no601]] - [[651>#no651]] - [[701>#no701]] - [[751>#no751]] - [[801>#no801]]- [[851>#no851]]
No.001〜500 > [[ユニット図鑑]]

#sortabletable(sort=Number|String|Number|String|String|String|Number|Number|Number|Number|Number|Number|String|String|String){{
|~No.|~名称|~★|~武|~主&br;属|~副&br;属|~HP|~攻撃|~回復|~進化pt|~最大Lv|~必要&br;進化pt|~パーティスキル|~アクティブスキル|~パネルスキル|h
|RIGHT:||CENTER:|CENTER:|CENTER:|CENTER:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:|RIGHT:||||c
//
|&aname(no501);501|[めいおう]あぬびす|5|槍|BGCOLOR(#BBA6F1):闇|-|1050|1850|750|50|99|-|チェイン・サポート(1)&br;チェイン・アップ(?)&br;チェイン・チャージ(?)&br;チェイン・バースト(?)&br;チェイン・マスター(?)&br;チェイン・マスター+(?)|-|亜人の威嚇(1)|
|502|ユリィ|3|槍|BGCOLOR(#a6f1f1):水|-|850|1300|750|30|35|150|フレイム・バスター(1)|-|魂の踊り(1)|
|503|参謀のユリィ|4|槍|BGCOLOR(#a6f1f1):水|-|1200|1600|950|35|60|-|フレイム・スローター(1)|-|魂の踊り(1)|
|504|ピッピ|3|槍|BGCOLOR(#f1f1a6):光|-|850|1350|700|30|35|150|ダークネス・バスター(1)|-|回復の踊り(1)|
|505|笛吹きのピッピ|4|槍|BGCOLOR(#f1f1a6):光|-|1200|1650|850|35|60|-|ダークネス・スローター|-|回復の踊り(1)|
|506|ギル|3|杖|BGCOLOR(#f1bba6):火|-|900|750|1450|30|35|150|フレイム・サポート(1)|-|自然の恵み(1)|
|507|銀冠のギル|4|杖|BGCOLOR(#f1bba6):火|-|1000|1150|1700|35|60|-|フレイム・チャージ(1)|-|自然の恵み(1)|
|508|ムイ|3|杖|BGCOLOR(#BBA6F1):闇|-|1000|750|1400|30|35|150|ダークネス・サポート(1)|-|自然の恵み(1)|
|509|裸足のムイ|4|杖|BGCOLOR(#BBA6F1):闇|-|1150|1150|1600|35|60|-|ダークネス・チャージ(1)|-|自然の恵み(1)|
|510|夏のよりしろ(暑中見舞い)|5|杖|BGCOLOR(#FFFFFF):無|-|500|500|500|200|1|-|なし|なし|-|
|511|[探偵王]ベルモント|5|弓|BGCOLOR(#a6f1f1):水|-|1600|1500|1200|50|50|800|オーバー・ブーストI(1)&br;オーバー・ブーストII(20)|アクア・エンハンスI(1)&br;アクア・エンハンスII(20)|-|
|512|[偽真王]ベルモント|6|弓|BGCOLOR(#a6f1f1):水|-|2100|1900|1500|60|80|-|オーバー・ブーストIII(1)&br;オーバー・ブーストIV(40)|アクア・エンハンスIII(1)&br;アクアエンハンスIV(40)|-|
|513|[光王]ジャンヌ|5|剣|BGCOLOR(#f1f1a6):光|-|2250|1450|650|50|50|800|ソウル・ブラスト(1)|アンリミテッド・ソード(1)|-|
|514|[聖王]ジャンヌ|6|剣|BGCOLOR(#f1f1a6):光|-|3050|2150|1050|60|80|-|ソウル・ブラスト(1)|アンリミテッド・ソード(1)|-|
|515|[孤王]パルメ|5|槍|BGCOLOR(#f1bba6):火|-|950|1900|700|50|50|800|フレイム・アサルトI(1)|フレイム・カーズI(1)|-|
|516|[狩猟王]パルメ|6|槍|BGCOLOR(#f1bba6):火|-|1550|2550|1000|60|80|-|フレイム・アサルトIII(1)|フレイム・カーズIII(1)|-|
|517|[切裂王]ギブス|5|剣|BGCOLOR(#BBA6F1):闇|-|2350|1500|300|50|50|800|デンジャー・パワーI(1)|-|修練の構え(1)|
|518|[斬裂王]ギブス|6|剣|BGCOLOR(#BBA6F1):闇|-|3150|2200|750|60|80|-|デンジャー・パワーIII(1)|-|修練の構え・改(1)|
|519|[人造王]FAZ-06S|5|弓|BGCOLOR(#f1f1a6):光|-|1500|1650|1100|50|50|800|パネル・ヒーラーI(1)&br;パネル・ヒーラーII(?)&br;|-|重力結界(1)|
|520|[機動王]FAZ-06ST|6|弓|BGCOLOR(#f1f1a6):光|-|1900|2150|1400|60|80|-|パネル・ヒーラーIII(1)|-|重力結界・改(1)|
|521|[秘呪王]キルマ|5|杖|BGCOLOR(#BBA6F1):闇|-|1350|900|1400|50|50|800|スキルコピー(1)|-|生命の祈り(1)|
|522|[秘法王]キルマ|6|杖|BGCOLOR(#BBA6F1):闇|-|1750|2200|2000|60|80|-|スキルコピー(1)|-|生命の祈り(1)|
|523|[ざいおう]べるべ|5|杖|BGCOLOR(#f1bba6):火|-|1400|1100|1450|50|99|-|フレイム・ガード(1)&br;フレイム・シールド(?)&br;フレイム・ディフェンス(?)&br;フレイム・センチネル(?)&br;フレイム・インペリアル(?)&br;|-|治癒の炎(1)|
|524|[攻王]ヴェスパ|5|槍|BGCOLOR(#a6f1f1):水|-|750|1850|600|50|50|800|アクア・ライフI(1)&br;アクア・ライフII(?)&br;|ミューテッド・ヘルI(1)&br;ミューテッド・ヘルII(?)&br;ミューテッド・ヘルIII(?)&br;|-|
|525|[拷王]ヴェスパ|6|槍|BGCOLOR(#a6f1f1):水|-|1250|2400|1000|60|80|-|アクア・ライフIII(1)&br;アクア・ライフVI(?)&br;アクア・ライフV(?)&br;アクア・ライフVI(80)&br;|ミューテッド・ヘルIII(1)&br;ミューテッド・ヘルIV(?)&br;ミューテッド・ヘルV(?)&br;ミューテッド・ヘルVI(?)&br;|-|
|526|[司令王]シュナイデル|5|剣|BGCOLOR(#f1f1a6):光|-|2100|1450|600|50|50|800|セイバー・サポート(1)&br;セイバー・アップ(?)&br;|グラビティ・ヘルIII(1)|-|
|527|[帝国王]シュナイデル|6|剣|BGCOLOR(#f1f1a6):光|-|2900|2150|1000|60|80|-|セイバー・チャージ(1)&br;セイバー・バースト(?)&br;セイバー・マスター(?)&br;セイバー・マスター+(80)|グラビティ・ヘルIV(1)&br;グラビティ・ヘルV(?)&br;グラビティ・ヘルVI(?)&br;|-|
|528|[或王]ヘウ・リスコー|5|杖|BGCOLOR(#BBA6F1):闇|-|950|1300|1350|50|50|800|ソウル・ドレイン(1)|アンリミテッド・メイジ(1)|-|
|529|[造書王]ヘウ・リスコー|6|杖|BGCOLOR(#BBA6F1):闇|-|1400|2100|1900|60|80|-|ソウル・ドレイン(1)|アンリミテッド・メイジ(1)|-|
|530|ガルス|3|剣|BGCOLOR(#f1bba6):火|-|1700|950|800|30|35|150|フレイム・ライフI(1)|-|回復の陣(1)|
|531|強奪のガルス|4|剣|BGCOLOR(#f1bba6):火|-|1900|1100|1100|35|60|-|フレイム・ライフII(1)|-|回復の陣(1)|
|532|ダムス|3|剣|BGCOLOR(#BBA6F1):闇|-|1600|1100|500|30|35|150|ダークネス・ライフI(1)|-|修練の構え(1)|
|533|悪知恵のダムス|4|剣|BGCOLOR(#BBA6F1):闇|-|1850|1250|800|35|60|-|ダークネス・ライフII(1)|-|修練の構え(1)|
|534|ザメリ|3|弓|BGCOLOR(#a6f1f1):水|-|1100|1000|1100|30|35|150|レッド・リカバリーI(1)|-|自然の恵み(1)|
|535|拐いのザメリ|4|弓|BGCOLOR(#a6f1f1):水|-|1550|1250|1300|35|60|-|レッド・リカバリーII(1)|-|自然の恵み(1)|
|536|HOJ-021D|3|弓|BGCOLOR(#f1f1a6):光|-|1000|950|1250|30|35|150|ブラック・リカバリーI(1)|-|重力結界(1)|
|537|HOJ-021DS|4|弓|BGCOLOR(#f1f1a6):光|-|1500|1200|1400|35|60|-|ブラック・リカバリーII(1)|-|重力結界(1)|
|538|超悪いかぼしろ(超成功用)|6|杖|BGCOLOR(#FFFFFF):無|-|500|500|500|50|1|-|なし|なし|-|
|539|スタしろ(スタミナ回復用)|6|杖|BGCOLOR(#FFFFFF):無|-|500|500|500|50|1|-|なし|なし|-|
|540|[義心王]葉空すみれ|5|剣|BGCOLOR(#bba6f1):闇|-|2200|1500|950|50|50|800|パネル・ヒーラーI(1)|ハート・コールI(1)|-|
