* エネミー [#ka1c476e]

- 敵ユニットの情報
- ターン数は固定ではない（上級クエストでは全体的に短い）
- 敵の強さは予告なく変わる事があるので注意

** 雑魚 [#ac06a693]

|~シンボル		|~ターン((初級ダンジョン基準))|~ソウル|~金額((一部ダンジョンのみ))|~備考|
||:RIGHT||||c
|スライム|3|1|100||
|ハイ・スライム||1|100||
|キラー・スライム||2|100||
|カイザー・スライム||2|250||
|ゴッド・スライム||5|100||
|スクィレル|3|1|100|リス|
|ハイ・スクィレル||2|100||
|キラー・スクィレル||2|100||
|カイザー・スクィレル||2|400||
|ウルフ|2|2|100|オオカミ|
|ハイ・ウルフ||2|100||
|キラー・ウルフ||3|500||
|カイザー・ウルフ||4|650||
|ドラン|3|2|80|タマゴ|
|ハイ・ドラン||2|170||
|キラー・ドラン||3|600||
|カイザー・ドラン||3|||
|グリズリー|3|2||熊、攻撃力が高い。|
|ハイ・グリズリー|4|3|||
|キラー・グリズリー||3|||
|カイザー・グリズリー||4|||
|スコーピオン|2|2||サソリ、防御力が高い。|
|ハイ・スコーピオン|3|2|||
|キラー・スコーピオン||3|||
|カイザー・スコーピオン||3|||
|バハムート|4|5|||
|死神	|2|10||移動時にソウルが0になると出現。|

//|	|||

* コメント [#f4a671cb]

#pcomment(noname)

RIGHT:&color(#dc143c){コメントを書く前に[[コメントポリシー]]を参照してください。};
